====================================================================================================
Training started at: 2026-03-14 10:34:04
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-103404.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-103404.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=64.14s | TotalTime=64.14s | Method=fedrdn
[Round 002/100] Acc=23.290 | RoundTime=42.44s | TotalTime=106.58s | Method=fedrdn
[Round 003/100] Acc=35.760 | RoundTime=42.27s | TotalTime=148.86s | Method=fedrdn
[Round 004/100] Acc=40.260 | RoundTime=43.65s | TotalTime=192.50s | Method=fedrdn
[Round 005/100] Acc=40.150 | RoundTime=42.59s | TotalTime=235.10s | Method=fedrdn
[Round 006/100] Acc=42.130 | RoundTime=43.37s | TotalTime=278.47s | Method=fedrdn
[Round 007/100] Acc=40.330 | RoundTime=41.63s | TotalTime=320.10s | Method=fedrdn
[Round 008/100] Acc=42.160 | RoundTime=42.72s | TotalTime=362.82s | Method=fedrdn
[Round 009/100] Acc=45.970 | RoundTime=43.58s | TotalTime=406.40s | Method=fedrdn
[Round 010/100] Acc=40.730 | RoundTime=43.41s | TotalTime=449.82s | Method=fedrdn
[Round 011/100] Acc=46.490 | RoundTime=43.49s | TotalTime=493.31s | Method=fedrdn
[Round 012/100] Acc=41.880 | RoundTime=41.87s | TotalTime=535.18s | Method=fedrdn
[Round 013/100] Acc=45.830 | RoundTime=45.00s | TotalTime=580.18s | Method=fedrdn
[Round 014/100] Acc=47.860 | RoundTime=41.80s | TotalTime=621.99s | Method=fedrdn
[Round 015/100] Acc=44.740 | RoundTime=43.91s | TotalTime=665.90s | Method=fedrdn
[Round 016/100] Acc=43.400 | RoundTime=42.60s | TotalTime=708.50s | Method=fedrdn
[Round 017/100] Acc=47.810 | RoundTime=48.41s | TotalTime=756.91s | Method=fedrdn
[Round 018/100] Acc=42.460 | RoundTime=42.96s | TotalTime=799.87s | Method=fedrdn
[Round 019/100] Acc=46.730 | RoundTime=42.20s | TotalTime=842.07s | Method=fedrdn
[Round 020/100] Acc=45.790 | RoundTime=43.08s | TotalTime=885.15s | Method=fedrdn
[Round 021/100] Acc=46.210 | RoundTime=43.75s | TotalTime=928.90s | Method=fedrdn
[Round 022/100] Acc=44.760 | RoundTime=41.50s | TotalTime=970.40s | Method=fedrdn
[Round 023/100] Acc=45.870 | RoundTime=43.38s | TotalTime=1013.78s | Method=fedrdn
[Round 024/100] Acc=46.690 | RoundTime=43.88s | TotalTime=1057.66s | Method=fedrdn
[Round 025/100] Acc=44.930 | RoundTime=42.96s | TotalTime=1100.62s | Method=fedrdn
[Round 026/100] Acc=46.830 | RoundTime=42.21s | TotalTime=1142.83s | Method=fedrdn
[Round 027/100] Acc=50.040 | RoundTime=42.87s | TotalTime=1185.69s | Method=fedrdn
[Round 028/100] Acc=47.200 | RoundTime=42.71s | TotalTime=1228.41s | Method=fedrdn
[Round 029/100] Acc=48.920 | RoundTime=42.12s | TotalTime=1270.53s | Method=fedrdn
[Round 030/100] Acc=48.780 | RoundTime=42.68s | TotalTime=1313.21s | Method=fedrdn
[Round 031/100] Acc=48.290 | RoundTime=44.22s | TotalTime=1357.43s | Method=fedrdn
[Round 032/100] Acc=48.360 | RoundTime=42.45s | TotalTime=1399.88s | Method=fedrdn
[Round 033/100] Acc=49.270 | RoundTime=42.30s | TotalTime=1442.19s | Method=fedrdn
[Round 034/100] Acc=50.850 | RoundTime=43.39s | TotalTime=1485.58s | Method=fedrdn
[Round 035/100] Acc=46.380 | RoundTime=42.42s | TotalTime=1528.00s | Method=fedrdn
[Round 036/100] Acc=48.300 | RoundTime=40.73s | TotalTime=1568.73s | Method=fedrdn
[Round 037/100] Acc=48.410 | RoundTime=41.60s | TotalTime=1610.32s | Method=fedrdn
[Round 038/100] Acc=49.500 | RoundTime=42.30s | TotalTime=1652.63s | Method=fedrdn
[Round 039/100] Acc=50.460 | RoundTime=43.16s | TotalTime=1695.79s | Method=fedrdn
[Round 040/100] Acc=45.740 | RoundTime=42.25s | TotalTime=1738.04s | Method=fedrdn
[Round 041/100] Acc=46.510 | RoundTime=43.15s | TotalTime=1781.19s | Method=fedrdn
[Round 042/100] Acc=47.620 | RoundTime=43.05s | TotalTime=1824.25s | Method=fedrdn
[Round 043/100] Acc=47.040 | RoundTime=42.55s | TotalTime=1866.80s | Method=fedrdn
[Round 044/100] Acc=51.190 | RoundTime=42.04s | TotalTime=1908.83s | Method=fedrdn
[Round 045/100] Acc=49.560 | RoundTime=42.94s | TotalTime=1951.77s | Method=fedrdn
[Round 046/100] Acc=48.300 | RoundTime=41.33s | TotalTime=1993.10s | Method=fedrdn
[Round 047/100] Acc=51.170 | RoundTime=42.58s | TotalTime=2035.67s | Method=fedrdn
[Round 048/100] Acc=48.830 | RoundTime=44.98s | TotalTime=2080.65s | Method=fedrdn
[Round 049/100] Acc=51.060 | RoundTime=45.67s | TotalTime=2126.33s | Method=fedrdn
[Round 050/100] Acc=48.380 | RoundTime=46.60s | TotalTime=2172.93s | Method=fedrdn
[Round 051/100] Acc=49.400 | RoundTime=44.87s | TotalTime=2217.79s | Method=fedrdn
[Round 052/100] Acc=49.650 | RoundTime=45.76s | TotalTime=2263.55s | Method=fedrdn
[Round 053/100] Acc=48.630 | RoundTime=45.66s | TotalTime=2309.22s | Method=fedrdn
[Round 054/100] Acc=52.220 | RoundTime=42.64s | TotalTime=2351.85s | Method=fedrdn
[Round 055/100] Acc=47.860 | RoundTime=40.96s | TotalTime=2392.81s | Method=fedrdn
[Round 056/100] Acc=48.850 | RoundTime=42.12s | TotalTime=2434.93s | Method=fedrdn
[Round 057/100] Acc=47.580 | RoundTime=42.07s | TotalTime=2477.00s | Method=fedrdn
[Round 058/100] Acc=48.820 | RoundTime=41.39s | TotalTime=2518.40s | Method=fedrdn
[Round 059/100] Acc=49.070 | RoundTime=41.13s | TotalTime=2559.53s | Method=fedrdn
[Round 060/100] Acc=49.880 | RoundTime=40.87s | TotalTime=2600.40s | Method=fedrdn
[Round 061/100] Acc=48.890 | RoundTime=41.67s | TotalTime=2642.06s | Method=fedrdn
[Round 062/100] Acc=50.110 | RoundTime=40.99s | TotalTime=2683.05s | Method=fedrdn
[Round 063/100] Acc=50.070 | RoundTime=40.93s | TotalTime=2723.99s | Method=fedrdn
[Round 064/100] Acc=49.180 | RoundTime=40.47s | TotalTime=2764.46s | Method=fedrdn
[Round 065/100] Acc=50.900 | RoundTime=41.34s | TotalTime=2805.80s | Method=fedrdn
[Round 066/100] Acc=47.660 | RoundTime=41.94s | TotalTime=2847.73s | Method=fedrdn
[Round 067/100] Acc=49.590 | RoundTime=41.74s | TotalTime=2889.47s | Method=fedrdn
[Round 068/100] Acc=50.080 | RoundTime=40.68s | TotalTime=2930.15s | Method=fedrdn
[Round 069/100] Acc=51.050 | RoundTime=40.79s | TotalTime=2970.94s | Method=fedrdn
[Round 070/100] Acc=48.780 | RoundTime=40.93s | TotalTime=3011.87s | Method=fedrdn
[Round 071/100] Acc=50.520 | RoundTime=40.58s | TotalTime=3052.45s | Method=fedrdn
[Round 072/100] Acc=50.590 | RoundTime=41.15s | TotalTime=3093.60s | Method=fedrdn
[Round 073/100] Acc=50.930 | RoundTime=41.33s | TotalTime=3134.93s | Method=fedrdn
[Round 074/100] Acc=49.340 | RoundTime=42.52s | TotalTime=3177.45s | Method=fedrdn
[Round 075/100] Acc=47.090 | RoundTime=40.60s | TotalTime=3218.05s | Method=fedrdn
[Round 076/100] Acc=47.430 | RoundTime=41.18s | TotalTime=3259.22s | Method=fedrdn
[Round 077/100] Acc=47.260 | RoundTime=42.19s | TotalTime=3301.42s | Method=fedrdn
[Round 078/100] Acc=46.770 | RoundTime=40.59s | TotalTime=3342.01s | Method=fedrdn
[Round 079/100] Acc=43.850 | RoundTime=41.00s | TotalTime=3383.01s | Method=fedrdn
[Round 080/100] Acc=46.540 | RoundTime=42.43s | TotalTime=3425.44s | Method=fedrdn
