====================================================================================================
Training started at: 2026-03-14 08:38:49
Result directory: results/fl_cifar10/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.3/fedgloss_fl_cifar10_20260314-083849.txt
Result log file : results/fl_cifar10/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.3/fedgloss_fl_cifar10_20260314-083849.log
----------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 1.0
Averaging: weight
Seed: 0
====================================================================================================
[Round 056/100] Acc=11.810 | RoundTime=55.32s | TotalTime=3054.91s | Method=fedgloss
[Round 057/100] Acc=10.750 | RoundTime=55.91s | TotalTime=3110.82s | Method=fedgloss
[Round 058/100] Acc=11.230 | RoundTime=55.01s | TotalTime=3165.83s | Method=fedgloss
[Round 059/100] Acc=12.340 | RoundTime=55.59s | TotalTime=3221.42s | Method=fedgloss
[Round 060/100] Acc=10.110 | RoundTime=53.95s | TotalTime=3275.37s | Method=fedgloss
[Round 061/100] Acc=10.000 | RoundTime=53.29s | TotalTime=3328.67s | Method=fedgloss
[Round 062/100] Acc=10.070 | RoundTime=53.64s | TotalTime=3382.31s | Method=fedgloss
[Round 063/100] Acc=9.990 | RoundTime=54.21s | TotalTime=3436.53s | Method=fedgloss
[Round 064/100] Acc=10.000 | RoundTime=53.18s | TotalTime=3489.70s | Method=fedgloss
[Round 065/100] Acc=10.000 | RoundTime=52.46s | TotalTime=3542.16s | Method=fedgloss
[Round 066/100] Acc=10.000 | RoundTime=53.22s | TotalTime=3595.38s | Method=fedgloss
[Round 067/100] Acc=14.920 | RoundTime=53.43s | TotalTime=3648.81s | Method=fedgloss
[Round 068/100] Acc=10.000 | RoundTime=52.91s | TotalTime=3701.72s | Method=fedgloss
[Round 069/100] Acc=10.000 | RoundTime=53.39s | TotalTime=3755.11s | Method=fedgloss
[Round 070/100] Acc=11.520 | RoundTime=53.05s | TotalTime=3808.17s | Method=fedgloss
[Round 071/100] Acc=18.650 | RoundTime=53.49s | TotalTime=3861.66s | Method=fedgloss
[Round 072/100] Acc=9.620 | RoundTime=54.45s | TotalTime=3916.11s | Method=fedgloss
[Round 073/100] Acc=10.930 | RoundTime=54.57s | TotalTime=3970.68s | Method=fedgloss
