====================================================================================================
Training started at: 2026-03-31 21:02:12
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_st-least_sim_dr-0.2
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_st-least_sim_dr-0.2/fedcda_fl_cifar10_20260331-210212-691444_pid1636097.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_st-least_sim_dr-0.2/fedcda_fl_cifar10_20260331-210212-691444_pid1636097.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 54
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.2
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=26.83s | TotalTime=26.84s | Method=fedcda
[Round 002/100] Acc=22.070 | RoundTime=25.98s | TotalTime=52.82s | Method=fedcda
[Round 003/100] Acc=10.880 | RoundTime=27.65s | TotalTime=80.47s | Method=fedcda
[Round 004/100] Acc=27.700 | RoundTime=27.69s | TotalTime=108.16s | Method=fedcda
[Round 005/100] Acc=21.230 | RoundTime=28.17s | TotalTime=136.33s | Method=fedcda
[Round 006/100] Acc=26.580 | RoundTime=27.19s | TotalTime=163.52s | Method=fedcda
[Round 007/100] Acc=33.720 | RoundTime=27.68s | TotalTime=191.21s | Method=fedcda
[Round 008/100] Acc=24.800 | RoundTime=26.07s | TotalTime=217.28s | Method=fedcda
[Round 009/100] Acc=29.220 | RoundTime=28.16s | TotalTime=245.44s | Method=fedcda
[Round 010/100] Acc=29.260 | RoundTime=27.75s | TotalTime=273.20s | Method=fedcda
[Round 011/100] Acc=25.260 | RoundTime=28.76s | TotalTime=301.96s | Method=fedcda
[Round 012/100] Acc=30.560 | RoundTime=23.16s | TotalTime=325.12s | Method=fedcda
[Round 013/100] Acc=31.530 | RoundTime=23.62s | TotalTime=348.74s | Method=fedcda
[Round 014/100] Acc=29.350 | RoundTime=23.31s | TotalTime=372.05s | Method=fedcda
[Round 015/100] Acc=30.700 | RoundTime=23.35s | TotalTime=395.40s | Method=fedcda
[Round 016/100] Acc=30.180 | RoundTime=23.14s | TotalTime=418.54s | Method=fedcda
[Round 017/100] Acc=30.910 | RoundTime=23.37s | TotalTime=441.92s | Method=fedcda
[Round 018/100] Acc=20.980 | RoundTime=23.37s | TotalTime=465.29s | Method=fedcda
[Round 019/100] Acc=26.390 | RoundTime=23.59s | TotalTime=488.88s | Method=fedcda
[Round 020/100] Acc=29.400 | RoundTime=23.38s | TotalTime=512.26s | Method=fedcda
[Round 021/100] Acc=31.470 | RoundTime=22.92s | TotalTime=535.19s | Method=fedcda
[Round 022/100] Acc=24.900 | RoundTime=23.96s | TotalTime=559.15s | Method=fedcda
[Round 023/100] Acc=25.680 | RoundTime=24.29s | TotalTime=583.43s | Method=fedcda
[Round 024/100] Acc=29.880 | RoundTime=25.84s | TotalTime=609.28s | Method=fedcda
[Round 025/100] Acc=27.220 | RoundTime=23.80s | TotalTime=633.08s | Method=fedcda
[Round 026/100] Acc=22.310 | RoundTime=24.13s | TotalTime=657.21s | Method=fedcda
[Round 027/100] Acc=23.560 | RoundTime=24.39s | TotalTime=681.60s | Method=fedcda
[Round 028/100] Acc=25.680 | RoundTime=24.23s | TotalTime=705.83s | Method=fedcda
[Round 029/100] Acc=28.930 | RoundTime=24.51s | TotalTime=730.34s | Method=fedcda
[Round 030/100] Acc=29.120 | RoundTime=24.16s | TotalTime=754.50s | Method=fedcda
[Round 031/100] Acc=24.300 | RoundTime=24.12s | TotalTime=778.62s | Method=fedcda
[Round 032/100] Acc=23.970 | RoundTime=24.55s | TotalTime=803.17s | Method=fedcda
[Round 033/100] Acc=26.860 | RoundTime=24.12s | TotalTime=827.29s | Method=fedcda
[Round 034/100] Acc=26.700 | RoundTime=23.94s | TotalTime=851.23s | Method=fedcda
[Round 035/100] Acc=24.940 | RoundTime=24.14s | TotalTime=875.37s | Method=fedcda
