====================================================================================================
Training started at: 2026-03-31 21:28:07
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_st-least_sim_dr-0.2
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_st-least_sim_dr-0.2/fedcda_fl_cifar10_20260331-212807-415846_pid1869065.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_st-least_sim_dr-0.2/fedcda_fl_cifar10_20260331-212807-415846_pid1869065.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 48
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.2
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=24.89s | TotalTime=24.89s | Method=fedcda
[Round 002/100] Acc=10.350 | RoundTime=24.04s | TotalTime=48.93s | Method=fedcda
[Round 003/100] Acc=19.670 | RoundTime=23.84s | TotalTime=72.77s | Method=fedcda
[Round 004/100] Acc=29.930 | RoundTime=23.85s | TotalTime=96.62s | Method=fedcda
[Round 005/100] Acc=29.400 | RoundTime=24.50s | TotalTime=121.12s | Method=fedcda
[Round 006/100] Acc=29.260 | RoundTime=23.64s | TotalTime=144.76s | Method=fedcda
[Round 007/100] Acc=27.770 | RoundTime=24.00s | TotalTime=168.77s | Method=fedcda
[Round 008/100] Acc=30.950 | RoundTime=23.72s | TotalTime=192.49s | Method=fedcda
[Round 009/100] Acc=23.630 | RoundTime=24.44s | TotalTime=216.93s | Method=fedcda
[Round 010/100] Acc=28.890 | RoundTime=24.54s | TotalTime=241.47s | Method=fedcda
[Round 011/100] Acc=23.730 | RoundTime=24.55s | TotalTime=266.02s | Method=fedcda
[Round 012/100] Acc=31.300 | RoundTime=23.80s | TotalTime=289.82s | Method=fedcda
[Round 013/100] Acc=24.730 | RoundTime=24.33s | TotalTime=314.15s | Method=fedcda
[Round 014/100] Acc=28.480 | RoundTime=20.91s | TotalTime=335.06s | Method=fedcda
[Round 015/100] Acc=26.240 | RoundTime=20.19s | TotalTime=355.25s | Method=fedcda
[Round 016/100] Acc=30.100 | RoundTime=19.64s | TotalTime=374.89s | Method=fedcda
[Round 017/100] Acc=24.970 | RoundTime=20.23s | TotalTime=395.12s | Method=fedcda
[Round 018/100] Acc=35.870 | RoundTime=20.22s | TotalTime=415.34s | Method=fedcda
[Round 019/100] Acc=28.480 | RoundTime=20.23s | TotalTime=435.58s | Method=fedcda
[Round 020/100] Acc=31.600 | RoundTime=19.95s | TotalTime=455.53s | Method=fedcda
[Round 021/100] Acc=24.110 | RoundTime=20.02s | TotalTime=475.55s | Method=fedcda
[Round 022/100] Acc=33.770 | RoundTime=20.11s | TotalTime=495.66s | Method=fedcda
[Round 023/100] Acc=27.260 | RoundTime=20.21s | TotalTime=515.88s | Method=fedcda
[Round 024/100] Acc=30.120 | RoundTime=22.65s | TotalTime=538.53s | Method=fedcda
[Round 025/100] Acc=27.230 | RoundTime=19.98s | TotalTime=558.51s | Method=fedcda
[Round 026/100] Acc=20.610 | RoundTime=19.93s | TotalTime=578.44s | Method=fedcda
[Round 027/100] Acc=30.540 | RoundTime=20.09s | TotalTime=598.53s | Method=fedcda
[Round 028/100] Acc=31.080 | RoundTime=20.23s | TotalTime=618.76s | Method=fedcda
[Round 029/100] Acc=27.000 | RoundTime=20.15s | TotalTime=638.91s | Method=fedcda
[Round 030/100] Acc=33.600 | RoundTime=20.44s | TotalTime=659.34s | Method=fedcda
