====================================================================================================
Training started at: 2026-03-14 08:55:26
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-085526.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-085526.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=64.23s | TotalTime=64.23s | Method=fedrdn
[Round 002/100] Acc=10.020 | RoundTime=41.03s | TotalTime=105.26s | Method=fedrdn
[Round 003/100] Acc=11.060 | RoundTime=41.10s | TotalTime=146.36s | Method=fedrdn
[Round 004/100] Acc=12.870 | RoundTime=41.07s | TotalTime=187.43s | Method=fedrdn
[Round 005/100] Acc=12.940 | RoundTime=41.05s | TotalTime=228.47s | Method=fedrdn
[Round 006/100] Acc=17.750 | RoundTime=41.22s | TotalTime=269.69s | Method=fedrdn
[Round 007/100] Acc=18.600 | RoundTime=40.90s | TotalTime=310.59s | Method=fedrdn
[Round 008/100] Acc=14.040 | RoundTime=40.54s | TotalTime=351.13s | Method=fedrdn
[Round 009/100] Acc=15.770 | RoundTime=40.90s | TotalTime=392.03s | Method=fedrdn
[Round 010/100] Acc=20.050 | RoundTime=41.67s | TotalTime=433.71s | Method=fedrdn
[Round 011/100] Acc=15.370 | RoundTime=41.82s | TotalTime=475.53s | Method=fedrdn
[Round 012/100] Acc=15.120 | RoundTime=41.42s | TotalTime=516.95s | Method=fedrdn
[Round 013/100] Acc=16.760 | RoundTime=41.05s | TotalTime=558.00s | Method=fedrdn
[Round 014/100] Acc=23.180 | RoundTime=40.71s | TotalTime=598.71s | Method=fedrdn
[Round 015/100] Acc=16.140 | RoundTime=41.05s | TotalTime=639.76s | Method=fedrdn
[Round 016/100] Acc=17.830 | RoundTime=41.24s | TotalTime=681.00s | Method=fedrdn
[Round 017/100] Acc=17.390 | RoundTime=41.44s | TotalTime=722.44s | Method=fedrdn
[Round 018/100] Acc=18.800 | RoundTime=41.84s | TotalTime=764.27s | Method=fedrdn
[Round 019/100] Acc=16.550 | RoundTime=41.56s | TotalTime=805.84s | Method=fedrdn
[Round 020/100] Acc=21.240 | RoundTime=41.21s | TotalTime=847.05s | Method=fedrdn
[Round 021/100] Acc=19.650 | RoundTime=41.73s | TotalTime=888.78s | Method=fedrdn
[Round 022/100] Acc=21.630 | RoundTime=41.01s | TotalTime=929.79s | Method=fedrdn
[Round 023/100] Acc=19.860 | RoundTime=41.40s | TotalTime=971.19s | Method=fedrdn
[Round 024/100] Acc=20.290 | RoundTime=41.54s | TotalTime=1012.73s | Method=fedrdn
[Round 025/100] Acc=20.060 | RoundTime=40.87s | TotalTime=1053.60s | Method=fedrdn
[Round 026/100] Acc=20.130 | RoundTime=40.90s | TotalTime=1094.50s | Method=fedrdn
[Round 027/100] Acc=20.860 | RoundTime=41.37s | TotalTime=1135.87s | Method=fedrdn
[Round 028/100] Acc=21.430 | RoundTime=41.22s | TotalTime=1177.09s | Method=fedrdn
[Round 029/100] Acc=20.730 | RoundTime=40.99s | TotalTime=1218.09s | Method=fedrdn
[Round 030/100] Acc=20.180 | RoundTime=40.95s | TotalTime=1259.04s | Method=fedrdn
[Round 031/100] Acc=17.790 | RoundTime=41.36s | TotalTime=1300.40s | Method=fedrdn
[Round 032/100] Acc=24.170 | RoundTime=41.73s | TotalTime=1342.14s | Method=fedrdn
[Round 033/100] Acc=19.610 | RoundTime=41.31s | TotalTime=1383.45s | Method=fedrdn
[Round 034/100] Acc=20.330 | RoundTime=41.03s | TotalTime=1424.48s | Method=fedrdn
[Round 035/100] Acc=20.610 | RoundTime=41.31s | TotalTime=1465.79s | Method=fedrdn
[Round 036/100] Acc=16.130 | RoundTime=41.57s | TotalTime=1507.37s | Method=fedrdn
