====================================================================================================
Training started at: 2026-03-27 04:45:25
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-044525-403901_pid3418352.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-044525-403901_pid3418352.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.070 | RoundTime=25.25s | TotalTime=25.25s | Method=fedcda
[Round 002/100] Acc=49.050 | RoundTime=24.95s | TotalTime=50.20s | Method=fedcda
[Round 003/100] Acc=57.330 | RoundTime=25.51s | TotalTime=75.71s | Method=fedcda
[Round 004/100] Acc=66.430 | RoundTime=25.37s | TotalTime=101.08s | Method=fedcda
[Round 005/100] Acc=71.270 | RoundTime=25.40s | TotalTime=126.48s | Method=fedcda
[Round 006/100] Acc=61.630 | RoundTime=25.57s | TotalTime=152.05s | Method=fedcda
[Round 007/100] Acc=66.880 | RoundTime=25.74s | TotalTime=177.79s | Method=fedcda
[Round 008/100] Acc=61.220 | RoundTime=27.73s | TotalTime=205.52s | Method=fedcda
[Round 009/100] Acc=68.260 | RoundTime=25.63s | TotalTime=231.15s | Method=fedcda
[Round 010/100] Acc=68.740 | RoundTime=25.94s | TotalTime=257.09s | Method=fedcda
[Round 011/100] Acc=68.840 | RoundTime=26.10s | TotalTime=283.19s | Method=fedcda
[Round 012/100] Acc=63.990 | RoundTime=26.25s | TotalTime=309.44s | Method=fedcda
[Round 013/100] Acc=72.400 | RoundTime=26.39s | TotalTime=335.83s | Method=fedcda
[Round 014/100] Acc=73.730 | RoundTime=26.06s | TotalTime=361.89s | Method=fedcda
[Round 015/100] Acc=72.820 | RoundTime=26.25s | TotalTime=388.14s | Method=fedcda
[Round 016/100] Acc=64.540 | RoundTime=26.14s | TotalTime=414.28s | Method=fedcda
[Round 017/100] Acc=45.110 | RoundTime=26.29s | TotalTime=440.57s | Method=fedcda
[Round 018/100] Acc=67.270 | RoundTime=26.05s | TotalTime=466.62s | Method=fedcda
[Round 019/100] Acc=65.300 | RoundTime=25.94s | TotalTime=492.56s | Method=fedcda
[Round 020/100] Acc=70.190 | RoundTime=26.05s | TotalTime=518.61s | Method=fedcda
[Round 021/100] Acc=66.000 | RoundTime=28.09s | TotalTime=546.70s | Method=fedcda
[Round 022/100] Acc=71.340 | RoundTime=26.30s | TotalTime=573.00s | Method=fedcda
[Round 023/100] Acc=56.480 | RoundTime=26.18s | TotalTime=599.17s | Method=fedcda
[Round 024/100] Acc=58.950 | RoundTime=26.16s | TotalTime=625.33s | Method=fedcda
[Round 025/100] Acc=69.600 | RoundTime=25.86s | TotalTime=651.19s | Method=fedcda
[Round 026/100] Acc=73.770 | RoundTime=26.27s | TotalTime=677.45s | Method=fedcda
[Round 027/100] Acc=69.590 | RoundTime=26.11s | TotalTime=703.56s | Method=fedcda
[Round 028/100] Acc=67.520 | RoundTime=26.22s | TotalTime=729.79s | Method=fedcda
[Round 029/100] Acc=52.820 | RoundTime=26.07s | TotalTime=755.85s | Method=fedcda
[Round 030/100] Acc=58.790 | RoundTime=26.37s | TotalTime=782.22s | Method=fedcda
[Round 031/100] Acc=68.750 | RoundTime=26.25s | TotalTime=808.48s | Method=fedcda
[Round 032/100] Acc=73.380 | RoundTime=26.04s | TotalTime=834.51s | Method=fedcda
[Round 033/100] Acc=68.140 | RoundTime=26.19s | TotalTime=860.70s | Method=fedcda
[Round 034/100] Acc=57.860 | RoundTime=28.31s | TotalTime=889.01s | Method=fedcda
[Round 035/100] Acc=69.190 | RoundTime=26.46s | TotalTime=915.47s | Method=fedcda
[Round 036/100] Acc=68.090 | RoundTime=26.30s | TotalTime=941.78s | Method=fedcda
[Round 037/100] Acc=72.730 | RoundTime=26.28s | TotalTime=968.05s | Method=fedcda
[Round 038/100] Acc=71.650 | RoundTime=26.35s | TotalTime=994.40s | Method=fedcda
[Round 039/100] Acc=72.190 | RoundTime=26.16s | TotalTime=1020.56s | Method=fedcda
[Round 040/100] Acc=65.720 | RoundTime=26.52s | TotalTime=1047.08s | Method=fedcda
[Round 041/100] Acc=64.280 | RoundTime=26.38s | TotalTime=1073.45s | Method=fedcda
[Round 042/100] Acc=68.580 | RoundTime=26.59s | TotalTime=1100.05s | Method=fedcda
[Round 043/100] Acc=54.690 | RoundTime=26.56s | TotalTime=1126.61s | Method=fedcda
[Round 044/100] Acc=67.890 | RoundTime=26.55s | TotalTime=1153.16s | Method=fedcda
[Round 045/100] Acc=51.420 | RoundTime=26.18s | TotalTime=1179.33s | Method=fedcda
[Round 046/100] Acc=71.950 | RoundTime=26.26s | TotalTime=1205.59s | Method=fedcda
[Round 047/100] Acc=57.300 | RoundTime=26.25s | TotalTime=1231.84s | Method=fedcda
[Round 048/100] Acc=67.670 | RoundTime=28.42s | TotalTime=1260.26s | Method=fedcda
[Round 049/100] Acc=60.360 | RoundTime=26.60s | TotalTime=1286.86s | Method=fedcda
[Round 050/100] Acc=67.380 | RoundTime=26.70s | TotalTime=1313.56s | Method=fedcda
[Round 051/100] Acc=68.500 | RoundTime=37.53s | TotalTime=1351.09s | Method=fedcda
[Round 052/100] Acc=68.570 | RoundTime=38.59s | TotalTime=1389.69s | Method=fedcda
[Round 053/100] Acc=69.590 | RoundTime=38.50s | TotalTime=1428.19s | Method=fedcda
[Round 054/100] Acc=70.300 | RoundTime=37.67s | TotalTime=1465.86s | Method=fedcda
[Round 055/100] Acc=70.230 | RoundTime=37.84s | TotalTime=1503.70s | Method=fedcda
[Round 056/100] Acc=71.110 | RoundTime=37.33s | TotalTime=1541.02s | Method=fedcda
[Round 057/100] Acc=71.460 | RoundTime=38.10s | TotalTime=1579.12s | Method=fedcda
[Round 058/100] Acc=71.940 | RoundTime=37.73s | TotalTime=1616.85s | Method=fedcda
[Round 059/100] Acc=72.280 | RoundTime=37.50s | TotalTime=1654.35s | Method=fedcda
[Round 060/100] Acc=72.240 | RoundTime=37.75s | TotalTime=1692.10s | Method=fedcda
[Round 061/100] Acc=72.000 | RoundTime=37.71s | TotalTime=1729.81s | Method=fedcda
[Round 062/100] Acc=72.000 | RoundTime=37.14s | TotalTime=1766.95s | Method=fedcda
[Round 063/100] Acc=72.050 | RoundTime=37.48s | TotalTime=1804.43s | Method=fedcda
[Round 064/100] Acc=57.050 | RoundTime=37.63s | TotalTime=1842.06s | Method=fedcda
[Round 065/100] Acc=57.430 | RoundTime=37.53s | TotalTime=1879.60s | Method=fedcda
[Round 066/100] Acc=57.610 | RoundTime=37.22s | TotalTime=1916.82s | Method=fedcda
[Round 067/100] Acc=58.000 | RoundTime=37.71s | TotalTime=1954.53s | Method=fedcda
[Round 068/100] Acc=57.840 | RoundTime=37.85s | TotalTime=1992.39s | Method=fedcda
[Round 069/100] Acc=57.840 | RoundTime=37.73s | TotalTime=2030.12s | Method=fedcda
[Round 070/100] Acc=57.860 | RoundTime=37.99s | TotalTime=2068.11s | Method=fedcda
[Round 071/100] Acc=57.740 | RoundTime=37.57s | TotalTime=2105.68s | Method=fedcda
[Round 072/100] Acc=57.780 | RoundTime=37.65s | TotalTime=2143.33s | Method=fedcda
[Round 073/100] Acc=57.990 | RoundTime=38.21s | TotalTime=2181.54s | Method=fedcda
