========================================================================================================================
Training started at: 2026-04-07 06:43:22
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 044/210] Phase=standard | Stage=warmup | Acc=35.600 | RoundTime=35.45s | TotalTime=1552.11s | Method=fedprox
[Round 045/210] Phase=standard | Stage=warmup | Acc=36.790 | RoundTime=35.45s | TotalTime=1587.58s | Method=fedprox
[Round 046/210] Phase=standard | Stage=warmup | Acc=36.480 | RoundTime=35.49s | TotalTime=1623.07s | Method=fedprox
[Round 047/210] Phase=standard | Stage=warmup | Acc=36.690 | RoundTime=35.48s | TotalTime=1658.56s | Method=fedprox
[Round 048/210] Phase=standard | Stage=warmup | Acc=37.410 | RoundTime=33.46s | TotalTime=1692.03s | Method=fedprox
[Round 049/210] Phase=standard | Stage=warmup | Acc=37.910 | RoundTime=35.53s | TotalTime=1727.57s | Method=fedprox
[Round 050/210] Phase=standard | Stage=warmup | Acc=38.250 | RoundTime=35.64s | TotalTime=1763.22s | Method=fedprox
[Round 051/210] Phase=standard | Stage=warmup | Acc=38.610 | RoundTime=37.86s | TotalTime=1801.10s | Method=fedprox
[Round 052/210] Phase=standard | Stage=warmup | Acc=39.700 | RoundTime=35.41s | TotalTime=1836.53s | Method=fedprox
[Round 053/210] Phase=standard | Stage=warmup | Acc=40.110 | RoundTime=35.04s | TotalTime=1871.58s | Method=fedprox
[Round 054/210] Phase=standard | Stage=warmup | Acc=39.700 | RoundTime=33.41s | TotalTime=1905.00s | Method=fedprox
[Round 055/210] Phase=standard | Stage=warmup | Acc=40.420 | RoundTime=35.54s | TotalTime=1940.55s | Method=fedprox
[Round 056/210] Phase=standard | Stage=warmup | Acc=40.570 | RoundTime=36.15s | TotalTime=1976.71s | Method=fedprox
[Round 057/210] Phase=standard | Stage=warmup | Acc=41.650 | RoundTime=35.29s | TotalTime=2012.01s | Method=fedprox
[Round 058/210] Phase=standard | Stage=warmup | Acc=41.970 | RoundTime=36.20s | TotalTime=2048.22s | Method=fedprox
[Round 059/210] Phase=standard | Stage=warmup | Acc=42.240 | RoundTime=35.37s | TotalTime=2083.61s | Method=fedprox
[Round 060/210] Phase=standard | Stage=warmup | Acc=41.960 | RoundTime=34.13s | TotalTime=2117.75s | Method=fedprox
[Round 061/210] Phase=standard | Stage=warmup | Acc=42.820 | RoundTime=35.53s | TotalTime=2153.29s | Method=fedprox
[Round 062/210] Phase=standard | Stage=warmup | Acc=43.060 | RoundTime=35.87s | TotalTime=2189.17s | Method=fedprox
[Round 063/210] Phase=standard | Stage=warmup | Acc=43.270 | RoundTime=35.63s | TotalTime=2224.81s | Method=fedprox
[Round 064/210] Phase=standard | Stage=warmup | Acc=44.500 | RoundTime=35.29s | TotalTime=2260.12s | Method=fedprox
[Round 065/210] Phase=standard | Stage=warmup | Acc=44.550 | RoundTime=35.30s | TotalTime=2295.42s | Method=fedprox
[Round 066/210] Phase=standard | Stage=warmup | Acc=44.570 | RoundTime=36.08s | TotalTime=2331.52s | Method=fedprox
[Round 067/210] Phase=standard | Stage=warmup | Acc=44.770 | RoundTime=34.64s | TotalTime=2366.17s | Method=fedprox
[Round 068/210] Phase=standard | Stage=warmup | Acc=45.420 | RoundTime=35.50s | TotalTime=2401.69s | Method=fedprox
[Round 069/210] Phase=standard | Stage=warmup | Acc=45.890 | RoundTime=35.88s | TotalTime=2437.58s | Method=fedprox
