====================================================================================================
Training started at: 2026-03-14 08:39:47
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-083947.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-083947.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | RoundTime=61.81s | TotalTime=61.81s | Method=fedprox
[Round 002/100] Acc=54.380 | RoundTime=59.71s | TotalTime=121.52s | Method=fedprox
[Round 003/100] Acc=94.130 | RoundTime=61.13s | TotalTime=182.65s | Method=fedprox
[Round 004/100] Acc=95.940 | RoundTime=59.98s | TotalTime=242.63s | Method=fedprox
[Round 005/100] Acc=92.170 | RoundTime=61.44s | TotalTime=304.07s | Method=fedprox
[Round 006/100] Acc=95.170 | RoundTime=59.91s | TotalTime=363.98s | Method=fedprox
[Round 007/100] Acc=93.990 | RoundTime=60.03s | TotalTime=424.01s | Method=fedprox
[Round 008/100] Acc=89.010 | RoundTime=62.27s | TotalTime=486.28s | Method=fedprox
[Round 009/100] Acc=94.760 | RoundTime=62.95s | TotalTime=549.22s | Method=fedprox
[Round 010/100] Acc=90.210 | RoundTime=61.81s | TotalTime=611.03s | Method=fedprox
[Round 011/100] Acc=92.920 | RoundTime=61.32s | TotalTime=672.35s | Method=fedprox
[Round 012/100] Acc=92.680 | RoundTime=62.38s | TotalTime=734.73s | Method=fedprox
[Round 013/100] Acc=95.150 | RoundTime=62.26s | TotalTime=797.00s | Method=fedprox
[Round 014/100] Acc=92.630 | RoundTime=62.63s | TotalTime=859.63s | Method=fedprox
[Round 015/100] Acc=93.360 | RoundTime=63.20s | TotalTime=922.83s | Method=fedprox
[Round 016/100] Acc=94.030 | RoundTime=65.76s | TotalTime=988.59s | Method=fedprox
[Round 017/100] Acc=93.240 | RoundTime=63.33s | TotalTime=1051.92s | Method=fedprox
[Round 018/100] Acc=90.230 | RoundTime=66.40s | TotalTime=1118.32s | Method=fedprox
[Round 019/100] Acc=93.810 | RoundTime=64.10s | TotalTime=1182.42s | Method=fedprox
[Round 020/100] Acc=92.410 | RoundTime=63.64s | TotalTime=1246.06s | Method=fedprox
[Round 021/100] Acc=93.780 | RoundTime=63.77s | TotalTime=1309.83s | Method=fedprox
[Round 022/100] Acc=92.800 | RoundTime=64.32s | TotalTime=1374.14s | Method=fedprox
[Round 023/100] Acc=90.770 | RoundTime=64.07s | TotalTime=1438.22s | Method=fedprox
[Round 024/100] Acc=93.280 | RoundTime=63.39s | TotalTime=1501.61s | Method=fedprox
[Round 025/100] Acc=88.030 | RoundTime=65.00s | TotalTime=1566.61s | Method=fedprox
[Round 026/100] Acc=92.060 | RoundTime=64.06s | TotalTime=1630.67s | Method=fedprox
[Round 027/100] Acc=91.190 | RoundTime=65.30s | TotalTime=1695.97s | Method=fedprox
[Round 028/100] Acc=94.780 | RoundTime=64.94s | TotalTime=1760.91s | Method=fedprox
[Round 029/100] Acc=93.340 | RoundTime=64.62s | TotalTime=1825.54s | Method=fedprox
[Round 030/100] Acc=93.840 | RoundTime=64.67s | TotalTime=1890.20s | Method=fedprox
[Round 031/100] Acc=92.810 | RoundTime=64.72s | TotalTime=1954.93s | Method=fedprox
[Round 032/100] Acc=93.670 | RoundTime=65.81s | TotalTime=2020.74s | Method=fedprox
[Round 033/100] Acc=93.610 | RoundTime=62.53s | TotalTime=2083.27s | Method=fedprox
[Round 034/100] Acc=92.090 | RoundTime=64.21s | TotalTime=2147.48s | Method=fedprox
[Round 035/100] Acc=90.550 | RoundTime=64.14s | TotalTime=2211.62s | Method=fedprox
[Round 036/100] Acc=91.460 | RoundTime=62.84s | TotalTime=2274.46s | Method=fedprox
[Round 037/100] Acc=94.110 | RoundTime=64.03s | TotalTime=2338.49s | Method=fedprox
[Round 038/100] Acc=92.090 | RoundTime=65.36s | TotalTime=2403.85s | Method=fedprox
[Round 039/100] Acc=91.320 | RoundTime=62.68s | TotalTime=2466.53s | Method=fedprox
[Round 040/100] Acc=93.440 | RoundTime=63.73s | TotalTime=2530.26s | Method=fedprox
[Round 041/100] Acc=91.420 | RoundTime=62.52s | TotalTime=2592.77s | Method=fedprox
[Round 042/100] Acc=92.860 | RoundTime=79.69s | TotalTime=2672.47s | Method=fedprox
[Round 043/100] Acc=92.820 | RoundTime=118.92s | TotalTime=2791.39s | Method=fedprox
[Round 044/100] Acc=93.140 | RoundTime=117.64s | TotalTime=2909.03s | Method=fedprox
[Round 045/100] Acc=91.790 | RoundTime=116.95s | TotalTime=3025.98s | Method=fedprox
[Round 046/100] Acc=93.810 | RoundTime=117.25s | TotalTime=3143.23s | Method=fedprox
[Round 047/100] Acc=91.770 | RoundTime=118.11s | TotalTime=3261.35s | Method=fedprox
[Round 048/100] Acc=93.640 | RoundTime=117.82s | TotalTime=3379.16s | Method=fedprox
[Round 049/100] Acc=93.850 | RoundTime=117.20s | TotalTime=3496.36s | Method=fedprox
[Round 050/100] Acc=94.310 | RoundTime=117.98s | TotalTime=3614.34s | Method=fedprox
[Round 051/100] Acc=92.440 | RoundTime=117.50s | TotalTime=3731.84s | Method=fedprox
