========================================================================================================================
Training started at: 2026-04-08 11:21:56
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_mnist_20260408-112156-125965_pid3433559.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_mnist_20260408-112156-125965_pid3433559.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.01
========================================================================================================================
[Round 044/100] Phase=standard | Stage=warmup | Acc=98.700 | RoundTime=53.52s | TotalTime=2301.86s | Method=fedprox
[Round 045/100] Phase=standard | Stage=warmup | Acc=98.660 | RoundTime=53.44s | TotalTime=2355.31s | Method=fedprox
[Round 046/100] Phase=standard | Stage=warmup | Acc=98.610 | RoundTime=52.93s | TotalTime=2408.29s | Method=fedprox
[Round 047/100] Phase=standard | Stage=warmup | Acc=98.690 | RoundTime=52.37s | TotalTime=2460.67s | Method=fedprox
[Round 048/100] Phase=standard | Stage=warmup | Acc=98.570 | RoundTime=55.88s | TotalTime=2516.58s | Method=fedprox
[Round 049/100] Phase=standard | Stage=warmup | Acc=98.650 | RoundTime=53.36s | TotalTime=2569.96s | Method=fedprox
[Round 050/100] Phase=standard | Stage=warmup | Acc=98.680 | RoundTime=54.91s | TotalTime=2624.88s | Method=fedprox
[Round 051/100] Phase=standard | Stage=warmup | Acc=98.810 | RoundTime=53.98s | TotalTime=2678.97s | Method=fedprox
[Round 052/100] Phase=standard | Stage=warmup | Acc=98.750 | RoundTime=54.36s | TotalTime=2733.34s | Method=fedprox
[Round 053/100] Phase=standard | Stage=warmup | Acc=98.790 | RoundTime=53.25s | TotalTime=2786.61s | Method=fedprox
[Round 054/100] Phase=standard | Stage=warmup | Acc=98.790 | RoundTime=52.70s | TotalTime=2839.36s | Method=fedprox
