====================================================================================================
Training started at: 2026-03-14 10:34:04
Result directory: results/fl_mnist/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_mnist_20260314-103404.txt
Result log file : results/fl_mnist/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_mnist_20260314-103404.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 056/100] Acc=92.050 | RoundTime=56.88s | TotalTime=3324.89s | Method=fedrdn
[Round 057/100] Acc=91.730 | RoundTime=56.15s | TotalTime=3381.04s | Method=fedrdn
[Round 058/100] Acc=90.750 | RoundTime=57.54s | TotalTime=3438.58s | Method=fedrdn
[Round 059/100] Acc=91.620 | RoundTime=56.62s | TotalTime=3495.21s | Method=fedrdn
[Round 060/100] Acc=90.070 | RoundTime=56.44s | TotalTime=3551.64s | Method=fedrdn
[Round 061/100] Acc=91.190 | RoundTime=56.59s | TotalTime=3608.24s | Method=fedrdn
[Round 062/100] Acc=91.420 | RoundTime=56.68s | TotalTime=3664.92s | Method=fedrdn
[Round 063/100] Acc=93.930 | RoundTime=56.72s | TotalTime=3721.64s | Method=fedrdn
[Round 064/100] Acc=90.420 | RoundTime=56.28s | TotalTime=3777.92s | Method=fedrdn
[Round 065/100] Acc=92.110 | RoundTime=56.81s | TotalTime=3834.73s | Method=fedrdn
[Round 066/100] Acc=92.980 | RoundTime=55.98s | TotalTime=3890.71s | Method=fedrdn
[Round 067/100] Acc=90.980 | RoundTime=56.57s | TotalTime=3947.28s | Method=fedrdn
[Round 068/100] Acc=91.640 | RoundTime=56.19s | TotalTime=4003.47s | Method=fedrdn
[Round 069/100] Acc=94.090 | RoundTime=55.06s | TotalTime=4058.53s | Method=fedrdn
[Round 070/100] Acc=93.570 | RoundTime=57.77s | TotalTime=4116.30s | Method=fedrdn
[Round 071/100] Acc=93.100 | RoundTime=55.43s | TotalTime=4171.73s | Method=fedrdn
[Round 072/100] Acc=92.360 | RoundTime=57.09s | TotalTime=4228.82s | Method=fedrdn
[Round 073/100] Acc=93.600 | RoundTime=51.92s | TotalTime=4280.74s | Method=fedrdn
[Round 074/100] Acc=90.960 | RoundTime=48.16s | TotalTime=4328.90s | Method=fedrdn
[Round 075/100] Acc=92.150 | RoundTime=48.24s | TotalTime=4377.14s | Method=fedrdn
[Round 076/100] Acc=90.610 | RoundTime=51.03s | TotalTime=4428.17s | Method=fedrdn
[Round 077/100] Acc=93.020 | RoundTime=50.68s | TotalTime=4478.85s | Method=fedrdn
[Round 078/100] Acc=93.130 | RoundTime=49.85s | TotalTime=4528.70s | Method=fedrdn
[Round 079/100] Acc=92.940 | RoundTime=50.51s | TotalTime=4579.21s | Method=fedrdn
[Round 080/100] Acc=91.260 | RoundTime=49.54s | TotalTime=4628.75s | Method=fedrdn
[Round 081/100] Acc=89.480 | RoundTime=50.07s | TotalTime=4678.82s | Method=fedrdn
[Round 082/100] Acc=90.360 | RoundTime=48.65s | TotalTime=4727.47s | Method=fedrdn
[Round 083/100] Acc=91.500 | RoundTime=49.51s | TotalTime=4776.97s | Method=fedrdn
[Round 084/100] Acc=92.500 | RoundTime=49.93s | TotalTime=4826.91s | Method=fedrdn
[Round 085/100] Acc=92.660 | RoundTime=50.27s | TotalTime=4877.18s | Method=fedrdn
[Round 086/100] Acc=93.320 | RoundTime=49.42s | TotalTime=4926.60s | Method=fedrdn
[Round 087/100] Acc=92.350 | RoundTime=49.68s | TotalTime=4976.28s | Method=fedrdn
[Round 088/100] Acc=92.240 | RoundTime=49.37s | TotalTime=5025.65s | Method=fedrdn
[Round 089/100] Acc=92.020 | RoundTime=49.76s | TotalTime=5075.41s | Method=fedrdn
[Round 090/100] Acc=92.430 | RoundTime=49.63s | TotalTime=5125.04s | Method=fedrdn
[Round 091/100] Acc=91.720 | RoundTime=50.18s | TotalTime=5175.22s | Method=fedrdn
[Round 092/100] Acc=93.080 | RoundTime=49.86s | TotalTime=5225.08s | Method=fedrdn
[Round 093/100] Acc=92.610 | RoundTime=49.56s | TotalTime=5274.64s | Method=fedrdn
[Round 094/100] Acc=92.210 | RoundTime=48.55s | TotalTime=5323.19s | Method=fedrdn
[Round 095/100] Acc=91.700 | RoundTime=49.77s | TotalTime=5372.96s | Method=fedrdn
[Round 096/100] Acc=91.030 | RoundTime=49.83s | TotalTime=5422.79s | Method=fedrdn
[Round 097/100] Acc=90.390 | RoundTime=50.12s | TotalTime=5472.91s | Method=fedrdn
[Round 098/100] Acc=92.460 | RoundTime=49.79s | TotalTime=5522.70s | Method=fedrdn
[Round 099/100] Acc=92.720 | RoundTime=49.35s | TotalTime=5572.05s | Method=fedrdn
[Round 100/100] Acc=90.590 | RoundTime=49.08s | TotalTime=5621.12s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-14 12:07:45
Total elapsed time: 5621.13s
Final Acc: 90.590
Best Acc : 95.220
====================================================================================================
