========================================================================================================================
Training started at: 2026-04-09 07:01:56
Result directory: results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.txt
Result log file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 042/210] Phase=standard | Stage=warmup | Acc=99.210 | RoundTime=31.49s | TotalTime=1309.73s | Method=fedgloss
[Round 043/210] Phase=standard | Stage=warmup | Acc=99.190 | RoundTime=31.06s | TotalTime=1340.80s | Method=fedgloss
[Round 044/210] Phase=standard | Stage=warmup | Acc=99.140 | RoundTime=30.88s | TotalTime=1371.69s | Method=fedgloss
[Round 045/210] Phase=standard | Stage=warmup | Acc=99.230 | RoundTime=31.83s | TotalTime=1403.54s | Method=fedgloss
[Round 046/210] Phase=standard | Stage=warmup | Acc=99.260 | RoundTime=31.44s | TotalTime=1434.98s | Method=fedgloss
[Round 047/210] Phase=standard | Stage=warmup | Acc=99.250 | RoundTime=31.67s | TotalTime=1466.66s | Method=fedgloss
[Round 048/210] Phase=standard | Stage=warmup | Acc=99.270 | RoundTime=30.83s | TotalTime=1497.49s | Method=fedgloss
[Round 049/210] Phase=standard | Stage=warmup | Acc=99.230 | RoundTime=30.94s | TotalTime=1528.44s | Method=fedgloss
[Round 050/210] Phase=standard | Stage=warmup | Acc=99.240 | RoundTime=30.89s | TotalTime=1559.34s | Method=fedgloss
[Round 051/210] Phase=standard | Stage=warmup | Acc=99.200 | RoundTime=30.98s | TotalTime=1590.34s | Method=fedgloss
[Round 052/210] Phase=standard | Stage=warmup | Acc=99.250 | RoundTime=31.27s | TotalTime=1621.61s | Method=fedgloss
[Round 053/210] Phase=standard | Stage=warmup | Acc=99.210 | RoundTime=31.04s | TotalTime=1652.67s | Method=fedgloss
[Round 054/210] Phase=standard | Stage=warmup | Acc=99.230 | RoundTime=30.55s | TotalTime=1683.23s | Method=fedgloss
[Round 055/210] Phase=standard | Stage=warmup | Acc=99.250 | RoundTime=30.50s | TotalTime=1713.74s | Method=fedgloss
[Round 056/210] Phase=standard | Stage=warmup | Acc=99.220 | RoundTime=31.59s | TotalTime=1745.34s | Method=fedgloss
[Round 057/210] Phase=standard | Stage=warmup | Acc=99.250 | RoundTime=31.03s | TotalTime=1776.38s | Method=fedgloss
[Round 058/210] Phase=standard | Stage=warmup | Acc=99.260 | RoundTime=31.15s | TotalTime=1807.54s | Method=fedgloss
[Round 059/210] Phase=standard | Stage=warmup | Acc=99.240 | RoundTime=30.80s | TotalTime=1838.35s | Method=fedgloss
[Round 060/210] Phase=standard | Stage=warmup | Acc=99.170 | RoundTime=30.83s | TotalTime=1869.19s | Method=fedgloss
[Round 061/210] Phase=standard | Stage=warmup | Acc=99.210 | RoundTime=31.24s | TotalTime=1900.45s | Method=fedgloss
[Round 062/210] Phase=standard | Stage=warmup | Acc=99.200 | RoundTime=30.72s | TotalTime=1931.18s | Method=fedgloss
