====================================================================================================
Training started at: 2026-03-14 12:38:22
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_svhn_20260314-123822.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_svhn_20260314-123822.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 057/100] Acc=62.850 | RoundTime=62.00s | TotalTime=3024.94s | Method=fedcda
[Round 058/100] Acc=63.680 | RoundTime=64.27s | TotalTime=3089.21s | Method=fedcda
[Round 059/100] Acc=63.410 | RoundTime=61.63s | TotalTime=3150.84s | Method=fedcda
[Round 060/100] Acc=63.740 | RoundTime=60.88s | TotalTime=3211.71s | Method=fedcda
[Round 061/100] Acc=64.000 | RoundTime=62.45s | TotalTime=3274.16s | Method=fedcda
[Round 062/100] Acc=64.060 | RoundTime=62.36s | TotalTime=3336.52s | Method=fedcda
[Round 063/100] Acc=64.460 | RoundTime=64.19s | TotalTime=3400.72s | Method=fedcda
[Round 064/100] Acc=64.390 | RoundTime=61.90s | TotalTime=3462.62s | Method=fedcda
[Round 065/100] Acc=64.800 | RoundTime=62.77s | TotalTime=3525.40s | Method=fedcda
[Round 066/100] Acc=65.630 | RoundTime=64.43s | TotalTime=3589.83s | Method=fedcda
[Round 067/100] Acc=65.150 | RoundTime=63.80s | TotalTime=3653.63s | Method=fedcda
[Round 068/100] Acc=65.780 | RoundTime=60.53s | TotalTime=3714.16s | Method=fedcda
[Round 069/100] Acc=65.700 | RoundTime=61.62s | TotalTime=3775.77s | Method=fedcda
[Round 070/100] Acc=65.790 | RoundTime=61.40s | TotalTime=3837.18s | Method=fedcda
[Round 071/100] Acc=66.210 | RoundTime=61.76s | TotalTime=3898.94s | Method=fedcda
[Round 072/100] Acc=65.430 | RoundTime=62.37s | TotalTime=3961.31s | Method=fedcda
[Round 073/100] Acc=65.380 | RoundTime=60.40s | TotalTime=4021.71s | Method=fedcda
