====================================================================================================
Training started at: 2026-03-14 08:55:27
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.1_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-085527.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.1_nm-uni_nr-0.3/fedrdn_fl_cifar10_20260314-085527.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=63.48s | TotalTime=63.48s | Method=fedrdn
[Round 002/100] Acc=10.000 | RoundTime=40.87s | TotalTime=104.35s | Method=fedrdn
[Round 003/100] Acc=13.980 | RoundTime=40.84s | TotalTime=145.18s | Method=fedrdn
[Round 004/100] Acc=13.790 | RoundTime=40.94s | TotalTime=186.12s | Method=fedrdn
[Round 005/100] Acc=10.670 | RoundTime=40.93s | TotalTime=227.05s | Method=fedrdn
[Round 006/100] Acc=10.940 | RoundTime=41.34s | TotalTime=268.40s | Method=fedrdn
[Round 007/100] Acc=13.190 | RoundTime=40.55s | TotalTime=308.95s | Method=fedrdn
[Round 008/100] Acc=13.630 | RoundTime=41.03s | TotalTime=349.98s | Method=fedrdn
[Round 009/100] Acc=15.360 | RoundTime=40.73s | TotalTime=390.71s | Method=fedrdn
[Round 010/100] Acc=16.250 | RoundTime=40.50s | TotalTime=431.21s | Method=fedrdn
[Round 011/100] Acc=17.760 | RoundTime=40.95s | TotalTime=472.17s | Method=fedrdn
[Round 012/100] Acc=19.050 | RoundTime=41.67s | TotalTime=513.84s | Method=fedrdn
[Round 013/100] Acc=17.430 | RoundTime=40.75s | TotalTime=554.59s | Method=fedrdn
[Round 014/100] Acc=16.810 | RoundTime=40.86s | TotalTime=595.45s | Method=fedrdn
[Round 015/100] Acc=14.760 | RoundTime=40.93s | TotalTime=636.37s | Method=fedrdn
[Round 016/100] Acc=19.410 | RoundTime=40.92s | TotalTime=677.29s | Method=fedrdn
[Round 017/100] Acc=13.280 | RoundTime=41.16s | TotalTime=718.46s | Method=fedrdn
[Round 018/100] Acc=16.210 | RoundTime=41.22s | TotalTime=759.68s | Method=fedrdn
[Round 019/100] Acc=16.770 | RoundTime=41.11s | TotalTime=800.79s | Method=fedrdn
[Round 020/100] Acc=17.570 | RoundTime=40.95s | TotalTime=841.74s | Method=fedrdn
[Round 021/100] Acc=16.850 | RoundTime=41.39s | TotalTime=883.13s | Method=fedrdn
[Round 022/100] Acc=16.640 | RoundTime=41.47s | TotalTime=924.60s | Method=fedrdn
[Round 023/100] Acc=14.430 | RoundTime=41.20s | TotalTime=965.80s | Method=fedrdn
[Round 024/100] Acc=16.950 | RoundTime=40.90s | TotalTime=1006.70s | Method=fedrdn
[Round 025/100] Acc=16.510 | RoundTime=40.99s | TotalTime=1047.70s | Method=fedrdn
[Round 026/100] Acc=15.240 | RoundTime=40.65s | TotalTime=1088.35s | Method=fedrdn
[Round 027/100] Acc=16.230 | RoundTime=40.94s | TotalTime=1129.29s | Method=fedrdn
[Round 028/100] Acc=14.480 | RoundTime=40.64s | TotalTime=1169.93s | Method=fedrdn
[Round 029/100] Acc=16.790 | RoundTime=40.59s | TotalTime=1210.52s | Method=fedrdn
[Round 030/100] Acc=16.560 | RoundTime=40.91s | TotalTime=1251.43s | Method=fedrdn
[Round 031/100] Acc=16.500 | RoundTime=40.64s | TotalTime=1292.07s | Method=fedrdn
[Round 032/100] Acc=17.130 | RoundTime=41.26s | TotalTime=1333.34s | Method=fedrdn
[Round 033/100] Acc=19.360 | RoundTime=41.45s | TotalTime=1374.78s | Method=fedrdn
[Round 034/100] Acc=17.480 | RoundTime=41.00s | TotalTime=1415.79s | Method=fedrdn
[Round 035/100] Acc=18.180 | RoundTime=40.80s | TotalTime=1456.60s | Method=fedrdn
[Round 036/100] Acc=14.040 | RoundTime=41.44s | TotalTime=1498.04s | Method=fedrdn
