====================================================================================================
Training started at: 2026-03-14 09:23:50
Result directory: results/fl_cifar10/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_cifar10_20260314-092350.txt
Result log file : results/fl_cifar10/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_cifar10_20260314-092350.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=95.90s | TotalTime=95.90s | Method=fedprox
[Round 002/100] Acc=15.560 | RoundTime=95.06s | TotalTime=190.96s | Method=fedprox
[Round 003/100] Acc=30.640 | RoundTime=94.67s | TotalTime=285.63s | Method=fedprox
[Round 004/100] Acc=32.660 | RoundTime=94.72s | TotalTime=380.35s | Method=fedprox
[Round 005/100] Acc=32.430 | RoundTime=94.94s | TotalTime=475.29s | Method=fedprox
[Round 006/100] Acc=36.590 | RoundTime=94.65s | TotalTime=569.94s | Method=fedprox
[Round 007/100] Acc=33.240 | RoundTime=94.78s | TotalTime=664.72s | Method=fedprox
[Round 008/100] Acc=38.190 | RoundTime=94.95s | TotalTime=759.67s | Method=fedprox
[Round 009/100] Acc=37.130 | RoundTime=96.03s | TotalTime=855.71s | Method=fedprox
[Round 010/100] Acc=40.100 | RoundTime=95.73s | TotalTime=951.43s | Method=fedprox
[Round 011/100] Acc=42.970 | RoundTime=94.96s | TotalTime=1046.39s | Method=fedprox
[Round 012/100] Acc=40.840 | RoundTime=95.28s | TotalTime=1141.67s | Method=fedprox
[Round 013/100] Acc=41.790 | RoundTime=94.93s | TotalTime=1236.60s | Method=fedprox
[Round 014/100] Acc=42.470 | RoundTime=94.96s | TotalTime=1331.56s | Method=fedprox
[Round 015/100] Acc=41.260 | RoundTime=95.30s | TotalTime=1426.86s | Method=fedprox
[Round 016/100] Acc=38.520 | RoundTime=94.99s | TotalTime=1521.85s | Method=fedprox
[Round 017/100] Acc=40.680 | RoundTime=94.42s | TotalTime=1616.27s | Method=fedprox
[Round 018/100] Acc=36.240 | RoundTime=94.62s | TotalTime=1710.90s | Method=fedprox
[Round 019/100] Acc=42.620 | RoundTime=94.64s | TotalTime=1805.54s | Method=fedprox
[Round 020/100] Acc=38.480 | RoundTime=95.17s | TotalTime=1900.71s | Method=fedprox
[Round 021/100] Acc=40.020 | RoundTime=94.16s | TotalTime=1994.87s | Method=fedprox
[Round 022/100] Acc=41.280 | RoundTime=94.68s | TotalTime=2089.55s | Method=fedprox
[Round 023/100] Acc=36.330 | RoundTime=94.91s | TotalTime=2184.46s | Method=fedprox
[Round 024/100] Acc=41.450 | RoundTime=94.53s | TotalTime=2278.98s | Method=fedprox
[Round 025/100] Acc=44.120 | RoundTime=95.00s | TotalTime=2373.98s | Method=fedprox
[Round 026/100] Acc=42.210 | RoundTime=95.52s | TotalTime=2469.50s | Method=fedprox
[Round 027/100] Acc=43.920 | RoundTime=94.61s | TotalTime=2564.10s | Method=fedprox
[Round 028/100] Acc=37.720 | RoundTime=94.13s | TotalTime=2658.23s | Method=fedprox
[Round 029/100] Acc=37.560 | RoundTime=94.27s | TotalTime=2752.50s | Method=fedprox
[Round 030/100] Acc=45.900 | RoundTime=95.22s | TotalTime=2847.72s | Method=fedprox
[Round 031/100] Acc=43.680 | RoundTime=95.19s | TotalTime=2942.90s | Method=fedprox
[Round 032/100] Acc=41.440 | RoundTime=94.84s | TotalTime=3037.74s | Method=fedprox
[Round 033/100] Acc=41.510 | RoundTime=94.35s | TotalTime=3132.10s | Method=fedprox
[Round 034/100] Acc=42.440 | RoundTime=94.65s | TotalTime=3226.75s | Method=fedprox
[Round 035/100] Acc=41.780 | RoundTime=95.13s | TotalTime=3321.88s | Method=fedprox
[Round 036/100] Acc=44.310 | RoundTime=94.76s | TotalTime=3416.64s | Method=fedprox
[Round 037/100] Acc=43.850 | RoundTime=95.66s | TotalTime=3512.30s | Method=fedprox
[Round 038/100] Acc=44.980 | RoundTime=94.96s | TotalTime=3607.26s | Method=fedprox
[Round 039/100] Acc=41.690 | RoundTime=95.03s | TotalTime=3702.29s | Method=fedprox
[Round 040/100] Acc=45.260 | RoundTime=94.98s | TotalTime=3797.28s | Method=fedprox
[Round 041/100] Acc=41.590 | RoundTime=94.28s | TotalTime=3891.55s | Method=fedprox
[Round 042/100] Acc=42.570 | RoundTime=94.42s | TotalTime=3985.97s | Method=fedprox
[Round 043/100] Acc=43.600 | RoundTime=95.08s | TotalTime=4081.05s | Method=fedprox
[Round 044/100] Acc=41.630 | RoundTime=94.55s | TotalTime=4175.60s | Method=fedprox
[Round 045/100] Acc=44.280 | RoundTime=95.61s | TotalTime=4271.21s | Method=fedprox
[Round 046/100] Acc=40.460 | RoundTime=95.24s | TotalTime=4366.46s | Method=fedprox
[Round 047/100] Acc=41.670 | RoundTime=94.82s | TotalTime=4461.28s | Method=fedprox
[Round 048/100] Acc=38.640 | RoundTime=89.83s | TotalTime=4551.10s | Method=fedprox
[Round 049/100] Acc=45.780 | RoundTime=78.36s | TotalTime=4629.46s | Method=fedprox
[Round 050/100] Acc=43.890 | RoundTime=79.97s | TotalTime=4709.43s | Method=fedprox
[Round 051/100] Acc=41.990 | RoundTime=80.42s | TotalTime=4789.86s | Method=fedprox
[Round 052/100] Acc=43.010 | RoundTime=78.80s | TotalTime=4868.66s | Method=fedprox
[Round 053/100] Acc=43.410 | RoundTime=79.15s | TotalTime=4947.80s | Method=fedprox
[Round 054/100] Acc=44.260 | RoundTime=83.34s | TotalTime=5031.15s | Method=fedprox
[Round 055/100] Acc=44.530 | RoundTime=78.91s | TotalTime=5110.06s | Method=fedprox
[Round 056/100] Acc=39.180 | RoundTime=79.43s | TotalTime=5189.49s | Method=fedprox
[Round 057/100] Acc=42.420 | RoundTime=78.98s | TotalTime=5268.46s | Method=fedprox
[Round 058/100] Acc=44.340 | RoundTime=78.39s | TotalTime=5346.85s | Method=fedprox
[Round 059/100] Acc=43.930 | RoundTime=79.07s | TotalTime=5425.93s | Method=fedprox
[Round 060/100] Acc=42.870 | RoundTime=79.65s | TotalTime=5505.58s | Method=fedprox
[Round 061/100] Acc=40.600 | RoundTime=78.77s | TotalTime=5584.35s | Method=fedprox
[Round 062/100] Acc=42.720 | RoundTime=80.06s | TotalTime=5664.41s | Method=fedprox
[Round 063/100] Acc=44.290 | RoundTime=77.74s | TotalTime=5742.15s | Method=fedprox
[Round 064/100] Acc=39.540 | RoundTime=79.92s | TotalTime=5822.07s | Method=fedprox
[Round 065/100] Acc=43.600 | RoundTime=78.98s | TotalTime=5901.05s | Method=fedprox
[Round 066/100] Acc=45.430 | RoundTime=79.60s | TotalTime=5980.65s | Method=fedprox
[Round 067/100] Acc=39.090 | RoundTime=78.71s | TotalTime=6059.36s | Method=fedprox
[Round 068/100] Acc=43.970 | RoundTime=78.96s | TotalTime=6138.32s | Method=fedprox
[Round 069/100] Acc=43.990 | RoundTime=78.74s | TotalTime=6217.06s | Method=fedprox
[Round 070/100] Acc=39.750 | RoundTime=77.58s | TotalTime=6294.65s | Method=fedprox
[Round 071/100] Acc=43.750 | RoundTime=71.86s | TotalTime=6366.50s | Method=fedprox
[Round 072/100] Acc=42.560 | RoundTime=71.53s | TotalTime=6438.03s | Method=fedprox
[Round 073/100] Acc=42.110 | RoundTime=61.72s | TotalTime=6499.75s | Method=fedprox
