====================================================================================================
Training started at: 2026-03-13 14:21:36
Result directory: results/fl_cifar100/fedprox
Result txt file : results/fl_cifar100/fedprox/model=fedprox_dataset=fl_cifar100_structure=homogeneity_bs=64_lr=0.1_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.001_20260313-142136.txt
Result log file : results/fl_cifar100/fedprox/model=fedprox_dataset=fl_cifar100_structure=homogeneity_bs=64_lr=0.1_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.001_20260313-142136.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.001
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=51.67s | TotalTime=51.67s | Method=fedprox
[Round 002/100] Acc=1.580 | RoundTime=48.83s | TotalTime=100.50s | Method=fedprox
[Round 003/100] Acc=6.430 | RoundTime=49.40s | TotalTime=149.91s | Method=fedprox
[Round 004/100] Acc=10.730 | RoundTime=49.78s | TotalTime=199.69s | Method=fedprox
[Round 005/100] Acc=11.880 | RoundTime=48.51s | TotalTime=248.20s | Method=fedprox
[Round 006/100] Acc=12.860 | RoundTime=48.74s | TotalTime=296.93s | Method=fedprox
[Round 007/100] Acc=13.300 | RoundTime=49.72s | TotalTime=346.65s | Method=fedprox
[Round 008/100] Acc=13.480 | RoundTime=49.04s | TotalTime=395.69s | Method=fedprox
[Round 009/100] Acc=14.850 | RoundTime=48.94s | TotalTime=444.63s | Method=fedprox
[Round 010/100] Acc=14.650 | RoundTime=49.45s | TotalTime=494.08s | Method=fedprox
[Round 011/100] Acc=15.490 | RoundTime=49.90s | TotalTime=543.98s | Method=fedprox
[Round 012/100] Acc=16.600 | RoundTime=48.58s | TotalTime=592.56s | Method=fedprox
[Round 013/100] Acc=18.040 | RoundTime=49.17s | TotalTime=641.73s | Method=fedprox
[Round 014/100] Acc=17.790 | RoundTime=49.44s | TotalTime=691.17s | Method=fedprox
[Round 015/100] Acc=17.130 | RoundTime=49.14s | TotalTime=740.31s | Method=fedprox
[Round 016/100] Acc=17.390 | RoundTime=48.79s | TotalTime=789.10s | Method=fedprox
[Round 017/100] Acc=18.090 | RoundTime=49.89s | TotalTime=838.99s | Method=fedprox
[Round 018/100] Acc=18.290 | RoundTime=49.04s | TotalTime=888.03s | Method=fedprox
[Round 019/100] Acc=18.240 | RoundTime=48.97s | TotalTime=936.99s | Method=fedprox
[Round 020/100] Acc=18.850 | RoundTime=49.34s | TotalTime=986.33s | Method=fedprox
[Round 021/100] Acc=18.440 | RoundTime=48.75s | TotalTime=1035.08s | Method=fedprox
[Round 022/100] Acc=19.510 | RoundTime=49.54s | TotalTime=1084.62s | Method=fedprox
[Round 023/100] Acc=19.830 | RoundTime=49.04s | TotalTime=1133.66s | Method=fedprox
[Round 024/100] Acc=18.460 | RoundTime=48.70s | TotalTime=1182.36s | Method=fedprox
[Round 025/100] Acc=19.460 | RoundTime=49.53s | TotalTime=1231.89s | Method=fedprox
[Round 026/100] Acc=18.820 | RoundTime=49.95s | TotalTime=1281.85s | Method=fedprox
[Round 027/100] Acc=19.190 | RoundTime=49.50s | TotalTime=1331.34s | Method=fedprox
[Round 028/100] Acc=19.480 | RoundTime=49.04s | TotalTime=1380.38s | Method=fedprox
[Round 029/100] Acc=19.300 | RoundTime=49.58s | TotalTime=1429.97s | Method=fedprox
[Round 030/100] Acc=19.040 | RoundTime=49.01s | TotalTime=1478.98s | Method=fedprox
