====================================================================================================
Training started at: 2026-03-12 11:14:25
Result directory: results/fl_cifar100/fedprox
Result txt file : results/fl_cifar100/fedprox/model=fedprox_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111425.txt
Result log file : results/fl_cifar100/fedprox/model=fedprox_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111425.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 057/100] Acc=21.200 | RoundTime=36.23s | TotalTime=2154.40s | Method=fedprox
[Round 058/100] Acc=20.360 | RoundTime=35.95s | TotalTime=2190.35s | Method=fedprox
[Round 059/100] Acc=21.310 | RoundTime=35.58s | TotalTime=2225.93s | Method=fedprox
[Round 060/100] Acc=20.330 | RoundTime=36.25s | TotalTime=2262.19s | Method=fedprox
[Round 061/100] Acc=20.860 | RoundTime=35.95s | TotalTime=2298.13s | Method=fedprox
[Round 062/100] Acc=20.230 | RoundTime=36.01s | TotalTime=2334.14s | Method=fedprox
[Round 063/100] Acc=20.730 | RoundTime=35.78s | TotalTime=2369.92s | Method=fedprox
[Round 064/100] Acc=20.860 | RoundTime=35.99s | TotalTime=2405.92s | Method=fedprox
[Round 065/100] Acc=21.010 | RoundTime=35.80s | TotalTime=2441.72s | Method=fedprox
[Round 066/100] Acc=19.940 | RoundTime=36.01s | TotalTime=2477.72s | Method=fedprox
[Round 067/100] Acc=20.810 | RoundTime=35.64s | TotalTime=2513.36s | Method=fedprox
[Round 068/100] Acc=20.270 | RoundTime=35.76s | TotalTime=2549.12s | Method=fedprox
[Round 069/100] Acc=20.960 | RoundTime=34.59s | TotalTime=2583.70s | Method=fedprox
[Round 070/100] Acc=20.110 | RoundTime=34.68s | TotalTime=2618.38s | Method=fedprox
[Round 071/100] Acc=20.110 | RoundTime=34.54s | TotalTime=2652.92s | Method=fedprox
[Round 072/100] Acc=21.020 | RoundTime=34.54s | TotalTime=2687.46s | Method=fedprox
[Round 073/100] Acc=20.960 | RoundTime=34.63s | TotalTime=2722.09s | Method=fedprox
[Round 074/100] Acc=20.990 | RoundTime=34.32s | TotalTime=2756.41s | Method=fedprox
[Round 075/100] Acc=21.420 | RoundTime=34.59s | TotalTime=2791.01s | Method=fedprox
[Round 076/100] Acc=20.630 | RoundTime=34.54s | TotalTime=2825.55s | Method=fedprox
[Round 077/100] Acc=20.960 | RoundTime=33.02s | TotalTime=2858.57s | Method=fedprox
[Round 078/100] Acc=20.710 | RoundTime=32.49s | TotalTime=2891.06s | Method=fedprox
[Round 079/100] Acc=21.330 | RoundTime=32.78s | TotalTime=2923.84s | Method=fedprox
[Round 080/100] Acc=21.560 | RoundTime=32.77s | TotalTime=2956.61s | Method=fedprox
[Round 081/100] Acc=21.710 | RoundTime=31.96s | TotalTime=2988.56s | Method=fedprox
[Round 082/100] Acc=21.940 | RoundTime=32.19s | TotalTime=3020.75s | Method=fedprox
[Round 083/100] Acc=21.430 | RoundTime=32.18s | TotalTime=3052.93s | Method=fedprox
[Round 084/100] Acc=20.810 | RoundTime=32.10s | TotalTime=3085.04s | Method=fedprox
[Round 085/100] Acc=21.200 | RoundTime=31.98s | TotalTime=3117.02s | Method=fedprox
[Round 086/100] Acc=21.310 | RoundTime=31.96s | TotalTime=3148.98s | Method=fedprox
[Round 087/100] Acc=20.890 | RoundTime=31.52s | TotalTime=3180.50s | Method=fedprox
[Round 088/100] Acc=21.280 | RoundTime=31.94s | TotalTime=3212.44s | Method=fedprox
[Round 089/100] Acc=21.760 | RoundTime=31.59s | TotalTime=3244.02s | Method=fedprox
[Round 090/100] Acc=21.400 | RoundTime=31.67s | TotalTime=3275.70s | Method=fedprox
[Round 091/100] Acc=21.110 | RoundTime=31.74s | TotalTime=3307.44s | Method=fedprox
[Round 092/100] Acc=20.380 | RoundTime=31.54s | TotalTime=3338.98s | Method=fedprox
[Round 093/100] Acc=20.540 | RoundTime=31.47s | TotalTime=3370.45s | Method=fedprox
[Round 094/100] Acc=20.150 | RoundTime=30.78s | TotalTime=3401.23s | Method=fedprox
[Round 095/100] Acc=20.710 | RoundTime=31.04s | TotalTime=3432.28s | Method=fedprox
[Round 096/100] Acc=20.940 | RoundTime=31.05s | TotalTime=3463.33s | Method=fedprox
[Round 097/100] Acc=20.950 | RoundTime=30.32s | TotalTime=3493.65s | Method=fedprox
[Round 098/100] Acc=21.350 | RoundTime=30.76s | TotalTime=3524.41s | Method=fedprox
[Round 099/100] Acc=20.980 | RoundTime=30.47s | TotalTime=3554.88s | Method=fedprox
[Round 100/100] Acc=21.260 | RoundTime=30.27s | TotalTime=3585.15s | Method=fedprox
====================================================================================================
Training finished at: 2026-03-12 12:14:10
Total elapsed time: 3585.15s
Final Acc: 21.260
Best Acc : 21.940
====================================================================================================
