====================================================================================================
Training started at: 2026-03-14 13:22:46
Result directory: results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3/fedgloss_fl_svhn_20260314-132246.txt
Result log file : results/fl_svhn/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3/fedgloss_fl_svhn_20260314-132246.log
----------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 056/100] Acc=79.390 | RoundTime=62.00s | TotalTime=3580.31s | Method=fedgloss
[Round 057/100] Acc=77.750 | RoundTime=62.96s | TotalTime=3643.28s | Method=fedgloss
[Round 058/100] Acc=78.620 | RoundTime=63.14s | TotalTime=3706.42s | Method=fedgloss
[Round 059/100] Acc=75.350 | RoundTime=63.17s | TotalTime=3769.59s | Method=fedgloss
[Round 060/100] Acc=79.210 | RoundTime=62.06s | TotalTime=3831.65s | Method=fedgloss
[Round 061/100] Acc=77.660 | RoundTime=63.27s | TotalTime=3894.92s | Method=fedgloss
[Round 062/100] Acc=79.860 | RoundTime=61.55s | TotalTime=3956.47s | Method=fedgloss
[Round 063/100] Acc=78.360 | RoundTime=61.80s | TotalTime=4018.27s | Method=fedgloss
[Round 064/100] Acc=78.190 | RoundTime=61.85s | TotalTime=4080.11s | Method=fedgloss
[Round 065/100] Acc=79.470 | RoundTime=62.93s | TotalTime=4143.05s | Method=fedgloss
[Round 066/100] Acc=79.260 | RoundTime=64.22s | TotalTime=4207.27s | Method=fedgloss
[Round 067/100] Acc=78.330 | RoundTime=63.14s | TotalTime=4270.41s | Method=fedgloss
[Round 068/100] Acc=78.530 | RoundTime=63.67s | TotalTime=4334.08s | Method=fedgloss
[Round 069/100] Acc=78.460 | RoundTime=62.84s | TotalTime=4396.93s | Method=fedgloss
[Round 070/100] Acc=77.570 | RoundTime=63.13s | TotalTime=4460.06s | Method=fedgloss
[Round 071/100] Acc=78.300 | RoundTime=61.51s | TotalTime=4521.57s | Method=fedgloss
[Round 072/100] Acc=77.190 | RoundTime=64.34s | TotalTime=4585.91s | Method=fedgloss
[Round 073/100] Acc=76.690 | RoundTime=63.95s | TotalTime=4649.85s | Method=fedgloss
[Round 074/100] Acc=77.390 | RoundTime=63.36s | TotalTime=4713.22s | Method=fedgloss
[Round 075/100] Acc=80.120 | RoundTime=63.75s | TotalTime=4776.97s | Method=fedgloss
[Round 076/100] Acc=79.010 | RoundTime=62.55s | TotalTime=4839.52s | Method=fedgloss
[Round 077/100] Acc=78.140 | RoundTime=63.83s | TotalTime=4903.35s | Method=fedgloss
[Round 078/100] Acc=77.850 | RoundTime=63.67s | TotalTime=4967.02s | Method=fedgloss
[Round 079/100] Acc=78.410 | RoundTime=65.65s | TotalTime=5032.67s | Method=fedgloss
[Round 080/100] Acc=76.810 | RoundTime=62.18s | TotalTime=5094.85s | Method=fedgloss
[Round 081/100] Acc=76.120 | RoundTime=62.98s | TotalTime=5157.83s | Method=fedgloss
