====================================================================================================
Training started at: 2026-03-14 09:15:12
Result directory: results/fl_cifar100/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_cifar100_20260314-091512.txt
Result log file : results/fl_cifar100/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3/fedcda_fl_cifar100_20260314-091512.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=44.84s | TotalTime=44.84s | Method=fedcda
[Round 002/100] Acc=1.620 | RoundTime=42.77s | TotalTime=87.61s | Method=fedcda
[Round 003/100] Acc=2.770 | RoundTime=45.16s | TotalTime=132.77s | Method=fedcda
[Round 004/100] Acc=5.800 | RoundTime=44.45s | TotalTime=177.22s | Method=fedcda
[Round 005/100] Acc=6.060 | RoundTime=43.95s | TotalTime=221.17s | Method=fedcda
[Round 006/100] Acc=8.570 | RoundTime=43.07s | TotalTime=264.25s | Method=fedcda
[Round 007/100] Acc=7.390 | RoundTime=43.95s | TotalTime=308.20s | Method=fedcda
[Round 008/100] Acc=8.310 | RoundTime=43.88s | TotalTime=352.08s | Method=fedcda
[Round 009/100] Acc=9.020 | RoundTime=43.33s | TotalTime=395.41s | Method=fedcda
[Round 010/100] Acc=8.300 | RoundTime=46.53s | TotalTime=441.94s | Method=fedcda
[Round 011/100] Acc=9.770 | RoundTime=44.52s | TotalTime=486.46s | Method=fedcda
[Round 012/100] Acc=10.240 | RoundTime=43.48s | TotalTime=529.95s | Method=fedcda
[Round 013/100] Acc=9.730 | RoundTime=44.68s | TotalTime=574.63s | Method=fedcda
[Round 014/100] Acc=12.390 | RoundTime=44.98s | TotalTime=619.61s | Method=fedcda
[Round 015/100] Acc=11.550 | RoundTime=45.71s | TotalTime=665.32s | Method=fedcda
[Round 016/100] Acc=11.140 | RoundTime=45.42s | TotalTime=710.74s | Method=fedcda
[Round 017/100] Acc=13.750 | RoundTime=46.26s | TotalTime=757.00s | Method=fedcda
[Round 018/100] Acc=15.000 | RoundTime=45.39s | TotalTime=802.39s | Method=fedcda
[Round 019/100] Acc=15.340 | RoundTime=46.01s | TotalTime=848.40s | Method=fedcda
[Round 020/100] Acc=14.040 | RoundTime=46.48s | TotalTime=894.88s | Method=fedcda
[Round 021/100] Acc=15.140 | RoundTime=45.77s | TotalTime=940.65s | Method=fedcda
[Round 022/100] Acc=13.830 | RoundTime=47.59s | TotalTime=988.25s | Method=fedcda
[Round 023/100] Acc=15.350 | RoundTime=48.50s | TotalTime=1036.75s | Method=fedcda
[Round 024/100] Acc=16.450 | RoundTime=44.98s | TotalTime=1081.73s | Method=fedcda
[Round 025/100] Acc=17.770 | RoundTime=44.44s | TotalTime=1126.17s | Method=fedcda
[Round 026/100] Acc=15.390 | RoundTime=44.17s | TotalTime=1170.34s | Method=fedcda
[Round 027/100] Acc=11.630 | RoundTime=44.22s | TotalTime=1214.55s | Method=fedcda
[Round 028/100] Acc=15.600 | RoundTime=45.13s | TotalTime=1259.69s | Method=fedcda
[Round 029/100] Acc=14.850 | RoundTime=42.95s | TotalTime=1302.64s | Method=fedcda
[Round 030/100] Acc=17.090 | RoundTime=44.34s | TotalTime=1346.97s | Method=fedcda
[Round 031/100] Acc=16.780 | RoundTime=44.60s | TotalTime=1391.57s | Method=fedcda
[Round 032/100] Acc=15.570 | RoundTime=43.67s | TotalTime=1435.24s | Method=fedcda
[Round 033/100] Acc=14.440 | RoundTime=43.47s | TotalTime=1478.71s | Method=fedcda
[Round 034/100] Acc=15.300 | RoundTime=45.54s | TotalTime=1524.25s | Method=fedcda
[Round 035/100] Acc=15.990 | RoundTime=44.54s | TotalTime=1568.79s | Method=fedcda
[Round 036/100] Acc=19.200 | RoundTime=44.75s | TotalTime=1613.54s | Method=fedcda
[Round 037/100] Acc=18.760 | RoundTime=44.84s | TotalTime=1658.39s | Method=fedcda
[Round 038/100] Acc=18.200 | RoundTime=42.79s | TotalTime=1701.17s | Method=fedcda
[Round 039/100] Acc=15.600 | RoundTime=51.53s | TotalTime=1752.70s | Method=fedcda
[Round 040/100] Acc=15.490 | RoundTime=47.11s | TotalTime=1799.82s | Method=fedcda
[Round 041/100] Acc=18.570 | RoundTime=45.41s | TotalTime=1845.23s | Method=fedcda
[Round 042/100] Acc=17.000 | RoundTime=44.82s | TotalTime=1890.05s | Method=fedcda
[Round 043/100] Acc=17.160 | RoundTime=45.17s | TotalTime=1935.22s | Method=fedcda
[Round 044/100] Acc=18.040 | RoundTime=43.25s | TotalTime=1978.47s | Method=fedcda
[Round 045/100] Acc=14.570 | RoundTime=45.73s | TotalTime=2024.21s | Method=fedcda
[Round 046/100] Acc=17.520 | RoundTime=47.06s | TotalTime=2071.27s | Method=fedcda
[Round 047/100] Acc=17.440 | RoundTime=44.54s | TotalTime=2115.80s | Method=fedcda
[Round 048/100] Acc=17.000 | RoundTime=45.00s | TotalTime=2160.80s | Method=fedcda
[Round 049/100] Acc=18.370 | RoundTime=45.52s | TotalTime=2206.32s | Method=fedcda
[Round 050/100] Acc=17.370 | RoundTime=47.63s | TotalTime=2253.96s | Method=fedcda
[Round 051/100] Acc=17.800 | RoundTime=60.53s | TotalTime=2314.48s | Method=fedcda
