====================================================================================================
Training started at: 2026-03-27 02:02:25
Result directory: results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_cifar10_20260327-020225-223533_pid3805992.txt
Result log file : results/fl_cifar10/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_cifar10_20260327-020225-223533_pid3805992.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=38.29s | TotalTime=38.29s | Method=fedrdn
[Round 002/100] Acc=12.350 | RoundTime=20.84s | TotalTime=59.13s | Method=fedrdn
[Round 003/100] Acc=34.150 | RoundTime=20.91s | TotalTime=80.04s | Method=fedrdn
[Round 004/100] Acc=35.710 | RoundTime=21.22s | TotalTime=101.26s | Method=fedrdn
[Round 005/100] Acc=40.440 | RoundTime=21.78s | TotalTime=123.04s | Method=fedrdn
[Round 006/100] Acc=38.590 | RoundTime=31.32s | TotalTime=154.36s | Method=fedrdn
[Round 007/100] Acc=44.590 | RoundTime=20.73s | TotalTime=175.09s | Method=fedrdn
[Round 008/100] Acc=45.800 | RoundTime=21.24s | TotalTime=196.33s | Method=fedrdn
[Round 009/100] Acc=44.890 | RoundTime=21.98s | TotalTime=218.31s | Method=fedrdn
[Round 010/100] Acc=54.420 | RoundTime=22.09s | TotalTime=240.40s | Method=fedrdn
[Round 011/100] Acc=51.880 | RoundTime=21.47s | TotalTime=261.87s | Method=fedrdn
[Round 012/100] Acc=49.570 | RoundTime=21.47s | TotalTime=283.34s | Method=fedrdn
[Round 013/100] Acc=52.150 | RoundTime=21.42s | TotalTime=304.76s | Method=fedrdn
[Round 014/100] Acc=55.230 | RoundTime=20.92s | TotalTime=325.68s | Method=fedrdn
[Round 015/100] Acc=56.690 | RoundTime=21.62s | TotalTime=347.30s | Method=fedrdn
[Round 016/100] Acc=52.800 | RoundTime=21.36s | TotalTime=368.66s | Method=fedrdn
[Round 017/100] Acc=54.740 | RoundTime=21.88s | TotalTime=390.54s | Method=fedrdn
[Round 018/100] Acc=52.760 | RoundTime=21.78s | TotalTime=412.32s | Method=fedrdn
[Round 019/100] Acc=56.150 | RoundTime=21.46s | TotalTime=433.78s | Method=fedrdn
[Round 020/100] Acc=56.340 | RoundTime=21.70s | TotalTime=455.48s | Method=fedrdn
[Round 021/100] Acc=54.860 | RoundTime=22.25s | TotalTime=477.73s | Method=fedrdn
[Round 022/100] Acc=50.810 | RoundTime=22.60s | TotalTime=500.34s | Method=fedrdn
[Round 023/100] Acc=48.810 | RoundTime=21.67s | TotalTime=522.01s | Method=fedrdn
[Round 024/100] Acc=50.850 | RoundTime=22.08s | TotalTime=544.09s | Method=fedrdn
[Round 025/100] Acc=52.070 | RoundTime=22.24s | TotalTime=566.33s | Method=fedrdn
[Round 026/100] Acc=55.010 | RoundTime=22.58s | TotalTime=588.91s | Method=fedrdn
[Round 027/100] Acc=57.130 | RoundTime=22.23s | TotalTime=611.13s | Method=fedrdn
[Round 028/100] Acc=57.130 | RoundTime=21.81s | TotalTime=632.94s | Method=fedrdn
[Round 029/100] Acc=49.030 | RoundTime=21.90s | TotalTime=654.84s | Method=fedrdn
[Round 030/100] Acc=54.620 | RoundTime=22.76s | TotalTime=677.60s | Method=fedrdn
[Round 031/100] Acc=55.740 | RoundTime=22.29s | TotalTime=699.90s | Method=fedrdn
[Round 032/100] Acc=56.380 | RoundTime=21.67s | TotalTime=721.56s | Method=fedrdn
[Round 033/100] Acc=56.190 | RoundTime=23.07s | TotalTime=744.64s | Method=fedrdn
[Round 034/100] Acc=54.320 | RoundTime=21.45s | TotalTime=766.08s | Method=fedrdn
[Round 035/100] Acc=58.680 | RoundTime=21.38s | TotalTime=787.46s | Method=fedrdn
[Round 036/100] Acc=59.110 | RoundTime=21.86s | TotalTime=809.32s | Method=fedrdn
[Round 037/100] Acc=54.270 | RoundTime=21.95s | TotalTime=831.26s | Method=fedrdn
[Round 038/100] Acc=55.890 | RoundTime=21.68s | TotalTime=852.94s | Method=fedrdn
[Round 039/100] Acc=54.960 | RoundTime=22.32s | TotalTime=875.26s | Method=fedrdn
[Round 040/100] Acc=57.570 | RoundTime=22.40s | TotalTime=897.67s | Method=fedrdn
[Round 041/100] Acc=57.620 | RoundTime=22.21s | TotalTime=919.87s | Method=fedrdn
[Round 042/100] Acc=59.080 | RoundTime=22.16s | TotalTime=942.03s | Method=fedrdn
[Round 043/100] Acc=55.560 | RoundTime=21.84s | TotalTime=963.87s | Method=fedrdn
[Round 044/100] Acc=55.120 | RoundTime=22.03s | TotalTime=985.89s | Method=fedrdn
[Round 045/100] Acc=57.430 | RoundTime=23.14s | TotalTime=1009.04s | Method=fedrdn
[Round 046/100] Acc=57.770 | RoundTime=22.21s | TotalTime=1031.25s | Method=fedrdn
[Round 047/100] Acc=58.910 | RoundTime=21.02s | TotalTime=1052.26s | Method=fedrdn
[Round 048/100] Acc=57.150 | RoundTime=22.45s | TotalTime=1074.71s | Method=fedrdn
[Round 049/100] Acc=55.660 | RoundTime=23.07s | TotalTime=1097.78s | Method=fedrdn
[Round 050/100] Acc=58.990 | RoundTime=22.77s | TotalTime=1120.55s | Method=fedrdn
[Round 051/100] Acc=57.650 | RoundTime=22.01s | TotalTime=1142.56s | Method=fedrdn
[Round 052/100] Acc=60.400 | RoundTime=22.62s | TotalTime=1165.18s | Method=fedrdn
[Round 053/100] Acc=56.360 | RoundTime=21.93s | TotalTime=1187.11s | Method=fedrdn
[Round 054/100] Acc=61.580 | RoundTime=22.24s | TotalTime=1209.36s | Method=fedrdn
[Round 055/100] Acc=60.190 | RoundTime=22.31s | TotalTime=1231.66s | Method=fedrdn
[Round 056/100] Acc=58.670 | RoundTime=22.04s | TotalTime=1253.70s | Method=fedrdn
[Round 057/100] Acc=60.810 | RoundTime=22.65s | TotalTime=1276.35s | Method=fedrdn
[Round 058/100] Acc=60.460 | RoundTime=21.15s | TotalTime=1297.51s | Method=fedrdn
[Round 059/100] Acc=59.790 | RoundTime=21.37s | TotalTime=1318.88s | Method=fedrdn
[Round 060/100] Acc=56.700 | RoundTime=22.05s | TotalTime=1340.93s | Method=fedrdn
[Round 061/100] Acc=61.230 | RoundTime=22.30s | TotalTime=1363.23s | Method=fedrdn
[Round 062/100] Acc=59.250 | RoundTime=22.16s | TotalTime=1385.39s | Method=fedrdn
[Round 063/100] Acc=60.150 | RoundTime=22.35s | TotalTime=1407.74s | Method=fedrdn
[Round 064/100] Acc=61.370 | RoundTime=22.79s | TotalTime=1430.52s | Method=fedrdn
[Round 065/100] Acc=62.060 | RoundTime=22.00s | TotalTime=1452.52s | Method=fedrdn
[Round 066/100] Acc=53.710 | RoundTime=21.61s | TotalTime=1474.13s | Method=fedrdn
[Round 067/100] Acc=60.560 | RoundTime=21.75s | TotalTime=1495.88s | Method=fedrdn
[Round 068/100] Acc=59.610 | RoundTime=21.20s | TotalTime=1517.08s | Method=fedrdn
[Round 069/100] Acc=57.010 | RoundTime=21.58s | TotalTime=1538.66s | Method=fedrdn
[Round 070/100] Acc=62.790 | RoundTime=21.79s | TotalTime=1560.45s | Method=fedrdn
[Round 071/100] Acc=57.950 | RoundTime=21.55s | TotalTime=1582.00s | Method=fedrdn
[Round 072/100] Acc=60.380 | RoundTime=21.84s | TotalTime=1603.84s | Method=fedrdn
[Round 073/100] Acc=59.510 | RoundTime=22.03s | TotalTime=1625.88s | Method=fedrdn
[Round 074/100] Acc=62.220 | RoundTime=21.54s | TotalTime=1647.42s | Method=fedrdn
[Round 075/100] Acc=59.200 | RoundTime=21.55s | TotalTime=1668.96s | Method=fedrdn
[Round 076/100] Acc=59.650 | RoundTime=21.04s | TotalTime=1690.00s | Method=fedrdn
[Round 077/100] Acc=60.570 | RoundTime=21.43s | TotalTime=1711.43s | Method=fedrdn
[Round 078/100] Acc=61.470 | RoundTime=21.85s | TotalTime=1733.28s | Method=fedrdn
[Round 079/100] Acc=58.870 | RoundTime=22.20s | TotalTime=1755.48s | Method=fedrdn
[Round 080/100] Acc=61.600 | RoundTime=22.30s | TotalTime=1777.78s | Method=fedrdn
[Round 081/100] Acc=56.440 | RoundTime=21.79s | TotalTime=1799.57s | Method=fedrdn
[Round 082/100] Acc=62.360 | RoundTime=22.39s | TotalTime=1821.96s | Method=fedrdn
[Round 083/100] Acc=58.640 | RoundTime=21.31s | TotalTime=1843.27s | Method=fedrdn
[Round 084/100] Acc=61.270 | RoundTime=21.05s | TotalTime=1864.31s | Method=fedrdn
[Round 085/100] Acc=58.900 | RoundTime=22.63s | TotalTime=1886.94s | Method=fedrdn
[Round 086/100] Acc=60.590 | RoundTime=21.55s | TotalTime=1908.49s | Method=fedrdn
[Round 087/100] Acc=62.290 | RoundTime=21.91s | TotalTime=1930.40s | Method=fedrdn
[Round 088/100] Acc=60.420 | RoundTime=21.90s | TotalTime=1952.29s | Method=fedrdn
[Round 089/100] Acc=61.130 | RoundTime=22.05s | TotalTime=1974.35s | Method=fedrdn
[Round 090/100] Acc=62.590 | RoundTime=22.03s | TotalTime=1996.38s | Method=fedrdn
[Round 091/100] Acc=61.680 | RoundTime=22.04s | TotalTime=2018.42s | Method=fedrdn
[Round 092/100] Acc=60.940 | RoundTime=21.87s | TotalTime=2040.29s | Method=fedrdn
[Round 093/100] Acc=60.840 | RoundTime=21.61s | TotalTime=2061.90s | Method=fedrdn
[Round 094/100] Acc=58.770 | RoundTime=21.89s | TotalTime=2083.80s | Method=fedrdn
[Round 095/100] Acc=62.460 | RoundTime=22.51s | TotalTime=2106.30s | Method=fedrdn
[Round 096/100] Acc=54.760 | RoundTime=21.83s | TotalTime=2128.13s | Method=fedrdn
[Round 097/100] Acc=56.930 | RoundTime=21.81s | TotalTime=2149.94s | Method=fedrdn
[Round 098/100] Acc=60.600 | RoundTime=21.63s | TotalTime=2171.57s | Method=fedrdn
[Round 099/100] Acc=61.150 | RoundTime=21.85s | TotalTime=2193.42s | Method=fedrdn
[Round 100/100] Acc=62.130 | RoundTime=21.17s | TotalTime=2214.59s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-27 02:39:19
Total elapsed time: 2214.59s
Final Acc: 62.130
Best Acc : 62.790
====================================================================================================
