====================================================================================================
Training started at: 2026-03-27 13:48:32
Result directory: results/fl_mnist/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_mnist/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260327-134832-980511_pid2228472.txt
Result log file : results/fl_mnist/fedcda/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260327-134832-980511_pid2228472.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=9.580 | RoundTime=23.14s | TotalTime=23.14s | Method=fedcda
[Round 002/100] Acc=76.800 | RoundTime=22.33s | TotalTime=45.47s | Method=fedcda
[Round 003/100] Acc=78.970 | RoundTime=23.05s | TotalTime=68.52s | Method=fedcda
[Round 004/100] Acc=85.880 | RoundTime=23.00s | TotalTime=91.52s | Method=fedcda
[Round 005/100] Acc=79.580 | RoundTime=24.08s | TotalTime=115.60s | Method=fedcda
[Round 006/100] Acc=91.230 | RoundTime=23.58s | TotalTime=139.17s | Method=fedcda
[Round 007/100] Acc=81.380 | RoundTime=23.62s | TotalTime=162.79s | Method=fedcda
[Round 008/100] Acc=81.050 | RoundTime=25.49s | TotalTime=188.28s | Method=fedcda
[Round 009/100] Acc=88.770 | RoundTime=25.32s | TotalTime=213.60s | Method=fedcda
[Round 010/100] Acc=80.270 | RoundTime=25.58s | TotalTime=239.18s | Method=fedcda
[Round 011/100] Acc=90.640 | RoundTime=25.81s | TotalTime=264.99s | Method=fedcda
[Round 012/100] Acc=86.080 | RoundTime=24.54s | TotalTime=289.54s | Method=fedcda
[Round 013/100] Acc=94.190 | RoundTime=25.03s | TotalTime=314.57s | Method=fedcda
[Round 014/100] Acc=94.440 | RoundTime=24.32s | TotalTime=338.89s | Method=fedcda
[Round 015/100] Acc=89.180 | RoundTime=23.99s | TotalTime=362.88s | Method=fedcda
[Round 016/100] Acc=93.250 | RoundTime=24.85s | TotalTime=387.73s | Method=fedcda
[Round 017/100] Acc=86.470 | RoundTime=24.78s | TotalTime=412.51s | Method=fedcda
[Round 018/100] Acc=92.050 | RoundTime=24.71s | TotalTime=437.22s | Method=fedcda
[Round 019/100] Acc=94.520 | RoundTime=24.26s | TotalTime=461.47s | Method=fedcda
[Round 020/100] Acc=92.350 | RoundTime=24.50s | TotalTime=485.98s | Method=fedcda
[Round 021/100] Acc=86.570 | RoundTime=25.52s | TotalTime=511.50s | Method=fedcda
[Round 022/100] Acc=81.250 | RoundTime=24.56s | TotalTime=536.07s | Method=fedcda
[Round 023/100] Acc=91.460 | RoundTime=24.65s | TotalTime=560.72s | Method=fedcda
[Round 024/100] Acc=86.370 | RoundTime=27.47s | TotalTime=588.19s | Method=fedcda
[Round 025/100] Acc=89.860 | RoundTime=26.22s | TotalTime=614.41s | Method=fedcda
[Round 026/100] Acc=81.100 | RoundTime=25.44s | TotalTime=639.85s | Method=fedcda
[Round 027/100] Acc=89.980 | RoundTime=24.64s | TotalTime=664.49s | Method=fedcda
[Round 028/100] Acc=87.630 | RoundTime=24.89s | TotalTime=689.39s | Method=fedcda
[Round 029/100] Acc=88.200 | RoundTime=25.02s | TotalTime=714.41s | Method=fedcda
[Round 030/100] Acc=87.430 | RoundTime=25.22s | TotalTime=739.63s | Method=fedcda
[Round 031/100] Acc=93.290 | RoundTime=24.72s | TotalTime=764.35s | Method=fedcda
[Round 032/100] Acc=90.500 | RoundTime=24.63s | TotalTime=788.99s | Method=fedcda
[Round 033/100] Acc=88.160 | RoundTime=25.59s | TotalTime=814.58s | Method=fedcda
[Round 034/100] Acc=90.560 | RoundTime=24.87s | TotalTime=839.45s | Method=fedcda
[Round 035/100] Acc=89.300 | RoundTime=24.82s | TotalTime=864.27s | Method=fedcda
[Round 036/100] Acc=71.130 | RoundTime=24.99s | TotalTime=889.25s | Method=fedcda
[Round 037/100] Acc=90.650 | RoundTime=25.06s | TotalTime=914.31s | Method=fedcda
[Round 038/100] Acc=90.080 | RoundTime=28.76s | TotalTime=943.07s | Method=fedcda
[Round 039/100] Acc=90.510 | RoundTime=25.29s | TotalTime=968.36s | Method=fedcda
[Round 040/100] Acc=77.250 | RoundTime=25.15s | TotalTime=993.51s | Method=fedcda
[Round 041/100] Acc=89.380 | RoundTime=26.52s | TotalTime=1020.03s | Method=fedcda
[Round 042/100] Acc=90.770 | RoundTime=26.34s | TotalTime=1046.37s | Method=fedcda
[Round 043/100] Acc=93.100 | RoundTime=26.45s | TotalTime=1072.82s | Method=fedcda
[Round 044/100] Acc=91.540 | RoundTime=26.19s | TotalTime=1099.01s | Method=fedcda
[Round 045/100] Acc=88.900 | RoundTime=25.78s | TotalTime=1124.79s | Method=fedcda
[Round 046/100] Acc=88.810 | RoundTime=27.01s | TotalTime=1151.80s | Method=fedcda
[Round 047/100] Acc=91.450 | RoundTime=25.71s | TotalTime=1177.51s | Method=fedcda
[Round 048/100] Acc=93.120 | RoundTime=25.81s | TotalTime=1203.32s | Method=fedcda
[Round 049/100] Acc=84.860 | RoundTime=24.58s | TotalTime=1227.91s | Method=fedcda
[Round 050/100] Acc=88.410 | RoundTime=27.69s | TotalTime=1255.60s | Method=fedcda
