========================================================================================================================
Training started at: 2026-04-09 07:38:31
Result directory: results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric
Result txt file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.txt
Result log file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.log
------------------------------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
========================================================================================================================
[Round 044/100] Phase=standard | Stage=warmup | Acc=45.350 | RoundTime=235.23s | TotalTime=10216.60s | Method=fedavg
[Round 045/100] Phase=standard | Stage=warmup | Acc=45.420 | RoundTime=233.80s | TotalTime=10450.41s | Method=fedavg
[Round 046/100] Phase=standard | Stage=warmup | Acc=45.490 | RoundTime=232.94s | TotalTime=10683.37s | Method=fedavg
[Round 047/100] Phase=standard | Stage=warmup | Acc=45.230 | RoundTime=231.82s | TotalTime=10915.20s | Method=fedavg
[Round 048/100] Phase=standard | Stage=warmup | Acc=45.920 | RoundTime=231.53s | TotalTime=11146.74s | Method=fedavg
[Round 049/100] Phase=standard | Stage=warmup | Acc=45.210 | RoundTime=234.74s | TotalTime=11381.49s | Method=fedavg
[Round 050/100] Phase=standard | Stage=warmup | Acc=45.650 | RoundTime=231.85s | TotalTime=11613.36s | Method=fedavg
[Round 051/100] Phase=standard | Stage=warmup | Acc=45.940 | RoundTime=234.30s | TotalTime=11847.67s | Method=fedavg
[Round 052/100] Phase=standard | Stage=warmup | Acc=44.930 | RoundTime=233.03s | TotalTime=12080.71s | Method=fedavg
[Round 053/100] Phase=standard | Stage=warmup | Acc=44.990 | RoundTime=230.68s | TotalTime=12311.39s | Method=fedavg
[Round 054/100] Phase=standard | Stage=warmup | Acc=45.260 | RoundTime=233.43s | TotalTime=12544.83s | Method=fedavg
[Round 055/100] Phase=standard | Stage=warmup | Acc=44.600 | RoundTime=232.71s | TotalTime=12777.55s | Method=fedavg
[Round 056/100] Phase=standard | Stage=warmup | Acc=44.930 | RoundTime=234.90s | TotalTime=13012.46s | Method=fedavg
[Round 057/100] Phase=standard | Stage=warmup | Acc=45.130 | RoundTime=233.27s | TotalTime=13245.74s | Method=fedavg
[Round 058/100] Phase=standard | Stage=warmup | Acc=44.830 | RoundTime=234.40s | TotalTime=13480.14s | Method=fedavg
[Round 059/100] Phase=standard | Stage=warmup | Acc=45.160 | RoundTime=232.34s | TotalTime=13712.48s | Method=fedavg
[Round 060/100] Phase=standard | Stage=warmup | Acc=45.440 | RoundTime=232.20s | TotalTime=13944.70s | Method=fedavg
