model,dataset,dir_alpha,noise_mode,noise_rate,noise_type,strategy,drop_rate,batch_size,final_acc,best_acc,final_pure,best_pure
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,70,37.100,41.130,82.689,86.651
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,128,40.090,41.250,80.989,86.156
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.55,128,39.880,41.420,81.288,87.127
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,32,45.380,47.450,88.255,91.090
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,32,53.510,54.100,90.240,93.811
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,40,47.660,47.660,82.231,89.024
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,40,43.910,47.690,83.428,90.990
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,50,38.480,45.120,87.785,89.030
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,50,43.200,47.400,86.775,91.255
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,64,38.720,44.230,88.169,92.042
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,64,44.690,45.840,86.916,90.566
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,70,39.940,41.470,82.612,87.071
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,70,36.870,40.010,83.513,89.420
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,128,34.920,36.310,78.796,85.983
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.6,128,36.460,38.420,74.969,85.872
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,32,43.280,44.320,88.226,88.915
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,32,48.300,48.300,86.705,91.861
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,40,45.000,46.720,88.890,95.604
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,40,45.710,47.170,92.242,92.242
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,50,43.610,43.610,83.372,90.106
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,50,39.560,41.150,85.306,88.783
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,64,39.570,41.360,85.793,91.044
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,64,41.100,44.580,87.915,92.011
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,70,40.710,41.620,86.833,88.862
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,70,35.100,40.190,88.999,90.552
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,128,31.170,37.240,82.184,88.236
feddenoise,fl_cifar10,0.1,uni_nr,0.3,symmetric_st,least_sim_dr,0.65,128,33.920,36.720,87.689,89.015
feddenoise,fl_cifar10,0.3,uni_nr,0.1,symmetric_st,least_sim_dr,0.15,64,77.750,77.810,95.759,96.847
feddenoise,fl_cifar10,0.3,uni_nr,0.2,symmetric_st,least_sim_dr,0.25,64,67.690,70.710,88.205,92.642
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,32,61.750,64.770,84.053,85.673
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,36,62.350,65.960,85.036,85.697
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,40,62.930,66.570,83.753,87.637
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,48,58.590,64.390,84.764,86.471
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,54,63.570,67.020,85.477,86.578
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.3,64,62.510,63.670,84.202,85.785
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,36,66.850,67.450,87.268,89.620
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,40,65.030,66.890,87.497,90.018
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,48,66.600,67.870,87.895,89.067
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,54,66.780,67.940,86.071,88.468
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,64,59.930,66.050,86.685,89.293
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.35,64,62.640,63.610,83.719,88.890
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,32,61.290,66.550,87.662,90.465
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,36,68.160,68.160,86.506,90.378
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,40,67.080,68.310,88.907,91.362
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,48,64.910,65.270,87.165,90.096
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,54,65.460,66.230,87.308,90.606
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.4,64,64.780,64.780,88.244,89.917
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,32,67.810,68.400,91.362,93.428
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,36,63.830,67.430,90.240,92.862
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,40,64.680,66.790,92.122,92.650
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,48,64.380,66.750,91.836,92.714
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,54,63.420,64.450,88.905,93.326
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.45,64,64.530,64.530,87.118,92.604
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,32,63.470,67.280,94.685,94.685
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,36,66.180,67.500,90.629,93.460
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,40,65.630,68.170,94.558,95.315
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,48,67.670,67.670,93.339,94.502
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,54,62.510,63.200,90.984,94.241
feddenoise,fl_cifar10,0.3,uni_nr,0.3,symmetric_st,least_sim_dr,0.5,64,64.770,67.180,90.864,94.029
