====================================================================================================
Training started at: 2026-03-14 08:39:48
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.5_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-083948.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.5_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-083948.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | RoundTime=61.64s | TotalTime=61.64s | Method=fedprox
[Round 002/100] Acc=59.160 | RoundTime=59.59s | TotalTime=121.23s | Method=fedprox
[Round 003/100] Acc=93.490 | RoundTime=60.74s | TotalTime=181.97s | Method=fedprox
[Round 004/100] Acc=96.690 | RoundTime=60.75s | TotalTime=242.72s | Method=fedprox
[Round 005/100] Acc=93.840 | RoundTime=61.05s | TotalTime=303.77s | Method=fedprox
[Round 006/100] Acc=96.610 | RoundTime=60.03s | TotalTime=363.80s | Method=fedprox
[Round 007/100] Acc=95.420 | RoundTime=59.96s | TotalTime=423.76s | Method=fedprox
[Round 008/100] Acc=95.260 | RoundTime=61.50s | TotalTime=485.26s | Method=fedprox
[Round 009/100] Acc=95.070 | RoundTime=63.35s | TotalTime=548.61s | Method=fedprox
[Round 010/100] Acc=96.360 | RoundTime=62.54s | TotalTime=611.15s | Method=fedprox
[Round 011/100] Acc=95.440 | RoundTime=60.77s | TotalTime=671.92s | Method=fedprox
[Round 012/100] Acc=94.990 | RoundTime=61.99s | TotalTime=733.91s | Method=fedprox
[Round 013/100] Acc=93.180 | RoundTime=62.58s | TotalTime=796.49s | Method=fedprox
[Round 014/100] Acc=93.980 | RoundTime=61.98s | TotalTime=858.47s | Method=fedprox
[Round 015/100] Acc=94.950 | RoundTime=63.28s | TotalTime=921.75s | Method=fedprox
[Round 016/100] Acc=95.010 | RoundTime=65.19s | TotalTime=986.94s | Method=fedprox
[Round 017/100] Acc=95.310 | RoundTime=63.50s | TotalTime=1050.44s | Method=fedprox
[Round 018/100] Acc=94.820 | RoundTime=65.63s | TotalTime=1116.07s | Method=fedprox
[Round 019/100] Acc=95.470 | RoundTime=63.64s | TotalTime=1179.71s | Method=fedprox
[Round 020/100] Acc=96.040 | RoundTime=63.87s | TotalTime=1243.58s | Method=fedprox
[Round 021/100] Acc=95.770 | RoundTime=64.23s | TotalTime=1307.81s | Method=fedprox
[Round 022/100] Acc=95.710 | RoundTime=64.45s | TotalTime=1372.26s | Method=fedprox
[Round 023/100] Acc=94.750 | RoundTime=64.75s | TotalTime=1437.01s | Method=fedprox
[Round 024/100] Acc=94.110 | RoundTime=63.89s | TotalTime=1500.90s | Method=fedprox
[Round 025/100] Acc=93.760 | RoundTime=64.48s | TotalTime=1565.38s | Method=fedprox
[Round 026/100] Acc=95.060 | RoundTime=65.22s | TotalTime=1630.61s | Method=fedprox
