====================================================================================================
Training started at: 2026-03-14 07:20:42
Result directory: results/fl_cifar100/fedavg/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedavg/pm-dir_a-0.8_nm-uni_nr-0.3/fedavg_fl_cifar100_20260314-072042.txt
Result log file : results/fl_cifar100/fedavg/pm-dir_a-0.8_nm-uni_nr-0.3/fedavg_fl_cifar100_20260314-072042.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 057/100] Acc=22.890 | RoundTime=39.25s | TotalTime=2258.38s | Method=fedavg
[Round 058/100] Acc=21.960 | RoundTime=39.46s | TotalTime=2297.84s | Method=fedavg
[Round 059/100] Acc=23.150 | RoundTime=39.64s | TotalTime=2337.49s | Method=fedavg
[Round 060/100] Acc=23.850 | RoundTime=39.41s | TotalTime=2376.90s | Method=fedavg
[Round 061/100] Acc=22.740 | RoundTime=39.32s | TotalTime=2416.22s | Method=fedavg
[Round 062/100] Acc=22.730 | RoundTime=39.38s | TotalTime=2455.61s | Method=fedavg
[Round 063/100] Acc=22.580 | RoundTime=39.53s | TotalTime=2495.14s | Method=fedavg
[Round 064/100] Acc=23.610 | RoundTime=39.34s | TotalTime=2534.48s | Method=fedavg
[Round 065/100] Acc=23.000 | RoundTime=39.42s | TotalTime=2573.91s | Method=fedavg
[Round 066/100] Acc=23.520 | RoundTime=39.37s | TotalTime=2613.28s | Method=fedavg
[Round 067/100] Acc=22.590 | RoundTime=39.36s | TotalTime=2652.64s | Method=fedavg
[Round 068/100] Acc=23.170 | RoundTime=39.43s | TotalTime=2692.08s | Method=fedavg
[Round 069/100] Acc=22.960 | RoundTime=39.34s | TotalTime=2731.41s | Method=fedavg
[Round 070/100] Acc=23.470 | RoundTime=39.48s | TotalTime=2770.89s | Method=fedavg
[Round 071/100] Acc=23.470 | RoundTime=39.59s | TotalTime=2810.49s | Method=fedavg
[Round 072/100] Acc=22.950 | RoundTime=39.50s | TotalTime=2849.99s | Method=fedavg
[Round 073/100] Acc=23.440 | RoundTime=39.49s | TotalTime=2889.48s | Method=fedavg
[Round 074/100] Acc=22.440 | RoundTime=39.51s | TotalTime=2928.99s | Method=fedavg
[Round 075/100] Acc=23.640 | RoundTime=39.35s | TotalTime=2968.34s | Method=fedavg
[Round 076/100] Acc=23.250 | RoundTime=39.65s | TotalTime=3007.99s | Method=fedavg
[Round 077/100] Acc=23.480 | RoundTime=39.48s | TotalTime=3047.47s | Method=fedavg
[Round 078/100] Acc=22.640 | RoundTime=39.44s | TotalTime=3086.91s | Method=fedavg
[Round 079/100] Acc=23.570 | RoundTime=39.19s | TotalTime=3126.09s | Method=fedavg
[Round 080/100] Acc=23.900 | RoundTime=39.91s | TotalTime=3166.00s | Method=fedavg
[Round 081/100] Acc=23.900 | RoundTime=39.40s | TotalTime=3205.41s | Method=fedavg
[Round 082/100] Acc=23.450 | RoundTime=39.55s | TotalTime=3244.96s | Method=fedavg
[Round 083/100] Acc=23.300 | RoundTime=39.45s | TotalTime=3284.41s | Method=fedavg
[Round 084/100] Acc=22.350 | RoundTime=39.38s | TotalTime=3323.79s | Method=fedavg
[Round 085/100] Acc=23.150 | RoundTime=39.56s | TotalTime=3363.35s | Method=fedavg
[Round 086/100] Acc=22.770 | RoundTime=39.41s | TotalTime=3402.76s | Method=fedavg
[Round 087/100] Acc=22.620 | RoundTime=39.51s | TotalTime=3442.28s | Method=fedavg
[Round 088/100] Acc=23.900 | RoundTime=39.75s | TotalTime=3482.02s | Method=fedavg
[Round 089/100] Acc=23.060 | RoundTime=39.53s | TotalTime=3521.55s | Method=fedavg
[Round 090/100] Acc=22.350 | RoundTime=39.51s | TotalTime=3561.07s | Method=fedavg
[Round 091/100] Acc=22.960 | RoundTime=39.34s | TotalTime=3600.40s | Method=fedavg
[Round 092/100] Acc=22.860 | RoundTime=39.47s | TotalTime=3639.88s | Method=fedavg
[Round 093/100] Acc=23.110 | RoundTime=39.37s | TotalTime=3679.25s | Method=fedavg
[Round 094/100] Acc=23.000 | RoundTime=39.54s | TotalTime=3718.79s | Method=fedavg
[Round 095/100] Acc=23.030 | RoundTime=39.45s | TotalTime=3758.24s | Method=fedavg
[Round 096/100] Acc=22.820 | RoundTime=39.48s | TotalTime=3797.72s | Method=fedavg
[Round 097/100] Acc=22.810 | RoundTime=39.67s | TotalTime=3837.39s | Method=fedavg
[Round 098/100] Acc=23.700 | RoundTime=39.53s | TotalTime=3876.92s | Method=fedavg
[Round 099/100] Acc=22.980 | RoundTime=39.60s | TotalTime=3916.52s | Method=fedavg
[Round 100/100] Acc=23.130 | RoundTime=38.40s | TotalTime=3954.91s | Method=fedavg
====================================================================================================
Training finished at: 2026-03-14 08:26:37
Total elapsed time: 3954.91s
Final Acc: 23.130
Best Acc : 24.210
====================================================================================================
