====================================================================================================
Training started at: 2026-03-14 11:47:43
Result directory: results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-114743.txt
Result log file : results/fl_mnist/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_mnist_20260314-114743.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 057/100] Acc=85.320 | RoundTime=97.25s | TotalTime=5580.01s | Method=fedprox
[Round 058/100] Acc=81.350 | RoundTime=98.05s | TotalTime=5678.06s | Method=fedprox
[Round 059/100] Acc=80.440 | RoundTime=97.39s | TotalTime=5775.44s | Method=fedprox
[Round 060/100] Acc=79.480 | RoundTime=98.14s | TotalTime=5873.58s | Method=fedprox
[Round 061/100] Acc=80.620 | RoundTime=98.01s | TotalTime=5971.60s | Method=fedprox
[Round 062/100] Acc=80.860 | RoundTime=97.37s | TotalTime=6068.97s | Method=fedprox
[Round 063/100] Acc=86.720 | RoundTime=97.32s | TotalTime=6166.29s | Method=fedprox
[Round 064/100] Acc=84.040 | RoundTime=97.90s | TotalTime=6264.19s | Method=fedprox
[Round 065/100] Acc=83.480 | RoundTime=98.00s | TotalTime=6362.20s | Method=fedprox
[Round 066/100] Acc=77.810 | RoundTime=97.22s | TotalTime=6459.42s | Method=fedprox
[Round 067/100] Acc=76.030 | RoundTime=97.38s | TotalTime=6556.79s | Method=fedprox
[Round 068/100] Acc=77.060 | RoundTime=97.61s | TotalTime=6654.40s | Method=fedprox
[Round 069/100] Acc=84.780 | RoundTime=100.49s | TotalTime=6754.89s | Method=fedprox
[Round 070/100] Acc=80.810 | RoundTime=98.78s | TotalTime=6853.67s | Method=fedprox
[Round 071/100] Acc=81.530 | RoundTime=97.24s | TotalTime=6950.91s | Method=fedprox
[Round 072/100] Acc=83.170 | RoundTime=96.54s | TotalTime=7047.45s | Method=fedprox
[Round 073/100] Acc=84.930 | RoundTime=97.50s | TotalTime=7144.94s | Method=fedprox
[Round 074/100] Acc=82.870 | RoundTime=98.96s | TotalTime=7243.91s | Method=fedprox
[Round 075/100] Acc=82.460 | RoundTime=97.95s | TotalTime=7341.86s | Method=fedprox
[Round 076/100] Acc=80.980 | RoundTime=98.23s | TotalTime=7440.09s | Method=fedprox
[Round 077/100] Acc=81.560 | RoundTime=97.21s | TotalTime=7537.30s | Method=fedprox
[Round 078/100] Acc=83.720 | RoundTime=98.29s | TotalTime=7635.59s | Method=fedprox
[Round 079/100] Acc=79.320 | RoundTime=98.28s | TotalTime=7733.88s | Method=fedprox
[Round 080/100] Acc=84.350 | RoundTime=95.62s | TotalTime=7829.49s | Method=fedprox
[Round 081/100] Acc=81.150 | RoundTime=84.88s | TotalTime=7914.37s | Method=fedprox
[Round 082/100] Acc=85.640 | RoundTime=79.25s | TotalTime=7993.62s | Method=fedprox
[Round 083/100] Acc=83.870 | RoundTime=78.49s | TotalTime=8072.11s | Method=fedprox
[Round 084/100] Acc=82.180 | RoundTime=79.30s | TotalTime=8151.42s | Method=fedprox
[Round 085/100] Acc=80.700 | RoundTime=78.94s | TotalTime=8230.35s | Method=fedprox
[Round 086/100] Acc=83.340 | RoundTime=77.59s | TotalTime=8307.95s | Method=fedprox
[Round 087/100] Acc=78.970 | RoundTime=78.22s | TotalTime=8386.16s | Method=fedprox
[Round 088/100] Acc=81.840 | RoundTime=77.67s | TotalTime=8463.83s | Method=fedprox
[Round 089/100] Acc=76.510 | RoundTime=78.91s | TotalTime=8542.74s | Method=fedprox
[Round 090/100] Acc=84.150 | RoundTime=79.25s | TotalTime=8621.99s | Method=fedprox
[Round 091/100] Acc=81.690 | RoundTime=78.39s | TotalTime=8700.38s | Method=fedprox
[Round 092/100] Acc=87.550 | RoundTime=78.10s | TotalTime=8778.47s | Method=fedprox
[Round 093/100] Acc=83.820 | RoundTime=78.37s | TotalTime=8856.84s | Method=fedprox
[Round 094/100] Acc=85.760 | RoundTime=76.61s | TotalTime=8933.45s | Method=fedprox
[Round 095/100] Acc=85.210 | RoundTime=70.39s | TotalTime=9003.84s | Method=fedprox
[Round 096/100] Acc=85.990 | RoundTime=60.74s | TotalTime=9064.58s | Method=fedprox
[Round 097/100] Acc=85.180 | RoundTime=59.60s | TotalTime=9124.18s | Method=fedprox
[Round 098/100] Acc=85.860 | RoundTime=60.70s | TotalTime=9184.88s | Method=fedprox
[Round 099/100] Acc=86.530 | RoundTime=52.98s | TotalTime=9237.87s | Method=fedprox
[Round 100/100] Acc=85.150 | RoundTime=51.68s | TotalTime=9289.55s | Method=fedprox
====================================================================================================
Training finished at: 2026-03-14 14:22:32
Total elapsed time: 9289.55s
Final Acc: 85.150
Best Acc : 88.390
====================================================================================================
