====================================================================================================
Training started at: 2026-03-27 01:22:48
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.1_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.1_nt-symmetric_st-least_sim_dr-0.15/feddenoise_fl_mnist_20260327-012248-935671_pid2843775.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.1_nt-symmetric_st-least_sim_dr-0.15/feddenoise_fl_mnist_20260327-012248-935671_pid2843775.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.1
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=90.010 | RoundTime=52.74s | TotalTime=52.74s | Method=feddenoise
[Round 002/100] Acc=43.020 | Pure=90.091 | RoundTime=49.69s | TotalTime=102.43s | Method=feddenoise
[Round 003/100] Acc=86.420 | Pure=89.997 | RoundTime=44.45s | TotalTime=146.88s | Method=feddenoise
[Round 004/100] Acc=87.590 | Pure=89.938 | RoundTime=44.10s | TotalTime=190.98s | Method=feddenoise
[Round 005/100] Acc=95.400 | Pure=90.055 | RoundTime=43.88s | TotalTime=234.86s | Method=feddenoise
[Round 006/100] Acc=92.890 | Pure=89.958 | RoundTime=55.72s | TotalTime=290.58s | Method=feddenoise
[Round 007/100] Acc=97.300 | Pure=90.042 | RoundTime=44.41s | TotalTime=334.99s | Method=feddenoise
[Round 008/100] Acc=97.770 | Pure=90.013 | RoundTime=43.94s | TotalTime=378.93s | Method=feddenoise
[Round 009/100] Acc=95.330 | Pure=90.036 | RoundTime=43.98s | TotalTime=422.91s | Method=feddenoise
[Round 010/100] Acc=97.930 | Pure=90.039 | RoundTime=44.24s | TotalTime=467.15s | Method=feddenoise
[Round 011/100] Acc=97.420 | Pure=98.441 | RoundTime=62.24s | TotalTime=529.39s | Method=feddenoise
[Round 012/100] Acc=97.150 | Pure=99.023 | RoundTime=61.77s | TotalTime=591.16s | Method=feddenoise
[Round 013/100] Acc=98.120 | Pure=98.957 | RoundTime=61.12s | TotalTime=652.28s | Method=feddenoise
[Round 014/100] Acc=88.870 | Pure=98.796 | RoundTime=60.14s | TotalTime=712.42s | Method=feddenoise
[Round 015/100] Acc=98.460 | Pure=98.344 | RoundTime=60.88s | TotalTime=773.31s | Method=feddenoise
