====================================================================================================
Training started at: 2026-03-13 10:42:16
Result directory: results/fl_cifar100/fedavg
Result txt file : results/fl_cifar100/fedavg/model=fedavg_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_partition=dirichlet_dirAlpha=0.1_noiseMode=uniform_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260313-104216.txt
Result log file : results/fl_cifar100/fedavg/model=fedavg_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_partition=dirichlet_dirAlpha=0.1_noiseMode=uniform_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260313-104216.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 054/100] Acc=16.540 | RoundTime=27.65s | TotalTime=1418.57s | Method=fedavg
[Round 055/100] Acc=16.420 | RoundTime=27.29s | TotalTime=1445.86s | Method=fedavg
[Round 056/100] Acc=15.750 | RoundTime=28.60s | TotalTime=1474.46s | Method=fedavg
[Round 057/100] Acc=17.020 | RoundTime=27.39s | TotalTime=1501.86s | Method=fedavg
[Round 058/100] Acc=16.480 | RoundTime=28.07s | TotalTime=1529.93s | Method=fedavg
[Round 059/100] Acc=15.820 | RoundTime=27.19s | TotalTime=1557.12s | Method=fedavg
[Round 060/100] Acc=16.740 | RoundTime=28.70s | TotalTime=1585.82s | Method=fedavg
[Round 061/100] Acc=16.150 | RoundTime=27.59s | TotalTime=1613.41s | Method=fedavg
[Round 062/100] Acc=15.860 | RoundTime=28.19s | TotalTime=1641.60s | Method=fedavg
[Round 063/100] Acc=16.180 | RoundTime=27.22s | TotalTime=1668.82s | Method=fedavg
[Round 064/100] Acc=16.870 | RoundTime=28.29s | TotalTime=1697.11s | Method=fedavg
[Round 065/100] Acc=16.410 | RoundTime=27.71s | TotalTime=1724.81s | Method=fedavg
[Round 066/100] Acc=16.420 | RoundTime=27.61s | TotalTime=1752.42s | Method=fedavg
[Round 067/100] Acc=16.350 | RoundTime=27.73s | TotalTime=1780.16s | Method=fedavg
[Round 068/100] Acc=16.540 | RoundTime=27.82s | TotalTime=1807.98s | Method=fedavg
[Round 069/100] Acc=15.820 | RoundTime=27.79s | TotalTime=1835.77s | Method=fedavg
[Round 070/100] Acc=16.910 | RoundTime=27.20s | TotalTime=1862.97s | Method=fedavg
[Round 071/100] Acc=17.080 | RoundTime=27.15s | TotalTime=1890.12s | Method=fedavg
