====================================================================================================
Training started at: 2026-03-30 05:29:10
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.45
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.45/fedcda_fl_cifar10_20260330-052910-427757_pid3447697.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.45/fedcda_fl_cifar10_20260330-052910-427757_pid3447697.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 48
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.2
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.45
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=24.51s | TotalTime=24.51s | Method=fedcda
[Round 002/100] Acc=9.600 | RoundTime=24.25s | TotalTime=48.76s | Method=fedcda
[Round 003/100] Acc=17.580 | RoundTime=24.55s | TotalTime=73.31s | Method=fedcda
[Round 004/100] Acc=11.660 | RoundTime=25.03s | TotalTime=98.34s | Method=fedcda
[Round 005/100] Acc=17.170 | RoundTime=24.19s | TotalTime=122.53s | Method=fedcda
[Round 006/100] Acc=23.940 | RoundTime=24.64s | TotalTime=147.18s | Method=fedcda
[Round 007/100] Acc=21.250 | RoundTime=24.64s | TotalTime=171.82s | Method=fedcda
[Round 008/100] Acc=24.860 | RoundTime=24.83s | TotalTime=196.66s | Method=fedcda
[Round 009/100] Acc=21.690 | RoundTime=24.53s | TotalTime=221.19s | Method=fedcda
[Round 010/100] Acc=25.430 | RoundTime=25.46s | TotalTime=246.65s | Method=fedcda
[Round 011/100] Acc=18.060 | RoundTime=26.01s | TotalTime=272.65s | Method=fedcda
[Round 012/100] Acc=31.090 | RoundTime=24.49s | TotalTime=297.15s | Method=fedcda
[Round 013/100] Acc=28.900 | RoundTime=24.89s | TotalTime=322.04s | Method=fedcda
[Round 014/100] Acc=32.330 | RoundTime=21.33s | TotalTime=343.37s | Method=fedcda
[Round 015/100] Acc=25.360 | RoundTime=20.79s | TotalTime=364.15s | Method=fedcda
[Round 016/100] Acc=19.350 | RoundTime=20.51s | TotalTime=384.66s | Method=fedcda
[Round 017/100] Acc=24.970 | RoundTime=20.72s | TotalTime=405.39s | Method=fedcda
[Round 018/100] Acc=29.060 | RoundTime=20.71s | TotalTime=426.10s | Method=fedcda
[Round 019/100] Acc=25.400 | RoundTime=20.78s | TotalTime=446.87s | Method=fedcda
[Round 020/100] Acc=25.490 | RoundTime=20.80s | TotalTime=467.68s | Method=fedcda
