====================================================================================================
Training started at: 2026-03-15 07:16:16
Result directory: results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-071616.txt
Result log file : results/fl_mnist/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_mnist_20260315-071616.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.350 | Pure=70.029 | RoundTime=47.48s | TotalTime=47.48s | Method=feddenoise
[Round 002/100] Acc=51.410 | Pure=69.979 | RoundTime=48.99s | TotalTime=96.47s | Method=feddenoise
[Round 003/100] Acc=68.650 | Pure=69.951 | RoundTime=47.99s | TotalTime=144.46s | Method=feddenoise
[Round 004/100] Acc=78.850 | Pure=69.948 | RoundTime=47.92s | TotalTime=192.38s | Method=feddenoise
[Round 005/100] Acc=90.290 | Pure=70.128 | RoundTime=47.60s | TotalTime=239.98s | Method=feddenoise
[Round 006/100] Acc=84.630 | Pure=69.935 | RoundTime=46.90s | TotalTime=286.88s | Method=feddenoise
[Round 007/100] Acc=85.000 | Pure=69.919 | RoundTime=47.91s | TotalTime=334.79s | Method=feddenoise
[Round 008/100] Acc=91.800 | Pure=69.930 | RoundTime=46.61s | TotalTime=381.40s | Method=feddenoise
[Round 009/100] Acc=92.510 | Pure=69.930 | RoundTime=46.91s | TotalTime=428.31s | Method=feddenoise
[Round 010/100] Acc=92.600 | Pure=69.979 | RoundTime=48.51s | TotalTime=476.82s | Method=feddenoise
[Round 011/100] Acc=94.250 | Pure=77.696 | RoundTime=63.27s | TotalTime=540.09s | Method=feddenoise
[Round 012/100] Acc=94.370 | Pure=78.097 | RoundTime=64.08s | TotalTime=604.17s | Method=feddenoise
[Round 013/100] Acc=88.690 | Pure=78.330 | RoundTime=64.55s | TotalTime=668.72s | Method=feddenoise
[Round 014/100] Acc=92.440 | Pure=77.752 | RoundTime=63.33s | TotalTime=732.06s | Method=feddenoise
[Round 015/100] Acc=93.630 | Pure=77.513 | RoundTime=63.00s | TotalTime=795.05s | Method=feddenoise
[Round 016/100] Acc=91.350 | Pure=77.823 | RoundTime=62.91s | TotalTime=857.96s | Method=feddenoise
[Round 017/100] Acc=92.870 | Pure=78.006 | RoundTime=63.15s | TotalTime=921.11s | Method=feddenoise
[Round 018/100] Acc=94.350 | Pure=77.360 | RoundTime=64.63s | TotalTime=985.74s | Method=feddenoise
[Round 019/100] Acc=94.350 | Pure=77.915 | RoundTime=63.37s | TotalTime=1049.12s | Method=feddenoise
[Round 020/100] Acc=93.230 | Pure=77.548 | RoundTime=64.26s | TotalTime=1113.38s | Method=feddenoise
[Round 021/100] Acc=93.780 | Pure=79.952 | RoundTime=64.58s | TotalTime=1177.97s | Method=feddenoise
[Round 022/100] Acc=91.870 | Pure=80.319 | RoundTime=62.50s | TotalTime=1240.47s | Method=feddenoise
[Round 023/100] Acc=93.940 | Pure=80.092 | RoundTime=62.67s | TotalTime=1303.14s | Method=feddenoise
[Round 024/100] Acc=93.490 | Pure=80.283 | RoundTime=64.25s | TotalTime=1367.40s | Method=feddenoise
[Round 025/100] Acc=92.560 | Pure=79.801 | RoundTime=64.91s | TotalTime=1432.31s | Method=feddenoise
[Round 026/100] Acc=94.510 | Pure=79.601 | RoundTime=63.52s | TotalTime=1495.82s | Method=feddenoise
[Round 027/100] Acc=94.930 | Pure=80.043 | RoundTime=65.09s | TotalTime=1560.91s | Method=feddenoise
[Round 028/100] Acc=93.510 | Pure=79.875 | RoundTime=66.18s | TotalTime=1627.09s | Method=feddenoise
[Round 029/100] Acc=93.210 | Pure=79.357 | RoundTime=63.16s | TotalTime=1690.25s | Method=feddenoise
[Round 030/100] Acc=94.190 | Pure=80.006 | RoundTime=63.61s | TotalTime=1753.86s | Method=feddenoise
[Round 031/100] Acc=93.890 | Pure=79.996 | RoundTime=65.09s | TotalTime=1818.96s | Method=feddenoise
[Round 032/100] Acc=93.700 | Pure=79.639 | RoundTime=64.01s | TotalTime=1882.97s | Method=feddenoise
[Round 033/100] Acc=93.750 | Pure=79.678 | RoundTime=63.80s | TotalTime=1946.77s | Method=feddenoise
[Round 034/100] Acc=93.480 | Pure=79.583 | RoundTime=63.37s | TotalTime=2010.14s | Method=feddenoise
[Round 035/100] Acc=93.440 | Pure=79.257 | RoundTime=64.78s | TotalTime=2074.92s | Method=feddenoise
[Round 036/100] Acc=92.010 | Pure=79.579 | RoundTime=63.19s | TotalTime=2138.11s | Method=feddenoise
[Round 037/100] Acc=92.350 | Pure=79.717 | RoundTime=63.21s | TotalTime=2201.32s | Method=feddenoise
[Round 038/100] Acc=93.580 | Pure=80.190 | RoundTime=62.51s | TotalTime=2263.83s | Method=feddenoise
[Round 039/100] Acc=92.240 | Pure=79.705 | RoundTime=62.78s | TotalTime=2326.61s | Method=feddenoise
[Round 040/100] Acc=92.900 | Pure=79.642 | RoundTime=62.88s | TotalTime=2389.49s | Method=feddenoise
[Round 041/100] Acc=93.590 | Pure=80.162 | RoundTime=63.05s | TotalTime=2452.55s | Method=feddenoise
[Round 042/100] Acc=93.090 | Pure=80.265 | RoundTime=64.23s | TotalTime=2516.77s | Method=feddenoise
[Round 043/100] Acc=92.980 | Pure=80.501 | RoundTime=63.75s | TotalTime=2580.53s | Method=feddenoise
[Round 044/100] Acc=94.000 | Pure=79.452 | RoundTime=63.91s | TotalTime=2644.43s | Method=feddenoise
[Round 045/100] Acc=92.310 | Pure=80.472 | RoundTime=64.12s | TotalTime=2708.56s | Method=feddenoise
