====================================================================================================
Training started at: 2026-03-13 13:57:27
Result directory: results/fl_svhn/fedprox
Result txt file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.5_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-135727.txt
Result log file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.5_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-135727.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 056/100] Acc=76.430 | RoundTime=55.36s | TotalTime=3048.66s | Method=fedprox
[Round 057/100] Acc=75.750 | RoundTime=56.15s | TotalTime=3104.81s | Method=fedprox
[Round 058/100] Acc=77.230 | RoundTime=54.74s | TotalTime=3159.55s | Method=fedprox
[Round 059/100] Acc=76.570 | RoundTime=55.45s | TotalTime=3215.00s | Method=fedprox
[Round 060/100] Acc=73.270 | RoundTime=55.91s | TotalTime=3270.91s | Method=fedprox
[Round 061/100] Acc=72.730 | RoundTime=54.93s | TotalTime=3325.84s | Method=fedprox
[Round 062/100] Acc=71.940 | RoundTime=55.59s | TotalTime=3381.43s | Method=fedprox
[Round 063/100] Acc=75.780 | RoundTime=56.00s | TotalTime=3437.44s | Method=fedprox
[Round 064/100] Acc=71.970 | RoundTime=55.63s | TotalTime=3493.06s | Method=fedprox
[Round 065/100] Acc=75.500 | RoundTime=56.74s | TotalTime=3549.81s | Method=fedprox
[Round 066/100] Acc=76.210 | RoundTime=56.67s | TotalTime=3606.48s | Method=fedprox
[Round 067/100] Acc=74.600 | RoundTime=56.06s | TotalTime=3662.54s | Method=fedprox
[Round 068/100] Acc=75.520 | RoundTime=56.06s | TotalTime=3718.60s | Method=fedprox
[Round 069/100] Acc=68.470 | RoundTime=56.53s | TotalTime=3775.14s | Method=fedprox
[Round 070/100] Acc=75.130 | RoundTime=56.76s | TotalTime=3831.90s | Method=fedprox
[Round 071/100] Acc=75.160 | RoundTime=55.36s | TotalTime=3887.26s | Method=fedprox
[Round 072/100] Acc=75.610 | RoundTime=53.40s | TotalTime=3940.65s | Method=fedprox
[Round 073/100] Acc=75.690 | RoundTime=52.96s | TotalTime=3993.61s | Method=fedprox
[Round 074/100] Acc=75.290 | RoundTime=51.91s | TotalTime=4045.53s | Method=fedprox
[Round 075/100] Acc=74.820 | RoundTime=51.52s | TotalTime=4097.05s | Method=fedprox
[Round 076/100] Acc=75.480 | RoundTime=51.69s | TotalTime=4148.74s | Method=fedprox
[Round 077/100] Acc=76.510 | RoundTime=52.05s | TotalTime=4200.79s | Method=fedprox
[Round 078/100] Acc=74.770 | RoundTime=51.50s | TotalTime=4252.29s | Method=fedprox
[Round 079/100] Acc=75.520 | RoundTime=52.41s | TotalTime=4304.70s | Method=fedprox
[Round 080/100] Acc=75.700 | RoundTime=52.07s | TotalTime=4356.77s | Method=fedprox
[Round 081/100] Acc=75.770 | RoundTime=51.64s | TotalTime=4408.41s | Method=fedprox
[Round 082/100] Acc=75.880 | RoundTime=52.08s | TotalTime=4460.48s | Method=fedprox
[Round 083/100] Acc=76.050 | RoundTime=50.49s | TotalTime=4510.97s | Method=fedprox
[Round 084/100] Acc=72.980 | RoundTime=51.23s | TotalTime=4562.20s | Method=fedprox
[Round 085/100] Acc=77.030 | RoundTime=49.74s | TotalTime=4611.95s | Method=fedprox
[Round 086/100] Acc=75.060 | RoundTime=51.61s | TotalTime=4663.55s | Method=fedprox
[Round 087/100] Acc=75.800 | RoundTime=52.44s | TotalTime=4715.99s | Method=fedprox
[Round 088/100] Acc=76.920 | RoundTime=51.11s | TotalTime=4767.10s | Method=fedprox
[Round 089/100] Acc=74.450 | RoundTime=51.34s | TotalTime=4818.45s | Method=fedprox
[Round 090/100] Acc=77.230 | RoundTime=50.76s | TotalTime=4869.20s | Method=fedprox
[Round 091/100] Acc=73.590 | RoundTime=50.46s | TotalTime=4919.66s | Method=fedprox
[Round 092/100] Acc=76.110 | RoundTime=51.27s | TotalTime=4970.93s | Method=fedprox
[Round 093/100] Acc=75.800 | RoundTime=50.27s | TotalTime=5021.20s | Method=fedprox
[Round 094/100] Acc=77.460 | RoundTime=51.59s | TotalTime=5072.79s | Method=fedprox
[Round 095/100] Acc=74.440 | RoundTime=50.47s | TotalTime=5123.26s | Method=fedprox
[Round 096/100] Acc=75.260 | RoundTime=50.95s | TotalTime=5174.21s | Method=fedprox
[Round 097/100] Acc=73.920 | RoundTime=50.48s | TotalTime=5224.69s | Method=fedprox
[Round 098/100] Acc=74.690 | RoundTime=49.81s | TotalTime=5274.50s | Method=fedprox
[Round 099/100] Acc=76.660 | RoundTime=46.46s | TotalTime=5320.95s | Method=fedprox
[Round 100/100] Acc=76.130 | RoundTime=47.17s | TotalTime=5368.13s | Method=fedprox
====================================================================================================
Training finished at: 2026-03-13 15:26:55
Total elapsed time: 5368.13s
Final Acc: 76.130
Best Acc : 79.120
====================================================================================================
