====================================================================================================
Training started at: 2026-03-13 12:34:08
Result directory: results/fl_svhn/fedprox
Result txt file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.1_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-123408.txt
Result log file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.1_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-123408.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=7.760 | RoundTime=64.45s | TotalTime=64.45s | Method=fedprox
[Round 002/100] Acc=19.590 | RoundTime=63.10s | TotalTime=127.55s | Method=fedprox
[Round 003/100] Acc=45.750 | RoundTime=64.19s | TotalTime=191.75s | Method=fedprox
[Round 004/100] Acc=50.550 | RoundTime=64.97s | TotalTime=256.72s | Method=fedprox
[Round 005/100] Acc=51.720 | RoundTime=65.88s | TotalTime=322.60s | Method=fedprox
[Round 006/100] Acc=53.670 | RoundTime=65.47s | TotalTime=388.07s | Method=fedprox
[Round 007/100] Acc=55.750 | RoundTime=65.14s | TotalTime=453.21s | Method=fedprox
[Round 008/100] Acc=43.520 | RoundTime=65.73s | TotalTime=518.95s | Method=fedprox
[Round 009/100] Acc=47.990 | RoundTime=64.25s | TotalTime=583.20s | Method=fedprox
[Round 010/100] Acc=58.550 | RoundTime=64.57s | TotalTime=647.76s | Method=fedprox
[Round 011/100] Acc=46.070 | RoundTime=66.43s | TotalTime=714.20s | Method=fedprox
[Round 012/100] Acc=37.520 | RoundTime=66.56s | TotalTime=780.76s | Method=fedprox
[Round 013/100] Acc=56.980 | RoundTime=66.35s | TotalTime=847.11s | Method=fedprox
[Round 014/100] Acc=56.400 | RoundTime=65.76s | TotalTime=912.87s | Method=fedprox
[Round 015/100] Acc=56.800 | RoundTime=65.16s | TotalTime=978.03s | Method=fedprox
[Round 016/100] Acc=54.950 | RoundTime=66.50s | TotalTime=1044.52s | Method=fedprox
[Round 017/100] Acc=40.960 | RoundTime=63.70s | TotalTime=1108.23s | Method=fedprox
[Round 018/100] Acc=51.060 | RoundTime=63.01s | TotalTime=1171.24s | Method=fedprox
[Round 019/100] Acc=51.180 | RoundTime=64.65s | TotalTime=1235.88s | Method=fedprox
[Round 020/100] Acc=44.910 | RoundTime=64.42s | TotalTime=1300.30s | Method=fedprox
[Round 021/100] Acc=49.650 | RoundTime=64.53s | TotalTime=1364.83s | Method=fedprox
[Round 022/100] Acc=55.330 | RoundTime=64.74s | TotalTime=1429.57s | Method=fedprox
[Round 023/100] Acc=55.090 | RoundTime=64.51s | TotalTime=1494.08s | Method=fedprox
[Round 024/100] Acc=57.120 | RoundTime=65.90s | TotalTime=1559.98s | Method=fedprox
[Round 025/100] Acc=58.190 | RoundTime=64.83s | TotalTime=1624.81s | Method=fedprox
