====================================================================================================
Training started at: 2026-03-13 12:17:59
Result directory: results/fl_svhn/fedprox
Result txt file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-121759.txt
Result log file : results/fl_svhn/fedprox/model=fedprox_dataset=fl_svhn_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.3_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-121759.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | RoundTime=55.98s | TotalTime=55.98s | Method=fedprox
[Round 002/100] Acc=38.670 | RoundTime=56.60s | TotalTime=112.59s | Method=fedprox
[Round 003/100] Acc=59.420 | RoundTime=55.19s | TotalTime=167.77s | Method=fedprox
[Round 004/100] Acc=72.820 | RoundTime=55.47s | TotalTime=223.24s | Method=fedprox
[Round 005/100] Acc=73.170 | RoundTime=56.64s | TotalTime=279.88s | Method=fedprox
[Round 006/100] Acc=67.210 | RoundTime=55.77s | TotalTime=335.65s | Method=fedprox
[Round 007/100] Acc=66.560 | RoundTime=56.81s | TotalTime=392.46s | Method=fedprox
[Round 008/100] Acc=69.510 | RoundTime=58.44s | TotalTime=450.90s | Method=fedprox
[Round 009/100] Acc=70.510 | RoundTime=55.52s | TotalTime=506.42s | Method=fedprox
[Round 010/100] Acc=70.610 | RoundTime=55.17s | TotalTime=561.60s | Method=fedprox
[Round 011/100] Acc=69.480 | RoundTime=57.68s | TotalTime=619.27s | Method=fedprox
[Round 012/100] Acc=75.200 | RoundTime=57.08s | TotalTime=676.35s | Method=fedprox
[Round 013/100] Acc=72.800 | RoundTime=56.26s | TotalTime=732.61s | Method=fedprox
[Round 014/100] Acc=74.500 | RoundTime=57.78s | TotalTime=790.39s | Method=fedprox
[Round 015/100] Acc=71.430 | RoundTime=58.04s | TotalTime=848.44s | Method=fedprox
[Round 016/100] Acc=73.160 | RoundTime=60.65s | TotalTime=909.09s | Method=fedprox
[Round 017/100] Acc=72.910 | RoundTime=61.00s | TotalTime=970.10s | Method=fedprox
[Round 018/100] Acc=70.960 | RoundTime=61.30s | TotalTime=1031.40s | Method=fedprox
[Round 019/100] Acc=71.970 | RoundTime=62.11s | TotalTime=1093.52s | Method=fedprox
[Round 020/100] Acc=69.930 | RoundTime=61.31s | TotalTime=1154.83s | Method=fedprox
[Round 021/100] Acc=70.760 | RoundTime=60.99s | TotalTime=1215.82s | Method=fedprox
[Round 022/100] Acc=70.240 | RoundTime=63.48s | TotalTime=1279.30s | Method=fedprox
[Round 023/100] Acc=69.470 | RoundTime=61.96s | TotalTime=1341.26s | Method=fedprox
[Round 024/100] Acc=68.550 | RoundTime=63.09s | TotalTime=1404.35s | Method=fedprox
[Round 025/100] Acc=65.760 | RoundTime=63.26s | TotalTime=1467.61s | Method=fedprox
[Round 026/100] Acc=71.240 | RoundTime=63.12s | TotalTime=1530.73s | Method=fedprox
[Round 027/100] Acc=69.450 | RoundTime=63.46s | TotalTime=1594.19s | Method=fedprox
[Round 028/100] Acc=72.520 | RoundTime=63.10s | TotalTime=1657.29s | Method=fedprox
[Round 029/100] Acc=72.110 | RoundTime=63.77s | TotalTime=1721.07s | Method=fedprox
[Round 030/100] Acc=72.350 | RoundTime=62.12s | TotalTime=1783.19s | Method=fedprox
[Round 031/100] Acc=72.350 | RoundTime=62.37s | TotalTime=1845.56s | Method=fedprox
