========================================================================================================================
Training started at: 2026-04-08 08:11:05
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_hs-3_bn-3_wr-30_L-1.0
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_svhn_20260408-081105-890725_pid2514223.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_svhn_20260408-081105-890725_pid2514223.log
------------------------------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedCDA history size: 3
FedCDA batch num: 3
FedCDA warmup round: 30
FedCDA L: 1.0
========================================================================================================================
[Round 043/100] Phase=standard | Stage=warmup | Acc=88.460 | RoundTime=81.28s | TotalTime=2570.69s | Method=fedcda
[Round 044/100] Phase=standard | Stage=warmup | Acc=88.130 | RoundTime=81.57s | TotalTime=2652.27s | Method=fedcda
[Round 045/100] Phase=standard | Stage=warmup | Acc=88.520 | RoundTime=80.56s | TotalTime=2732.83s | Method=fedcda
[Round 046/100] Phase=standard | Stage=warmup | Acc=88.940 | RoundTime=82.74s | TotalTime=2815.58s | Method=fedcda
[Round 047/100] Phase=standard | Stage=warmup | Acc=89.700 | RoundTime=81.19s | TotalTime=2896.79s | Method=fedcda
[Round 048/100] Phase=standard | Stage=warmup | Acc=89.830 | RoundTime=81.52s | TotalTime=2978.31s | Method=fedcda
[Round 049/100] Phase=standard | Stage=warmup | Acc=89.840 | RoundTime=80.12s | TotalTime=3058.45s | Method=fedcda
[Round 050/100] Phase=standard | Stage=warmup | Acc=89.370 | RoundTime=80.44s | TotalTime=3138.90s | Method=fedcda
[Round 051/100] Phase=standard | Stage=warmup | Acc=88.250 | RoundTime=79.00s | TotalTime=3217.90s | Method=fedcda
[Round 052/100] Phase=standard | Stage=warmup | Acc=89.680 | RoundTime=79.40s | TotalTime=3297.31s | Method=fedcda
[Round 053/100] Phase=standard | Stage=warmup | Acc=90.450 | RoundTime=81.76s | TotalTime=3379.07s | Method=fedcda
[Round 054/100] Phase=standard | Stage=warmup | Acc=89.590 | RoundTime=79.69s | TotalTime=3458.79s | Method=fedcda
[Round 055/100] Phase=standard | Stage=warmup | Acc=88.620 | RoundTime=80.68s | TotalTime=3539.48s | Method=fedcda
[Round 056/100] Phase=standard | Stage=warmup | Acc=89.360 | RoundTime=78.66s | TotalTime=3618.15s | Method=fedcda
[Round 057/100] Phase=standard | Stage=warmup | Acc=89.330 | RoundTime=85.47s | TotalTime=3703.63s | Method=fedcda
[Round 058/100] Phase=standard | Stage=warmup | Acc=89.790 | RoundTime=85.14s | TotalTime=3788.78s | Method=fedcda
[Round 059/100] Phase=standard | Stage=warmup | Acc=89.560 | RoundTime=83.40s | TotalTime=3872.19s | Method=fedcda
[Round 060/100] Phase=standard | Stage=warmup | Acc=89.100 | RoundTime=82.64s | TotalTime=3954.84s | Method=fedcda
[Round 061/100] Phase=standard | Stage=warmup | Acc=88.680 | RoundTime=82.15s | TotalTime=4036.99s | Method=fedcda
[Round 062/100] Phase=standard | Stage=warmup | Acc=88.570 | RoundTime=84.35s | TotalTime=4121.35s | Method=fedcda
[Round 063/100] Phase=standard | Stage=warmup | Acc=89.360 | RoundTime=81.90s | TotalTime=4203.25s | Method=fedcda
[Round 064/100] Phase=standard | Stage=warmup | Acc=88.770 | RoundTime=81.70s | TotalTime=4284.96s | Method=fedcda
[Round 065/100] Phase=standard | Stage=warmup | Acc=90.260 | RoundTime=80.19s | TotalTime=4365.16s | Method=fedcda
[Round 066/100] Phase=standard | Stage=warmup | Acc=89.760 | RoundTime=80.91s | TotalTime=4446.08s | Method=fedcda
[Round 067/100] Phase=standard | Stage=warmup | Acc=89.130 | RoundTime=83.02s | TotalTime=4529.11s | Method=fedcda
[Round 068/100] Phase=standard | Stage=warmup | Acc=88.080 | RoundTime=82.76s | TotalTime=4611.88s | Method=fedcda
[Round 069/100] Phase=standard | Stage=warmup | Acc=88.490 | RoundTime=80.32s | TotalTime=4692.21s | Method=fedcda
[Round 070/100] Phase=standard | Stage=warmup | Acc=89.510 | RoundTime=81.16s | TotalTime=4773.38s | Method=fedcda
[Round 071/100] Phase=standard | Stage=warmup | Acc=89.060 | RoundTime=78.38s | TotalTime=4851.77s | Method=fedcda
[Round 072/100] Phase=standard | Stage=warmup | Acc=88.800 | RoundTime=80.87s | TotalTime=4932.64s | Method=fedcda
[Round 073/100] Phase=standard | Stage=warmup | Acc=86.810 | RoundTime=81.79s | TotalTime=5014.44s | Method=fedcda
[Round 074/100] Phase=standard | Stage=warmup | Acc=86.170 | RoundTime=80.33s | TotalTime=5094.78s | Method=fedcda
[Round 075/100] Phase=standard | Stage=warmup | Acc=86.260 | RoundTime=81.69s | TotalTime=5176.48s | Method=fedcda
[Round 076/100] Phase=standard | Stage=warmup | Acc=84.650 | RoundTime=79.56s | TotalTime=5256.06s | Method=fedcda
[Round 077/100] Phase=standard | Stage=warmup | Acc=85.560 | RoundTime=80.26s | TotalTime=5336.33s | Method=fedcda
[Round 078/100] Phase=standard | Stage=warmup | Acc=86.770 | RoundTime=80.39s | TotalTime=5416.73s | Method=fedcda
[Round 079/100] Phase=standard | Stage=warmup | Acc=87.080 | RoundTime=79.31s | TotalTime=5496.05s | Method=fedcda
[Round 080/100] Phase=standard | Stage=warmup | Acc=87.550 | RoundTime=78.59s | TotalTime=5574.64s | Method=fedcda
[Round 081/100] Phase=standard | Stage=warmup | Acc=87.890 | RoundTime=79.97s | TotalTime=5654.63s | Method=fedcda
[Round 082/100] Phase=standard | Stage=warmup | Acc=84.390 | RoundTime=81.22s | TotalTime=5735.85s | Method=fedcda
[Round 083/100] Phase=standard | Stage=warmup | Acc=84.530 | RoundTime=81.09s | TotalTime=5816.96s | Method=fedcda
[Round 084/100] Phase=standard | Stage=warmup | Acc=84.440 | RoundTime=80.41s | TotalTime=5897.38s | Method=fedcda
[Round 085/100] Phase=standard | Stage=warmup | Acc=85.780 | RoundTime=79.21s | TotalTime=5976.60s | Method=fedcda
[Round 086/100] Phase=standard | Stage=warmup | Acc=88.760 | RoundTime=80.49s | TotalTime=6057.10s | Method=fedcda
[Round 087/100] Phase=standard | Stage=warmup | Acc=87.960 | RoundTime=79.25s | TotalTime=6136.35s | Method=fedcda
[Round 088/100] Phase=standard | Stage=warmup | Acc=88.460 | RoundTime=77.39s | TotalTime=6213.75s | Method=fedcda
[Round 089/100] Phase=standard | Stage=warmup | Acc=88.430 | RoundTime=83.57s | TotalTime=6297.33s | Method=fedcda
[Round 090/100] Phase=standard | Stage=warmup | Acc=87.570 | RoundTime=82.27s | TotalTime=6379.61s | Method=fedcda
[Round 091/100] Phase=standard | Stage=warmup | Acc=84.810 | RoundTime=82.66s | TotalTime=6462.28s | Method=fedcda
[Round 092/100] Phase=standard | Stage=warmup | Acc=88.170 | RoundTime=81.95s | TotalTime=6544.23s | Method=fedcda
[Round 093/100] Phase=standard | Stage=warmup | Acc=83.820 | RoundTime=78.26s | TotalTime=6622.50s | Method=fedcda
[Round 094/100] Phase=standard | Stage=warmup | Acc=84.300 | RoundTime=79.95s | TotalTime=6702.46s | Method=fedcda
[Round 095/100] Phase=standard | Stage=warmup | Acc=86.370 | RoundTime=79.04s | TotalTime=6781.51s | Method=fedcda
[Round 096/100] Phase=standard | Stage=warmup | Acc=85.570 | RoundTime=84.50s | TotalTime=6866.02s | Method=fedcda
[Round 097/100] Phase=standard | Stage=warmup | Acc=85.480 | RoundTime=101.30s | TotalTime=6967.32s | Method=fedcda
[Round 098/100] Phase=standard | Stage=warmup | Acc=84.960 | RoundTime=98.62s | TotalTime=7065.95s | Method=fedcda
[Round 099/100] Phase=standard | Stage=warmup | Acc=84.820 | RoundTime=101.43s | TotalTime=7167.39s | Method=fedcda
[Round 100/100] Phase=standard | Stage=warmup | Acc=84.620 | RoundTime=103.86s | TotalTime=7271.25s | Method=fedcda
========================================================================================================================
Training finished at: 2026-04-08 10:12:17
Total elapsed time: 7271.26s
Final Acc: 84.620
Best Acc : 91.030
========================================================================================================================
