====================================================================================================
Training started at: 2026-03-27 02:57:39
Result directory: results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260327-025739-287429_pid934880.txt
Result log file : results/fl_mnist/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260327-025739-287429_pid934880.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=9.820 | RoundTime=29.94s | TotalTime=29.94s | Method=fedcda
[Round 002/100] Acc=70.350 | RoundTime=29.09s | TotalTime=59.02s | Method=fedcda
[Round 003/100] Acc=67.440 | RoundTime=27.54s | TotalTime=86.57s | Method=fedcda
[Round 004/100] Acc=84.180 | RoundTime=28.38s | TotalTime=114.95s | Method=fedcda
[Round 005/100] Acc=73.470 | RoundTime=29.72s | TotalTime=144.67s | Method=fedcda
[Round 006/100] Acc=89.940 | RoundTime=29.22s | TotalTime=173.88s | Method=fedcda
[Round 007/100] Acc=93.220 | RoundTime=30.21s | TotalTime=204.10s | Method=fedcda
[Round 008/100] Acc=84.350 | RoundTime=29.17s | TotalTime=233.26s | Method=fedcda
[Round 009/100] Acc=92.220 | RoundTime=30.13s | TotalTime=263.40s | Method=fedcda
[Round 010/100] Acc=81.420 | RoundTime=29.86s | TotalTime=293.26s | Method=fedcda
[Round 011/100] Acc=87.690 | RoundTime=30.13s | TotalTime=323.39s | Method=fedcda
[Round 012/100] Acc=90.630 | RoundTime=25.68s | TotalTime=349.07s | Method=fedcda
[Round 013/100] Acc=88.590 | RoundTime=25.67s | TotalTime=374.74s | Method=fedcda
[Round 014/100] Acc=86.680 | RoundTime=25.46s | TotalTime=400.20s | Method=fedcda
[Round 015/100] Acc=81.280 | RoundTime=24.78s | TotalTime=424.98s | Method=fedcda
[Round 016/100] Acc=80.440 | RoundTime=25.33s | TotalTime=450.31s | Method=fedcda
[Round 017/100] Acc=84.750 | RoundTime=24.85s | TotalTime=475.16s | Method=fedcda
[Round 018/100] Acc=84.570 | RoundTime=25.15s | TotalTime=500.31s | Method=fedcda
[Round 019/100] Acc=85.740 | RoundTime=24.79s | TotalTime=525.11s | Method=fedcda
[Round 020/100] Acc=86.770 | RoundTime=26.68s | TotalTime=551.79s | Method=fedcda
[Round 021/100] Acc=85.420 | RoundTime=25.36s | TotalTime=577.15s | Method=fedcda
[Round 022/100] Acc=86.680 | RoundTime=26.10s | TotalTime=603.24s | Method=fedcda
[Round 023/100] Acc=87.100 | RoundTime=26.80s | TotalTime=630.04s | Method=fedcda
[Round 024/100] Acc=83.160 | RoundTime=28.86s | TotalTime=658.90s | Method=fedcda
[Round 025/100] Acc=84.490 | RoundTime=26.53s | TotalTime=685.44s | Method=fedcda
[Round 026/100] Acc=88.740 | RoundTime=25.89s | TotalTime=711.33s | Method=fedcda
[Round 027/100] Acc=85.290 | RoundTime=26.57s | TotalTime=737.90s | Method=fedcda
[Round 028/100] Acc=81.260 | RoundTime=26.08s | TotalTime=763.98s | Method=fedcda
[Round 029/100] Acc=86.470 | RoundTime=25.46s | TotalTime=789.44s | Method=fedcda
[Round 030/100] Acc=83.910 | RoundTime=26.47s | TotalTime=815.91s | Method=fedcda
[Round 031/100] Acc=86.550 | RoundTime=24.73s | TotalTime=840.64s | Method=fedcda
[Round 032/100] Acc=94.040 | RoundTime=26.43s | TotalTime=867.07s | Method=fedcda
[Round 033/100] Acc=89.580 | RoundTime=26.94s | TotalTime=894.01s | Method=fedcda
[Round 034/100] Acc=84.690 | RoundTime=26.40s | TotalTime=920.41s | Method=fedcda
[Round 035/100] Acc=91.000 | RoundTime=25.50s | TotalTime=945.90s | Method=fedcda
[Round 036/100] Acc=90.400 | RoundTime=26.06s | TotalTime=971.96s | Method=fedcda
[Round 037/100] Acc=87.190 | RoundTime=26.39s | TotalTime=998.36s | Method=fedcda
[Round 038/100] Acc=86.810 | RoundTime=28.69s | TotalTime=1027.05s | Method=fedcda
[Round 039/100] Acc=87.060 | RoundTime=25.18s | TotalTime=1052.24s | Method=fedcda
[Round 040/100] Acc=88.000 | RoundTime=26.25s | TotalTime=1078.48s | Method=fedcda
[Round 041/100] Acc=87.010 | RoundTime=26.35s | TotalTime=1104.84s | Method=fedcda
[Round 042/100] Acc=84.960 | RoundTime=26.30s | TotalTime=1131.13s | Method=fedcda
[Round 043/100] Acc=85.310 | RoundTime=25.73s | TotalTime=1156.86s | Method=fedcda
[Round 044/100] Acc=91.930 | RoundTime=25.43s | TotalTime=1182.29s | Method=fedcda
[Round 045/100] Acc=87.740 | RoundTime=28.04s | TotalTime=1210.34s | Method=fedcda
[Round 046/100] Acc=92.760 | RoundTime=26.81s | TotalTime=1237.14s | Method=fedcda
[Round 047/100] Acc=89.330 | RoundTime=26.90s | TotalTime=1264.04s | Method=fedcda
[Round 048/100] Acc=88.970 | RoundTime=27.22s | TotalTime=1291.27s | Method=fedcda
[Round 049/100] Acc=90.500 | RoundTime=28.18s | TotalTime=1319.45s | Method=fedcda
[Round 050/100] Acc=91.700 | RoundTime=27.26s | TotalTime=1346.71s | Method=fedcda
