====================================================================================================
Training started at: 2026-03-30 19:43:23
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.3_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.55
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.3_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.55/fedcda_fl_cifar10_20260330-194323-388954_pid2212145.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.3_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.55/fedcda_fl_cifar10_20260330-194323-388954_pid2212145.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 40
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.2
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.55
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.010 | RoundTime=25.57s | TotalTime=25.57s | Method=fedcda
[Round 002/100] Acc=10.000 | RoundTime=25.90s | TotalTime=51.47s | Method=fedcda
[Round 003/100] Acc=16.730 | RoundTime=25.33s | TotalTime=76.79s | Method=fedcda
[Round 004/100] Acc=17.270 | RoundTime=25.55s | TotalTime=102.34s | Method=fedcda
[Round 005/100] Acc=29.110 | RoundTime=25.99s | TotalTime=128.33s | Method=fedcda
[Round 006/100] Acc=25.570 | RoundTime=25.64s | TotalTime=153.97s | Method=fedcda
[Round 007/100] Acc=28.920 | RoundTime=25.40s | TotalTime=179.37s | Method=fedcda
[Round 008/100] Acc=39.680 | RoundTime=25.68s | TotalTime=205.04s | Method=fedcda
[Round 009/100] Acc=26.480 | RoundTime=25.49s | TotalTime=230.53s | Method=fedcda
[Round 010/100] Acc=31.180 | RoundTime=25.92s | TotalTime=256.45s | Method=fedcda
[Round 011/100] Acc=44.200 | RoundTime=27.75s | TotalTime=284.21s | Method=fedcda
[Round 012/100] Acc=33.080 | RoundTime=27.22s | TotalTime=311.42s | Method=fedcda
[Round 013/100] Acc=34.040 | RoundTime=21.55s | TotalTime=332.97s | Method=fedcda
[Round 014/100] Acc=31.030 | RoundTime=21.17s | TotalTime=354.14s | Method=fedcda
[Round 015/100] Acc=31.920 | RoundTime=20.28s | TotalTime=374.43s | Method=fedcda
[Round 016/100] Acc=28.560 | RoundTime=20.36s | TotalTime=394.79s | Method=fedcda
[Round 017/100] Acc=15.760 | RoundTime=20.76s | TotalTime=415.55s | Method=fedcda
[Round 018/100] Acc=29.010 | RoundTime=20.88s | TotalTime=436.43s | Method=fedcda
[Round 019/100] Acc=30.240 | RoundTime=20.78s | TotalTime=457.21s | Method=fedcda
[Round 020/100] Acc=34.550 | RoundTime=20.70s | TotalTime=477.91s | Method=fedcda
[Round 021/100] Acc=42.250 | RoundTime=20.64s | TotalTime=498.56s | Method=fedcda
[Round 022/100] Acc=37.960 | RoundTime=20.86s | TotalTime=519.41s | Method=fedcda
[Round 023/100] Acc=34.330 | RoundTime=20.29s | TotalTime=539.71s | Method=fedcda
[Round 024/100] Acc=28.740 | RoundTime=22.91s | TotalTime=562.62s | Method=fedcda
[Round 025/100] Acc=31.150 | RoundTime=20.46s | TotalTime=583.08s | Method=fedcda
[Round 026/100] Acc=39.790 | RoundTime=20.75s | TotalTime=603.83s | Method=fedcda
[Round 027/100] Acc=30.410 | RoundTime=20.00s | TotalTime=623.83s | Method=fedcda
[Round 028/100] Acc=36.910 | RoundTime=20.48s | TotalTime=644.30s | Method=fedcda
[Round 029/100] Acc=27.340 | RoundTime=20.28s | TotalTime=664.58s | Method=fedcda
[Round 030/100] Acc=33.940 | RoundTime=20.07s | TotalTime=684.65s | Method=fedcda
