====================================================================================================
Training started at: 2026-03-30 01:32:07
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.1_nt-symmetric_st-least_sim_dr-0.2
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.1_nt-symmetric_st-least_sim_dr-0.2/fedcda_fl_cifar10_20260330-013207-097516_pid1446709.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.1_nt-symmetric_st-least_sim_dr-0.2/fedcda_fl_cifar10_20260330-013207-097516_pid1446709.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 32
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.1
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.2
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=26.67s | TotalTime=26.67s | Method=fedcda
[Round 002/100] Acc=10.090 | RoundTime=26.52s | TotalTime=53.19s | Method=fedcda
[Round 003/100] Acc=18.230 | RoundTime=26.42s | TotalTime=79.61s | Method=fedcda
[Round 004/100] Acc=20.860 | RoundTime=27.78s | TotalTime=107.40s | Method=fedcda
[Round 005/100] Acc=16.240 | RoundTime=28.11s | TotalTime=135.50s | Method=fedcda
[Round 006/100] Acc=24.860 | RoundTime=26.35s | TotalTime=161.86s | Method=fedcda
[Round 007/100] Acc=22.690 | RoundTime=27.32s | TotalTime=189.18s | Method=fedcda
[Round 008/100] Acc=35.240 | RoundTime=26.90s | TotalTime=216.08s | Method=fedcda
[Round 009/100] Acc=28.400 | RoundTime=27.09s | TotalTime=243.16s | Method=fedcda
[Round 010/100] Acc=32.500 | RoundTime=29.08s | TotalTime=272.24s | Method=fedcda
[Round 011/100] Acc=29.300 | RoundTime=27.93s | TotalTime=300.17s | Method=fedcda
[Round 012/100] Acc=23.460 | RoundTime=28.35s | TotalTime=328.52s | Method=fedcda
[Round 013/100] Acc=32.820 | RoundTime=23.91s | TotalTime=352.43s | Method=fedcda
[Round 014/100] Acc=27.640 | RoundTime=23.74s | TotalTime=376.17s | Method=fedcda
[Round 015/100] Acc=20.090 | RoundTime=23.08s | TotalTime=399.25s | Method=fedcda
[Round 016/100] Acc=21.810 | RoundTime=22.41s | TotalTime=421.66s | Method=fedcda
[Round 017/100] Acc=21.150 | RoundTime=24.40s | TotalTime=446.07s | Method=fedcda
[Round 018/100] Acc=20.050 | RoundTime=23.38s | TotalTime=469.45s | Method=fedcda
[Round 019/100] Acc=31.440 | RoundTime=23.91s | TotalTime=493.36s | Method=fedcda
[Round 020/100] Acc=26.720 | RoundTime=24.23s | TotalTime=517.59s | Method=fedcda
[Round 021/100] Acc=25.040 | RoundTime=24.39s | TotalTime=541.98s | Method=fedcda
[Round 022/100] Acc=36.830 | RoundTime=24.47s | TotalTime=566.46s | Method=fedcda
[Round 023/100] Acc=33.990 | RoundTime=24.39s | TotalTime=590.84s | Method=fedcda
[Round 024/100] Acc=40.930 | RoundTime=22.93s | TotalTime=613.78s | Method=fedcda
[Round 025/100] Acc=39.240 | RoundTime=25.02s | TotalTime=638.79s | Method=fedcda
[Round 026/100] Acc=22.280 | RoundTime=24.93s | TotalTime=663.73s | Method=fedcda
[Round 027/100] Acc=31.660 | RoundTime=24.37s | TotalTime=688.10s | Method=fedcda
[Round 028/100] Acc=36.860 | RoundTime=24.69s | TotalTime=712.79s | Method=fedcda
[Round 029/100] Acc=29.850 | RoundTime=24.22s | TotalTime=737.00s | Method=fedcda
[Round 030/100] Acc=26.720 | RoundTime=23.94s | TotalTime=760.94s | Method=fedcda
[Round 031/100] Acc=35.090 | RoundTime=23.96s | TotalTime=784.90s | Method=fedcda
[Round 032/100] Acc=16.620 | RoundTime=24.23s | TotalTime=809.14s | Method=fedcda
[Round 033/100] Acc=40.870 | RoundTime=24.43s | TotalTime=833.56s | Method=fedcda
[Round 034/100] Acc=30.410 | RoundTime=24.47s | TotalTime=858.04s | Method=fedcda
[Round 035/100] Acc=31.330 | RoundTime=24.89s | TotalTime=882.92s | Method=fedcda
[Round 036/100] Acc=34.590 | RoundTime=26.91s | TotalTime=909.84s | Method=fedcda
[Round 037/100] Acc=18.540 | RoundTime=24.54s | TotalTime=934.37s | Method=fedcda
[Round 038/100] Acc=40.750 | RoundTime=25.29s | TotalTime=959.66s | Method=fedcda
[Round 039/100] Acc=31.710 | RoundTime=25.05s | TotalTime=984.72s | Method=fedcda
[Round 040/100] Acc=41.230 | RoundTime=24.35s | TotalTime=1009.06s | Method=fedcda
[Round 041/100] Acc=34.280 | RoundTime=25.00s | TotalTime=1034.06s | Method=fedcda
[Round 042/100] Acc=35.660 | RoundTime=25.02s | TotalTime=1059.08s | Method=fedcda
[Round 043/100] Acc=34.150 | RoundTime=24.53s | TotalTime=1083.61s | Method=fedcda
[Round 044/100] Acc=30.620 | RoundTime=24.25s | TotalTime=1107.86s | Method=fedcda
[Round 045/100] Acc=34.810 | RoundTime=24.68s | TotalTime=1132.54s | Method=fedcda
[Round 046/100] Acc=31.530 | RoundTime=25.42s | TotalTime=1157.96s | Method=fedcda
[Round 047/100] Acc=41.380 | RoundTime=24.78s | TotalTime=1182.74s | Method=fedcda
[Round 048/100] Acc=29.710 | RoundTime=24.78s | TotalTime=1207.52s | Method=fedcda
[Round 049/100] Acc=39.470 | RoundTime=24.55s | TotalTime=1232.07s | Method=fedcda
[Round 050/100] Acc=45.090 | RoundTime=25.99s | TotalTime=1258.06s | Method=fedcda
[Round 051/100] Acc=44.200 | RoundTime=32.64s | TotalTime=1290.71s | Method=fedcda
