====================================================================================================
Training started at: 2026-03-09 03:15:07
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.3_denoise=mix_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260309-031507.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.3_denoise=mix_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260309-031507.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.3
Denoise strategy: mix
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.530 | Pure=86.157 | RoundTime=77.25s | TotalTime=77.25s | Method=feddenoise
[Round 002/100] Acc=1.650 | Pure=80.883 | RoundTime=76.77s | TotalTime=154.01s | Method=feddenoise
[Round 003/100] Acc=5.910 | Pure=84.485 | RoundTime=77.03s | TotalTime=231.04s | Method=feddenoise
[Round 004/100] Acc=8.370 | Pure=80.083 | RoundTime=76.96s | TotalTime=308.00s | Method=feddenoise
[Round 005/100] Acc=9.840 | Pure=80.902 | RoundTime=76.89s | TotalTime=384.89s | Method=feddenoise
[Round 006/100] Acc=10.240 | Pure=83.161 | RoundTime=76.54s | TotalTime=461.43s | Method=feddenoise
[Round 007/100] Acc=11.400 | Pure=84.305 | RoundTime=76.60s | TotalTime=538.03s | Method=feddenoise
[Round 008/100] Acc=11.750 | Pure=83.674 | RoundTime=76.41s | TotalTime=614.43s | Method=feddenoise
[Round 009/100] Acc=12.270 | Pure=82.996 | RoundTime=76.79s | TotalTime=691.23s | Method=feddenoise
[Round 010/100] Acc=12.830 | Pure=88.169 | RoundTime=74.84s | TotalTime=766.07s | Method=feddenoise
[Round 011/100] Acc=13.240 | Pure=91.469 | RoundTime=101.48s | TotalTime=867.55s | Method=feddenoise
[Round 012/100] Acc=13.920 | Pure=91.885 | RoundTime=102.40s | TotalTime=969.95s | Method=feddenoise
[Round 013/100] Acc=14.550 | Pure=89.090 | RoundTime=101.27s | TotalTime=1071.22s | Method=feddenoise
[Round 014/100] Acc=14.920 | Pure=92.668 | RoundTime=100.46s | TotalTime=1171.68s | Method=feddenoise
[Round 015/100] Acc=15.390 | Pure=92.086 | RoundTime=101.69s | TotalTime=1273.37s | Method=feddenoise
[Round 016/100] Acc=16.060 | Pure=90.832 | RoundTime=99.87s | TotalTime=1373.24s | Method=feddenoise
[Round 017/100] Acc=16.210 | Pure=93.256 | RoundTime=101.08s | TotalTime=1474.32s | Method=feddenoise
[Round 018/100] Acc=16.170 | Pure=93.172 | RoundTime=99.24s | TotalTime=1573.56s | Method=feddenoise
[Round 019/100] Acc=16.420 | Pure=92.450 | RoundTime=102.51s | TotalTime=1676.07s | Method=feddenoise
[Round 020/100] Acc=17.370 | Pure=94.005 | RoundTime=100.50s | TotalTime=1776.56s | Method=feddenoise
[Round 021/100] Acc=17.300 | Pure=91.695 | RoundTime=103.22s | TotalTime=1879.78s | Method=feddenoise
[Round 022/100] Acc=17.890 | Pure=91.428 | RoundTime=100.54s | TotalTime=1980.32s | Method=feddenoise
[Round 023/100] Acc=17.930 | Pure=94.896 | RoundTime=100.27s | TotalTime=2080.59s | Method=feddenoise
[Round 024/100] Acc=18.330 | Pure=92.108 | RoundTime=100.13s | TotalTime=2180.72s | Method=feddenoise
[Round 025/100] Acc=18.560 | Pure=92.603 | RoundTime=99.25s | TotalTime=2279.97s | Method=feddenoise
[Round 026/100] Acc=18.700 | Pure=91.593 | RoundTime=100.62s | TotalTime=2380.59s | Method=feddenoise
[Round 027/100] Acc=18.850 | Pure=94.105 | RoundTime=101.92s | TotalTime=2482.51s | Method=feddenoise
[Round 028/100] Acc=19.220 | Pure=91.287 | RoundTime=101.47s | TotalTime=2583.98s | Method=feddenoise
[Round 029/100] Acc=18.910 | Pure=94.511 | RoundTime=102.85s | TotalTime=2686.83s | Method=feddenoise
[Round 030/100] Acc=19.520 | Pure=92.648 | RoundTime=100.28s | TotalTime=2787.11s | Method=feddenoise
[Round 031/100] Acc=19.490 | Pure=95.301 | RoundTime=101.48s | TotalTime=2888.58s | Method=feddenoise
[Round 032/100] Acc=19.690 | Pure=92.710 | RoundTime=101.20s | TotalTime=2989.78s | Method=feddenoise
[Round 033/100] Acc=19.850 | Pure=93.763 | RoundTime=99.69s | TotalTime=3089.47s | Method=feddenoise
[Round 034/100] Acc=19.730 | Pure=93.561 | RoundTime=102.41s | TotalTime=3191.88s | Method=feddenoise
[Round 035/100] Acc=20.340 | Pure=95.622 | RoundTime=102.02s | TotalTime=3293.90s | Method=feddenoise
[Round 036/100] Acc=20.370 | Pure=93.965 | RoundTime=103.77s | TotalTime=3397.67s | Method=feddenoise
[Round 037/100] Acc=20.290 | Pure=93.387 | RoundTime=101.53s | TotalTime=3499.20s | Method=feddenoise
[Round 038/100] Acc=20.300 | Pure=93.711 | RoundTime=101.15s | TotalTime=3600.35s | Method=feddenoise
[Round 039/100] Acc=20.500 | Pure=92.871 | RoundTime=101.06s | TotalTime=3701.41s | Method=feddenoise
[Round 040/100] Acc=20.640 | Pure=94.617 | RoundTime=100.21s | TotalTime=3801.62s | Method=feddenoise
[Round 041/100] Acc=20.760 | Pure=96.161 | RoundTime=98.45s | TotalTime=3900.07s | Method=feddenoise
[Round 042/100] Acc=21.030 | Pure=94.618 | RoundTime=100.87s | TotalTime=4000.94s | Method=feddenoise
[Round 043/100] Acc=21.300 | Pure=93.832 | RoundTime=99.56s | TotalTime=4100.51s | Method=feddenoise
[Round 044/100] Acc=21.150 | Pure=92.832 | RoundTime=103.24s | TotalTime=4203.75s | Method=feddenoise
[Round 045/100] Acc=21.200 | Pure=93.751 | RoundTime=99.66s | TotalTime=4303.41s | Method=feddenoise
[Round 046/100] Acc=21.460 | Pure=94.522 | RoundTime=101.26s | TotalTime=4404.67s | Method=feddenoise
[Round 047/100] Acc=21.890 | Pure=93.872 | RoundTime=102.31s | TotalTime=4506.98s | Method=feddenoise
[Round 048/100] Acc=21.730 | Pure=92.713 | RoundTime=104.82s | TotalTime=4611.80s | Method=feddenoise
[Round 049/100] Acc=21.540 | Pure=94.074 | RoundTime=99.18s | TotalTime=4710.98s | Method=feddenoise
[Round 050/100] Acc=21.360 | Pure=95.197 | RoundTime=99.45s | TotalTime=4810.42s | Method=feddenoise
[Round 051/100] Acc=21.670 | Pure=92.610 | RoundTime=100.47s | TotalTime=4910.90s | Method=feddenoise
[Round 052/100] Acc=21.970 | Pure=92.810 | RoundTime=103.75s | TotalTime=5014.64s | Method=feddenoise
[Round 053/100] Acc=22.740 | Pure=94.567 | RoundTime=100.87s | TotalTime=5115.52s | Method=feddenoise
[Round 054/100] Acc=22.560 | Pure=93.030 | RoundTime=100.61s | TotalTime=5216.12s | Method=feddenoise
[Round 055/100] Acc=21.940 | Pure=91.719 | RoundTime=101.39s | TotalTime=5317.51s | Method=feddenoise
[Round 056/100] Acc=21.910 | Pure=93.995 | RoundTime=98.70s | TotalTime=5416.22s | Method=feddenoise
[Round 057/100] Acc=22.060 | Pure=94.154 | RoundTime=102.64s | TotalTime=5518.86s | Method=feddenoise
[Round 058/100] Acc=22.830 | Pure=95.359 | RoundTime=99.11s | TotalTime=5617.97s | Method=feddenoise
[Round 059/100] Acc=22.630 | Pure=95.847 | RoundTime=101.40s | TotalTime=5719.37s | Method=feddenoise
[Round 060/100] Acc=23.000 | Pure=95.445 | RoundTime=100.10s | TotalTime=5819.47s | Method=feddenoise
[Round 061/100] Acc=22.570 | Pure=93.044 | RoundTime=100.31s | TotalTime=5919.78s | Method=feddenoise
[Round 062/100] Acc=22.990 | Pure=95.413 | RoundTime=101.05s | TotalTime=6020.83s | Method=feddenoise
[Round 063/100] Acc=23.980 | Pure=95.354 | RoundTime=100.99s | TotalTime=6121.82s | Method=feddenoise
[Round 064/100] Acc=23.220 | Pure=94.646 | RoundTime=103.02s | TotalTime=6224.84s | Method=feddenoise
[Round 065/100] Acc=23.450 | Pure=94.352 | RoundTime=98.82s | TotalTime=6323.66s | Method=feddenoise
[Round 066/100] Acc=22.530 | Pure=94.564 | RoundTime=100.23s | TotalTime=6423.89s | Method=feddenoise
[Round 067/100] Acc=23.000 | Pure=93.402 | RoundTime=100.94s | TotalTime=6524.83s | Method=feddenoise
[Round 068/100] Acc=23.350 | Pure=95.238 | RoundTime=100.25s | TotalTime=6625.08s | Method=feddenoise
[Round 069/100] Acc=22.880 | Pure=91.641 | RoundTime=100.39s | TotalTime=6725.47s | Method=feddenoise
[Round 070/100] Acc=23.340 | Pure=95.108 | RoundTime=100.54s | TotalTime=6826.00s | Method=feddenoise
[Round 071/100] Acc=23.840 | Pure=94.555 | RoundTime=100.63s | TotalTime=6926.63s | Method=feddenoise
[Round 072/100] Acc=23.270 | Pure=93.916 | RoundTime=99.86s | TotalTime=7026.50s | Method=feddenoise
[Round 073/100] Acc=23.270 | Pure=92.808 | RoundTime=100.53s | TotalTime=7127.03s | Method=feddenoise
[Round 074/100] Acc=23.520 | Pure=93.451 | RoundTime=99.43s | TotalTime=7226.46s | Method=feddenoise
[Round 075/100] Acc=23.610 | Pure=95.069 | RoundTime=102.83s | TotalTime=7329.29s | Method=feddenoise
[Round 076/100] Acc=23.310 | Pure=93.318 | RoundTime=104.80s | TotalTime=7434.09s | Method=feddenoise
[Round 077/100] Acc=23.160 | Pure=94.050 | RoundTime=101.99s | TotalTime=7536.08s | Method=feddenoise
[Round 078/100] Acc=23.140 | Pure=93.869 | RoundTime=102.90s | TotalTime=7638.98s | Method=feddenoise
[Round 079/100] Acc=23.530 | Pure=95.609 | RoundTime=102.09s | TotalTime=7741.07s | Method=feddenoise
[Round 080/100] Acc=23.500 | Pure=95.930 | RoundTime=102.51s | TotalTime=7843.58s | Method=feddenoise
[Round 081/100] Acc=23.670 | Pure=92.102 | RoundTime=104.50s | TotalTime=7948.08s | Method=feddenoise
[Round 082/100] Acc=23.600 | Pure=94.775 | RoundTime=104.33s | TotalTime=8052.41s | Method=feddenoise
[Round 083/100] Acc=23.710 | Pure=94.350 | RoundTime=108.15s | TotalTime=8160.57s | Method=feddenoise
[Round 084/100] Acc=24.180 | Pure=94.920 | RoundTime=103.54s | TotalTime=8264.11s | Method=feddenoise
[Round 085/100] Acc=23.850 | Pure=92.863 | RoundTime=104.70s | TotalTime=8368.81s | Method=feddenoise
[Round 086/100] Acc=23.930 | Pure=95.175 | RoundTime=102.67s | TotalTime=8471.47s | Method=feddenoise
[Round 087/100] Acc=24.410 | Pure=95.188 | RoundTime=99.52s | TotalTime=8570.99s | Method=feddenoise
[Round 088/100] Acc=24.110 | Pure=93.860 | RoundTime=101.57s | TotalTime=8672.56s | Method=feddenoise
[Round 089/100] Acc=24.240 | Pure=94.811 | RoundTime=102.43s | TotalTime=8774.99s | Method=feddenoise
[Round 090/100] Acc=24.320 | Pure=95.548 | RoundTime=104.58s | TotalTime=8879.57s | Method=feddenoise
[Round 091/100] Acc=24.150 | Pure=94.302 | RoundTime=104.12s | TotalTime=8983.69s | Method=feddenoise
[Round 092/100] Acc=23.990 | Pure=95.398 | RoundTime=103.66s | TotalTime=9087.35s | Method=feddenoise
[Round 093/100] Acc=24.630 | Pure=96.610 | RoundTime=103.07s | TotalTime=9190.42s | Method=feddenoise
[Round 094/100] Acc=24.530 | Pure=95.895 | RoundTime=107.51s | TotalTime=9297.93s | Method=feddenoise
[Round 095/100] Acc=24.530 | Pure=93.217 | RoundTime=101.59s | TotalTime=9399.52s | Method=feddenoise
[Round 096/100] Acc=24.590 | Pure=94.256 | RoundTime=103.39s | TotalTime=9502.91s | Method=feddenoise
[Round 097/100] Acc=24.580 | Pure=96.307 | RoundTime=104.31s | TotalTime=9607.22s | Method=feddenoise
[Round 098/100] Acc=24.330 | Pure=95.377 | RoundTime=101.19s | TotalTime=9708.41s | Method=feddenoise
[Round 099/100] Acc=24.490 | Pure=94.471 | RoundTime=88.42s | TotalTime=9796.84s | Method=feddenoise
[Round 100/100] Acc=24.710 | Pure=93.768 | RoundTime=71.53s | TotalTime=9868.37s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-09 05:59:36
Total elapsed time: 9868.37s
Final Acc: 24.710
Best Acc : 24.710
Final Pure: 93.768
Best Pure : 96.610
====================================================================================================
