====================================================================================================
Training started at: 2026-03-10 03:57:26
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=random_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260310-035726.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=random_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260310-035726.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.810 | Pure=78.511 | RoundTime=87.15s | TotalTime=87.15s | Method=feddenoise
[Round 002/100] Acc=2.070 | Pure=84.039 | RoundTime=85.77s | TotalTime=172.92s | Method=feddenoise
[Round 003/100] Acc=4.000 | Pure=84.498 | RoundTime=85.14s | TotalTime=258.06s | Method=feddenoise
[Round 004/100] Acc=3.880 | Pure=81.013 | RoundTime=86.23s | TotalTime=344.30s | Method=feddenoise
[Round 005/100] Acc=4.810 | Pure=84.865 | RoundTime=84.64s | TotalTime=428.94s | Method=feddenoise
[Round 006/100] Acc=5.110 | Pure=82.650 | RoundTime=86.46s | TotalTime=515.39s | Method=feddenoise
[Round 007/100] Acc=5.780 | Pure=81.846 | RoundTime=85.12s | TotalTime=600.51s | Method=feddenoise
[Round 008/100] Acc=6.130 | Pure=83.856 | RoundTime=85.01s | TotalTime=685.52s | Method=feddenoise
[Round 009/100] Acc=6.450 | Pure=86.284 | RoundTime=85.43s | TotalTime=770.96s | Method=feddenoise
[Round 010/100] Acc=6.480 | Pure=82.182 | RoundTime=84.90s | TotalTime=855.86s | Method=feddenoise
[Round 011/100] Acc=6.990 | Pure=89.328 | RoundTime=115.41s | TotalTime=971.27s | Method=feddenoise
[Round 012/100] Acc=7.170 | Pure=87.030 | RoundTime=114.99s | TotalTime=1086.26s | Method=feddenoise
[Round 013/100] Acc=7.900 | Pure=89.963 | RoundTime=113.72s | TotalTime=1199.98s | Method=feddenoise
[Round 014/100] Acc=8.130 | Pure=86.470 | RoundTime=118.02s | TotalTime=1318.00s | Method=feddenoise
[Round 015/100] Acc=7.640 | Pure=82.989 | RoundTime=114.65s | TotalTime=1432.65s | Method=feddenoise
[Round 016/100] Acc=8.180 | Pure=87.480 | RoundTime=116.44s | TotalTime=1549.09s | Method=feddenoise
[Round 017/100] Acc=8.500 | Pure=86.254 | RoundTime=114.10s | TotalTime=1663.19s | Method=feddenoise
[Round 018/100] Acc=8.470 | Pure=84.661 | RoundTime=112.90s | TotalTime=1776.09s | Method=feddenoise
[Round 019/100] Acc=8.880 | Pure=90.182 | RoundTime=115.49s | TotalTime=1891.58s | Method=feddenoise
[Round 020/100] Acc=9.200 | Pure=91.903 | RoundTime=114.87s | TotalTime=2006.45s | Method=feddenoise
[Round 021/100] Acc=8.780 | Pure=88.577 | RoundTime=117.67s | TotalTime=2124.12s | Method=feddenoise
[Round 022/100] Acc=9.180 | Pure=89.733 | RoundTime=114.91s | TotalTime=2239.03s | Method=feddenoise
[Round 023/100] Acc=9.100 | Pure=89.232 | RoundTime=116.71s | TotalTime=2355.74s | Method=feddenoise
[Round 024/100] Acc=9.160 | Pure=85.524 | RoundTime=116.93s | TotalTime=2472.67s | Method=feddenoise
[Round 025/100] Acc=9.750 | Pure=89.394 | RoundTime=118.25s | TotalTime=2590.92s | Method=feddenoise
[Round 026/100] Acc=9.860 | Pure=87.104 | RoundTime=114.78s | TotalTime=2705.70s | Method=feddenoise
[Round 027/100] Acc=9.360 | Pure=89.189 | RoundTime=115.92s | TotalTime=2821.63s | Method=feddenoise
[Round 028/100] Acc=10.150 | Pure=89.506 | RoundTime=116.25s | TotalTime=2937.87s | Method=feddenoise
[Round 029/100] Acc=9.830 | Pure=87.737 | RoundTime=115.76s | TotalTime=3053.64s | Method=feddenoise
[Round 030/100] Acc=9.880 | Pure=89.640 | RoundTime=115.62s | TotalTime=3169.26s | Method=feddenoise
[Round 031/100] Acc=9.410 | Pure=89.951 | RoundTime=116.45s | TotalTime=3285.71s | Method=feddenoise
[Round 032/100] Acc=9.680 | Pure=88.148 | RoundTime=115.89s | TotalTime=3401.60s | Method=feddenoise
[Round 033/100] Acc=9.690 | Pure=87.539 | RoundTime=116.59s | TotalTime=3518.20s | Method=feddenoise
[Round 034/100] Acc=10.090 | Pure=88.283 | RoundTime=117.30s | TotalTime=3635.49s | Method=feddenoise
[Round 035/100] Acc=10.060 | Pure=86.584 | RoundTime=118.49s | TotalTime=3753.98s | Method=feddenoise
[Round 036/100] Acc=9.900 | Pure=88.123 | RoundTime=117.24s | TotalTime=3871.22s | Method=feddenoise
[Round 037/100] Acc=10.040 | Pure=90.281 | RoundTime=115.19s | TotalTime=3986.40s | Method=feddenoise
[Round 038/100] Acc=9.760 | Pure=87.855 | RoundTime=115.59s | TotalTime=4101.99s | Method=feddenoise
[Round 039/100] Acc=9.930 | Pure=92.104 | RoundTime=112.89s | TotalTime=4214.88s | Method=feddenoise
[Round 040/100] Acc=10.160 | Pure=90.703 | RoundTime=114.62s | TotalTime=4329.50s | Method=feddenoise
[Round 041/100] Acc=9.830 | Pure=87.435 | RoundTime=114.69s | TotalTime=4444.19s | Method=feddenoise
[Round 042/100] Acc=9.490 | Pure=87.015 | RoundTime=118.28s | TotalTime=4562.47s | Method=feddenoise
[Round 043/100] Acc=10.040 | Pure=87.694 | RoundTime=115.40s | TotalTime=4677.88s | Method=feddenoise
[Round 044/100] Acc=9.770 | Pure=86.875 | RoundTime=119.51s | TotalTime=4797.39s | Method=feddenoise
[Round 045/100] Acc=10.410 | Pure=89.528 | RoundTime=116.05s | TotalTime=4913.44s | Method=feddenoise
[Round 046/100] Acc=10.270 | Pure=88.355 | RoundTime=117.49s | TotalTime=5030.93s | Method=feddenoise
