====================================================================================================
Training started at: 2026-03-08 10:15:31
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-101531.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-101531.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.550 | Pure=87.383 | RoundTime=80.45s | TotalTime=80.45s | Method=feddenoise
[Round 002/100] Acc=2.000 | Pure=86.272 | RoundTime=86.13s | TotalTime=166.57s | Method=feddenoise
[Round 003/100] Acc=6.160 | Pure=82.726 | RoundTime=87.99s | TotalTime=254.56s | Method=feddenoise
[Round 004/100] Acc=8.600 | Pure=81.535 | RoundTime=88.50s | TotalTime=343.06s | Method=feddenoise
[Round 005/100] Acc=9.400 | Pure=82.348 | RoundTime=89.26s | TotalTime=432.32s | Method=feddenoise
[Round 006/100] Acc=10.610 | Pure=83.181 | RoundTime=86.35s | TotalTime=518.68s | Method=feddenoise
[Round 007/100] Acc=10.900 | Pure=83.592 | RoundTime=89.55s | TotalTime=608.23s | Method=feddenoise
[Round 008/100] Acc=11.720 | Pure=85.743 | RoundTime=88.62s | TotalTime=696.85s | Method=feddenoise
[Round 009/100] Acc=11.840 | Pure=80.734 | RoundTime=86.82s | TotalTime=783.67s | Method=feddenoise
[Round 010/100] Acc=12.730 | Pure=81.424 | RoundTime=87.60s | TotalTime=871.27s | Method=feddenoise
[Round 011/100] Acc=13.600 | Pure=86.017 | RoundTime=115.45s | TotalTime=986.72s | Method=feddenoise
[Round 012/100] Acc=13.930 | Pure=88.537 | RoundTime=116.53s | TotalTime=1103.25s | Method=feddenoise
[Round 013/100] Acc=13.930 | Pure=85.532 | RoundTime=117.84s | TotalTime=1221.09s | Method=feddenoise
[Round 014/100] Acc=14.180 | Pure=87.099 | RoundTime=117.09s | TotalTime=1338.18s | Method=feddenoise
[Round 015/100] Acc=15.370 | Pure=89.978 | RoundTime=119.18s | TotalTime=1457.36s | Method=feddenoise
[Round 016/100] Acc=15.400 | Pure=88.139 | RoundTime=118.21s | TotalTime=1575.57s | Method=feddenoise
[Round 017/100] Acc=15.770 | Pure=89.374 | RoundTime=117.33s | TotalTime=1692.90s | Method=feddenoise
[Round 018/100] Acc=15.610 | Pure=85.763 | RoundTime=118.80s | TotalTime=1811.70s | Method=feddenoise
[Round 019/100] Acc=16.360 | Pure=88.613 | RoundTime=117.92s | TotalTime=1929.63s | Method=feddenoise
[Round 020/100] Acc=16.320 | Pure=91.128 | RoundTime=117.71s | TotalTime=2047.34s | Method=feddenoise
[Round 021/100] Acc=16.120 | Pure=87.504 | RoundTime=118.45s | TotalTime=2165.79s | Method=feddenoise
