====================================================================================================
Training started at: 2026-03-08 13:28:16
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=median_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132816.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=median_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132816.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: median
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.500 | Pure=87.883 | RoundTime=86.24s | TotalTime=86.24s | Method=feddenoise
[Round 002/100] Acc=2.100 | Pure=91.710 | RoundTime=82.98s | TotalTime=169.22s | Method=feddenoise
[Round 003/100] Acc=6.480 | Pure=86.934 | RoundTime=77.71s | TotalTime=246.93s | Method=feddenoise
[Round 004/100] Acc=9.220 | Pure=87.077 | RoundTime=77.53s | TotalTime=324.45s | Method=feddenoise
[Round 005/100] Acc=10.410 | Pure=88.159 | RoundTime=79.09s | TotalTime=403.54s | Method=feddenoise
[Round 006/100] Acc=11.040 | Pure=82.080 | RoundTime=79.02s | TotalTime=482.56s | Method=feddenoise
[Round 007/100] Acc=11.780 | Pure=81.691 | RoundTime=78.65s | TotalTime=561.22s | Method=feddenoise
[Round 008/100] Acc=12.540 | Pure=83.519 | RoundTime=78.16s | TotalTime=639.37s | Method=feddenoise
[Round 009/100] Acc=13.110 | Pure=83.867 | RoundTime=77.34s | TotalTime=716.71s | Method=feddenoise
[Round 010/100] Acc=12.950 | Pure=81.902 | RoundTime=79.56s | TotalTime=796.28s | Method=feddenoise
[Round 011/100] Acc=14.170 | Pure=92.441 | RoundTime=99.73s | TotalTime=896.00s | Method=feddenoise
[Round 012/100] Acc=14.570 | Pure=88.756 | RoundTime=101.88s | TotalTime=997.88s | Method=feddenoise
[Round 013/100] Acc=15.260 | Pure=89.030 | RoundTime=98.61s | TotalTime=1096.49s | Method=feddenoise
[Round 014/100] Acc=15.640 | Pure=89.823 | RoundTime=99.73s | TotalTime=1196.22s | Method=feddenoise
[Round 015/100] Acc=16.020 | Pure=93.874 | RoundTime=100.12s | TotalTime=1296.34s | Method=feddenoise
[Round 016/100] Acc=16.110 | Pure=87.568 | RoundTime=100.56s | TotalTime=1396.90s | Method=feddenoise
[Round 017/100] Acc=16.310 | Pure=86.759 | RoundTime=99.02s | TotalTime=1495.91s | Method=feddenoise
[Round 018/100] Acc=16.290 | Pure=89.271 | RoundTime=99.21s | TotalTime=1595.12s | Method=feddenoise
[Round 019/100] Acc=16.550 | Pure=91.267 | RoundTime=99.40s | TotalTime=1694.52s | Method=feddenoise
[Round 020/100] Acc=17.100 | Pure=89.045 | RoundTime=100.50s | TotalTime=1795.02s | Method=feddenoise
[Round 021/100] Acc=17.170 | Pure=87.442 | RoundTime=100.17s | TotalTime=1895.18s | Method=feddenoise
[Round 022/100] Acc=17.380 | Pure=90.925 | RoundTime=98.54s | TotalTime=1993.72s | Method=feddenoise
[Round 023/100] Acc=17.770 | Pure=90.475 | RoundTime=101.46s | TotalTime=2095.19s | Method=feddenoise
[Round 024/100] Acc=17.990 | Pure=89.871 | RoundTime=100.01s | TotalTime=2195.20s | Method=feddenoise
