====================================================================================================
Training started at: 2026-03-08 13:28:16
Result directory: results/fl_tinyimagenet/feddenoise
Result txt file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=most_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132816.txt
Result log file : results/fl_tinyimagenet/feddenoise/model=feddenoise_dataset=fl_tinyimagenet_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=most_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-132816.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_tinyimagenet
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=0.540 | Pure=83.279 | RoundTime=88.60s | TotalTime=88.60s | Method=feddenoise
[Round 002/100] Acc=1.550 | Pure=85.683 | RoundTime=83.31s | TotalTime=171.91s | Method=feddenoise
[Round 003/100] Acc=6.080 | Pure=79.105 | RoundTime=78.99s | TotalTime=250.90s | Method=feddenoise
[Round 004/100] Acc=8.640 | Pure=86.409 | RoundTime=78.31s | TotalTime=329.21s | Method=feddenoise
[Round 005/100] Acc=9.710 | Pure=83.007 | RoundTime=79.12s | TotalTime=408.33s | Method=feddenoise
[Round 006/100] Acc=10.520 | Pure=84.162 | RoundTime=79.02s | TotalTime=487.36s | Method=feddenoise
[Round 007/100] Acc=11.680 | Pure=89.826 | RoundTime=78.26s | TotalTime=565.62s | Method=feddenoise
[Round 008/100] Acc=12.130 | Pure=88.172 | RoundTime=79.28s | TotalTime=644.89s | Method=feddenoise
[Round 009/100] Acc=12.440 | Pure=87.664 | RoundTime=77.54s | TotalTime=722.44s | Method=feddenoise
[Round 010/100] Acc=13.500 | Pure=85.685 | RoundTime=79.78s | TotalTime=802.22s | Method=feddenoise
[Round 011/100] Acc=13.900 | Pure=86.729 | RoundTime=101.33s | TotalTime=903.55s | Method=feddenoise
[Round 012/100] Acc=14.160 | Pure=86.610 | RoundTime=103.44s | TotalTime=1006.99s | Method=feddenoise
[Round 013/100] Acc=14.700 | Pure=89.453 | RoundTime=101.06s | TotalTime=1108.05s | Method=feddenoise
[Round 014/100] Acc=15.400 | Pure=88.186 | RoundTime=102.14s | TotalTime=1210.19s | Method=feddenoise
[Round 015/100] Acc=14.870 | Pure=90.402 | RoundTime=101.69s | TotalTime=1311.89s | Method=feddenoise
[Round 016/100] Acc=15.190 | Pure=84.482 | RoundTime=103.25s | TotalTime=1415.14s | Method=feddenoise
[Round 017/100] Acc=15.670 | Pure=88.991 | RoundTime=100.86s | TotalTime=1516.00s | Method=feddenoise
[Round 018/100] Acc=15.890 | Pure=85.032 | RoundTime=100.56s | TotalTime=1616.57s | Method=feddenoise
[Round 019/100] Acc=16.320 | Pure=91.344 | RoundTime=100.27s | TotalTime=1716.84s | Method=feddenoise
[Round 020/100] Acc=16.880 | Pure=89.111 | RoundTime=100.67s | TotalTime=1817.51s | Method=feddenoise
[Round 021/100] Acc=16.570 | Pure=85.230 | RoundTime=101.19s | TotalTime=1918.70s | Method=feddenoise
[Round 022/100] Acc=17.400 | Pure=88.218 | RoundTime=99.83s | TotalTime=2018.52s | Method=feddenoise
[Round 023/100] Acc=16.970 | Pure=83.402 | RoundTime=102.31s | TotalTime=2120.84s | Method=feddenoise
[Round 024/100] Acc=17.270 | Pure=90.185 | RoundTime=99.77s | TotalTime=2220.61s | Method=feddenoise
[Round 025/100] Acc=17.840 | Pure=90.135 | RoundTime=98.82s | TotalTime=2319.43s | Method=feddenoise
[Round 026/100] Acc=18.190 | Pure=89.827 | RoundTime=99.07s | TotalTime=2418.50s | Method=feddenoise
[Round 027/100] Acc=18.330 | Pure=88.486 | RoundTime=99.91s | TotalTime=2518.41s | Method=feddenoise
[Round 028/100] Acc=18.840 | Pure=89.856 | RoundTime=100.93s | TotalTime=2619.34s | Method=feddenoise
[Round 029/100] Acc=18.710 | Pure=89.395 | RoundTime=101.70s | TotalTime=2721.04s | Method=feddenoise
[Round 030/100] Acc=18.780 | Pure=87.798 | RoundTime=100.75s | TotalTime=2821.79s | Method=feddenoise
[Round 031/100] Acc=18.410 | Pure=87.191 | RoundTime=101.55s | TotalTime=2923.35s | Method=feddenoise
[Round 032/100] Acc=18.930 | Pure=91.266 | RoundTime=100.64s | TotalTime=3023.98s | Method=feddenoise
[Round 033/100] Acc=18.570 | Pure=87.750 | RoundTime=101.17s | TotalTime=3125.16s | Method=feddenoise
[Round 034/100] Acc=19.600 | Pure=88.162 | RoundTime=101.23s | TotalTime=3226.38s | Method=feddenoise
[Round 035/100] Acc=19.170 | Pure=87.876 | RoundTime=99.81s | TotalTime=3326.20s | Method=feddenoise
[Round 036/100] Acc=19.760 | Pure=89.800 | RoundTime=99.01s | TotalTime=3425.20s | Method=feddenoise
[Round 037/100] Acc=19.440 | Pure=90.433 | RoundTime=98.91s | TotalTime=3524.12s | Method=feddenoise
[Round 038/100] Acc=19.550 | Pure=90.558 | RoundTime=102.07s | TotalTime=3626.19s | Method=feddenoise
[Round 039/100] Acc=20.070 | Pure=89.914 | RoundTime=99.69s | TotalTime=3725.88s | Method=feddenoise
[Round 040/100] Acc=20.540 | Pure=92.244 | RoundTime=101.92s | TotalTime=3827.80s | Method=feddenoise
[Round 041/100] Acc=19.840 | Pure=88.089 | RoundTime=100.38s | TotalTime=3928.18s | Method=feddenoise
[Round 042/100] Acc=20.640 | Pure=90.531 | RoundTime=100.50s | TotalTime=4028.68s | Method=feddenoise
[Round 043/100] Acc=20.620 | Pure=88.510 | RoundTime=98.70s | TotalTime=4127.37s | Method=feddenoise
[Round 044/100] Acc=20.990 | Pure=89.761 | RoundTime=98.86s | TotalTime=4226.23s | Method=feddenoise
[Round 045/100] Acc=21.090 | Pure=93.836 | RoundTime=102.03s | TotalTime=4328.26s | Method=feddenoise
[Round 046/100] Acc=20.700 | Pure=89.341 | RoundTime=100.39s | TotalTime=4428.65s | Method=feddenoise
[Round 047/100] Acc=20.910 | Pure=86.010 | RoundTime=103.08s | TotalTime=4531.73s | Method=feddenoise
[Round 048/100] Acc=20.410 | Pure=85.420 | RoundTime=99.84s | TotalTime=4631.57s | Method=feddenoise
[Round 049/100] Acc=20.810 | Pure=90.377 | RoundTime=101.49s | TotalTime=4733.06s | Method=feddenoise
[Round 050/100] Acc=20.430 | Pure=88.533 | RoundTime=99.80s | TotalTime=4832.87s | Method=feddenoise
[Round 051/100] Acc=21.110 | Pure=91.815 | RoundTime=100.13s | TotalTime=4933.00s | Method=feddenoise
[Round 052/100] Acc=21.220 | Pure=90.123 | RoundTime=100.88s | TotalTime=5033.88s | Method=feddenoise
[Round 053/100] Acc=21.130 | Pure=90.319 | RoundTime=100.89s | TotalTime=5134.77s | Method=feddenoise
[Round 054/100] Acc=21.770 | Pure=93.412 | RoundTime=102.41s | TotalTime=5237.18s | Method=feddenoise
[Round 055/100] Acc=21.760 | Pure=91.317 | RoundTime=103.12s | TotalTime=5340.30s | Method=feddenoise
[Round 056/100] Acc=21.250 | Pure=90.502 | RoundTime=100.22s | TotalTime=5440.52s | Method=feddenoise
[Round 057/100] Acc=21.770 | Pure=90.996 | RoundTime=100.60s | TotalTime=5541.13s | Method=feddenoise
[Round 058/100] Acc=21.540 | Pure=85.738 | RoundTime=99.41s | TotalTime=5640.54s | Method=feddenoise
[Round 059/100] Acc=21.590 | Pure=87.124 | RoundTime=99.65s | TotalTime=5740.18s | Method=feddenoise
[Round 060/100] Acc=22.000 | Pure=93.829 | RoundTime=102.94s | TotalTime=5843.12s | Method=feddenoise
[Round 061/100] Acc=21.620 | Pure=91.028 | RoundTime=99.17s | TotalTime=5942.30s | Method=feddenoise
[Round 062/100] Acc=21.770 | Pure=89.407 | RoundTime=98.99s | TotalTime=6041.29s | Method=feddenoise
[Round 063/100] Acc=21.630 | Pure=89.463 | RoundTime=100.13s | TotalTime=6141.42s | Method=feddenoise
[Round 064/100] Acc=21.960 | Pure=90.767 | RoundTime=100.23s | TotalTime=6241.65s | Method=feddenoise
[Round 065/100] Acc=22.360 | Pure=91.283 | RoundTime=99.39s | TotalTime=6341.04s | Method=feddenoise
[Round 066/100] Acc=22.290 | Pure=88.635 | RoundTime=99.52s | TotalTime=6440.56s | Method=feddenoise
[Round 067/100] Acc=21.620 | Pure=90.151 | RoundTime=102.70s | TotalTime=6543.27s | Method=feddenoise
[Round 068/100] Acc=21.950 | Pure=91.174 | RoundTime=99.35s | TotalTime=6642.62s | Method=feddenoise
[Round 069/100] Acc=23.310 | Pure=92.376 | RoundTime=99.87s | TotalTime=6742.49s | Method=feddenoise
[Round 070/100] Acc=23.000 | Pure=90.838 | RoundTime=101.76s | TotalTime=6844.25s | Method=feddenoise
[Round 071/100] Acc=22.510 | Pure=87.221 | RoundTime=101.53s | TotalTime=6945.78s | Method=feddenoise
[Round 072/100] Acc=22.960 | Pure=94.196 | RoundTime=99.67s | TotalTime=7045.45s | Method=feddenoise
[Round 073/100] Acc=23.050 | Pure=91.287 | RoundTime=100.72s | TotalTime=7146.17s | Method=feddenoise
[Round 074/100] Acc=22.420 | Pure=89.580 | RoundTime=99.25s | TotalTime=7245.42s | Method=feddenoise
[Round 075/100] Acc=22.710 | Pure=91.549 | RoundTime=100.29s | TotalTime=7345.72s | Method=feddenoise
[Round 076/100] Acc=22.620 | Pure=88.955 | RoundTime=99.51s | TotalTime=7445.22s | Method=feddenoise
[Round 077/100] Acc=22.510 | Pure=90.476 | RoundTime=99.71s | TotalTime=7544.94s | Method=feddenoise
[Round 078/100] Acc=22.880 | Pure=90.376 | RoundTime=100.43s | TotalTime=7645.36s | Method=feddenoise
[Round 079/100] Acc=22.500 | Pure=90.024 | RoundTime=99.00s | TotalTime=7744.37s | Method=feddenoise
[Round 080/100] Acc=22.570 | Pure=87.739 | RoundTime=98.47s | TotalTime=7842.83s | Method=feddenoise
[Round 081/100] Acc=22.450 | Pure=88.803 | RoundTime=99.98s | TotalTime=7942.82s | Method=feddenoise
[Round 082/100] Acc=22.500 | Pure=90.013 | RoundTime=101.05s | TotalTime=8043.87s | Method=feddenoise
[Round 083/100] Acc=22.700 | Pure=90.577 | RoundTime=98.76s | TotalTime=8142.63s | Method=feddenoise
[Round 084/100] Acc=22.460 | Pure=93.189 | RoundTime=102.19s | TotalTime=8244.83s | Method=feddenoise
[Round 085/100] Acc=23.230 | Pure=90.404 | RoundTime=98.73s | TotalTime=8343.55s | Method=feddenoise
[Round 086/100] Acc=22.360 | Pure=88.052 | RoundTime=99.88s | TotalTime=8443.43s | Method=feddenoise
[Round 087/100] Acc=22.770 | Pure=88.526 | RoundTime=100.01s | TotalTime=8543.44s | Method=feddenoise
[Round 088/100] Acc=22.470 | Pure=89.812 | RoundTime=98.33s | TotalTime=8641.78s | Method=feddenoise
[Round 089/100] Acc=22.550 | Pure=89.171 | RoundTime=99.19s | TotalTime=8740.97s | Method=feddenoise
[Round 090/100] Acc=22.940 | Pure=91.889 | RoundTime=99.13s | TotalTime=8840.10s | Method=feddenoise
[Round 091/100] Acc=23.150 | Pure=93.254 | RoundTime=98.15s | TotalTime=8938.25s | Method=feddenoise
[Round 092/100] Acc=22.930 | Pure=89.544 | RoundTime=99.14s | TotalTime=9037.39s | Method=feddenoise
[Round 093/100] Acc=23.100 | Pure=90.134 | RoundTime=102.52s | TotalTime=9139.91s | Method=feddenoise
[Round 094/100] Acc=23.160 | Pure=90.595 | RoundTime=99.77s | TotalTime=9239.68s | Method=feddenoise
[Round 095/100] Acc=22.990 | Pure=90.379 | RoundTime=99.46s | TotalTime=9339.14s | Method=feddenoise
[Round 096/100] Acc=22.900 | Pure=86.421 | RoundTime=102.06s | TotalTime=9441.20s | Method=feddenoise
[Round 097/100] Acc=22.820 | Pure=87.656 | RoundTime=101.15s | TotalTime=9542.34s | Method=feddenoise
[Round 098/100] Acc=23.380 | Pure=92.773 | RoundTime=101.13s | TotalTime=9643.47s | Method=feddenoise
[Round 099/100] Acc=23.470 | Pure=92.614 | RoundTime=99.44s | TotalTime=9742.91s | Method=feddenoise
[Round 100/100] Acc=22.790 | Pure=85.047 | RoundTime=98.76s | TotalTime=9841.67s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-08 16:12:18
Total elapsed time: 9841.67s
Final Acc: 22.790
Best Acc : 23.470
Final Pure: 85.047
Best Pure : 94.196
====================================================================================================
