====================================================================================================
Training started at: 2026-03-13 12:27:39
Result directory: results/fl_mnist/fedprox
Result txt file : results/fl_mnist/fedprox/model=fedprox_dataset=fl_mnist_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.8_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-122739.txt
Result log file : results/fl_mnist/fedprox/model=fedprox_dataset=fl_mnist_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.8_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-122739.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=12.190 | RoundTime=54.90s | TotalTime=54.90s | Method=fedprox
[Round 002/100] Acc=67.170 | RoundTime=53.75s | TotalTime=108.66s | Method=fedprox
[Round 003/100] Acc=90.820 | RoundTime=54.00s | TotalTime=162.65s | Method=fedprox
[Round 004/100] Acc=95.480 | RoundTime=54.33s | TotalTime=216.98s | Method=fedprox
[Round 005/100] Acc=96.770 | RoundTime=56.26s | TotalTime=273.24s | Method=fedprox
[Round 006/100] Acc=96.560 | RoundTime=56.26s | TotalTime=329.50s | Method=fedprox
[Round 007/100] Acc=96.590 | RoundTime=56.06s | TotalTime=385.57s | Method=fedprox
[Round 008/100] Acc=91.520 | RoundTime=57.64s | TotalTime=443.21s | Method=fedprox
[Round 009/100] Acc=95.960 | RoundTime=58.12s | TotalTime=501.33s | Method=fedprox
[Round 010/100] Acc=95.060 | RoundTime=58.30s | TotalTime=559.63s | Method=fedprox
[Round 011/100] Acc=92.570 | RoundTime=58.26s | TotalTime=617.89s | Method=fedprox
[Round 012/100] Acc=94.040 | RoundTime=57.79s | TotalTime=675.68s | Method=fedprox
[Round 013/100] Acc=94.040 | RoundTime=57.92s | TotalTime=733.60s | Method=fedprox
[Round 014/100] Acc=95.350 | RoundTime=59.23s | TotalTime=792.83s | Method=fedprox
[Round 015/100] Acc=96.060 | RoundTime=58.47s | TotalTime=851.30s | Method=fedprox
[Round 016/100] Acc=95.240 | RoundTime=58.78s | TotalTime=910.08s | Method=fedprox
[Round 017/100] Acc=92.600 | RoundTime=58.65s | TotalTime=968.73s | Method=fedprox
[Round 018/100] Acc=94.610 | RoundTime=59.09s | TotalTime=1027.83s | Method=fedprox
[Round 019/100] Acc=94.930 | RoundTime=58.28s | TotalTime=1086.10s | Method=fedprox
[Round 020/100] Acc=94.650 | RoundTime=58.74s | TotalTime=1144.84s | Method=fedprox
[Round 021/100] Acc=95.550 | RoundTime=59.35s | TotalTime=1204.19s | Method=fedprox
[Round 022/100] Acc=95.900 | RoundTime=58.65s | TotalTime=1262.84s | Method=fedprox
[Round 023/100] Acc=96.100 | RoundTime=58.38s | TotalTime=1321.22s | Method=fedprox
[Round 024/100] Acc=95.970 | RoundTime=59.51s | TotalTime=1380.73s | Method=fedprox
[Round 025/100] Acc=95.780 | RoundTime=58.81s | TotalTime=1439.54s | Method=fedprox
[Round 026/100] Acc=95.960 | RoundTime=57.73s | TotalTime=1497.27s | Method=fedprox
[Round 027/100] Acc=96.310 | RoundTime=57.29s | TotalTime=1554.57s | Method=fedprox
[Round 028/100] Acc=95.290 | RoundTime=57.06s | TotalTime=1611.63s | Method=fedprox
[Round 029/100] Acc=95.860 | RoundTime=58.59s | TotalTime=1670.22s | Method=fedprox
[Round 030/100] Acc=95.210 | RoundTime=58.63s | TotalTime=1728.85s | Method=fedprox
[Round 031/100] Acc=95.700 | RoundTime=57.04s | TotalTime=1785.89s | Method=fedprox
[Round 032/100] Acc=95.750 | RoundTime=57.55s | TotalTime=1843.44s | Method=fedprox
[Round 033/100] Acc=95.480 | RoundTime=58.28s | TotalTime=1901.72s | Method=fedprox
[Round 034/100] Acc=95.420 | RoundTime=56.83s | TotalTime=1958.55s | Method=fedprox
[Round 035/100] Acc=95.360 | RoundTime=57.11s | TotalTime=2015.65s | Method=fedprox
[Round 036/100] Acc=94.710 | RoundTime=58.00s | TotalTime=2073.66s | Method=fedprox
[Round 037/100] Acc=95.550 | RoundTime=57.46s | TotalTime=2131.12s | Method=fedprox
[Round 038/100] Acc=95.520 | RoundTime=58.85s | TotalTime=2189.96s | Method=fedprox
[Round 039/100] Acc=95.520 | RoundTime=57.22s | TotalTime=2247.19s | Method=fedprox
[Round 040/100] Acc=95.330 | RoundTime=57.86s | TotalTime=2305.05s | Method=fedprox
[Round 041/100] Acc=95.100 | RoundTime=57.44s | TotalTime=2362.48s | Method=fedprox
[Round 042/100] Acc=94.540 | RoundTime=57.73s | TotalTime=2420.21s | Method=fedprox
[Round 043/100] Acc=95.620 | RoundTime=57.34s | TotalTime=2477.56s | Method=fedprox
[Round 044/100] Acc=95.260 | RoundTime=58.39s | TotalTime=2535.95s | Method=fedprox
[Round 045/100] Acc=94.520 | RoundTime=58.43s | TotalTime=2594.37s | Method=fedprox
[Round 046/100] Acc=94.950 | RoundTime=58.08s | TotalTime=2652.45s | Method=fedprox
[Round 047/100] Acc=94.750 | RoundTime=57.17s | TotalTime=2709.62s | Method=fedprox
[Round 048/100] Acc=94.390 | RoundTime=58.80s | TotalTime=2768.43s | Method=fedprox
[Round 049/100] Acc=95.180 | RoundTime=56.79s | TotalTime=2825.22s | Method=fedprox
[Round 050/100] Acc=94.270 | RoundTime=57.20s | TotalTime=2882.42s | Method=fedprox
[Round 051/100] Acc=95.470 | RoundTime=56.31s | TotalTime=2938.73s | Method=fedprox
[Round 052/100] Acc=94.940 | RoundTime=57.37s | TotalTime=2996.10s | Method=fedprox
[Round 053/100] Acc=94.970 | RoundTime=57.42s | TotalTime=3053.52s | Method=fedprox
[Round 054/100] Acc=95.230 | RoundTime=57.20s | TotalTime=3110.72s | Method=fedprox
[Round 055/100] Acc=95.490 | RoundTime=56.26s | TotalTime=3166.98s | Method=fedprox
[Round 056/100] Acc=95.620 | RoundTime=57.00s | TotalTime=3223.98s | Method=fedprox
[Round 057/100] Acc=94.750 | RoundTime=56.31s | TotalTime=3280.29s | Method=fedprox
[Round 058/100] Acc=95.080 | RoundTime=57.36s | TotalTime=3337.65s | Method=fedprox
[Round 059/100] Acc=94.600 | RoundTime=57.18s | TotalTime=3394.83s | Method=fedprox
[Round 060/100] Acc=95.350 | RoundTime=57.52s | TotalTime=3452.36s | Method=fedprox
[Round 061/100] Acc=94.780 | RoundTime=57.28s | TotalTime=3509.63s | Method=fedprox
[Round 062/100] Acc=94.760 | RoundTime=56.76s | TotalTime=3566.39s | Method=fedprox
[Round 063/100] Acc=95.280 | RoundTime=56.86s | TotalTime=3623.25s | Method=fedprox
[Round 064/100] Acc=95.010 | RoundTime=57.31s | TotalTime=3680.56s | Method=fedprox
[Round 065/100] Acc=94.500 | RoundTime=57.49s | TotalTime=3738.05s | Method=fedprox
[Round 066/100] Acc=94.620 | RoundTime=56.76s | TotalTime=3794.82s | Method=fedprox
[Round 067/100] Acc=95.380 | RoundTime=56.92s | TotalTime=3851.73s | Method=fedprox
[Round 068/100] Acc=94.710 | RoundTime=57.20s | TotalTime=3908.93s | Method=fedprox
[Round 069/100] Acc=94.940 | RoundTime=57.35s | TotalTime=3966.29s | Method=fedprox
[Round 070/100] Acc=94.940 | RoundTime=55.76s | TotalTime=4022.05s | Method=fedprox
[Round 071/100] Acc=95.520 | RoundTime=56.14s | TotalTime=4078.19s | Method=fedprox
[Round 072/100] Acc=94.320 | RoundTime=57.43s | TotalTime=4135.62s | Method=fedprox
[Round 073/100] Acc=94.680 | RoundTime=57.22s | TotalTime=4192.84s | Method=fedprox
[Round 074/100] Acc=95.080 | RoundTime=56.85s | TotalTime=4249.69s | Method=fedprox
[Round 075/100] Acc=94.680 | RoundTime=57.10s | TotalTime=4306.80s | Method=fedprox
[Round 076/100] Acc=94.040 | RoundTime=57.09s | TotalTime=4363.89s | Method=fedprox
[Round 077/100] Acc=94.170 | RoundTime=56.57s | TotalTime=4420.45s | Method=fedprox
[Round 078/100] Acc=94.850 | RoundTime=57.55s | TotalTime=4478.00s | Method=fedprox
[Round 079/100] Acc=94.850 | RoundTime=56.92s | TotalTime=4534.93s | Method=fedprox
[Round 080/100] Acc=94.530 | RoundTime=57.61s | TotalTime=4592.53s | Method=fedprox
