========================================================================================================================
Training started at: 2026-04-07 22:25:56
Result directory: results/fl_cifar10/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.01
Result txt file : results/fl_cifar10/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_cifar10_20260407-222556-973975_pid3732204.txt
Result log file : results/fl_cifar10/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.01/fedprox_fl_cifar10_20260407-222556-973975_pid3732204.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 110
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.01
========================================================================================================================
[Round 001/110] Phase=standard | Stage=warmup | Acc=10.000 | RoundTime=44.28s | TotalTime=44.29s | Method=fedprox
[Round 002/110] Phase=standard | Stage=warmup | Acc=18.540 | RoundTime=42.43s | TotalTime=86.73s | Method=fedprox
[Round 003/110] Phase=standard | Stage=warmup | Acc=27.010 | RoundTime=42.49s | TotalTime=129.23s | Method=fedprox
[Round 004/110] Phase=standard | Stage=warmup | Acc=32.830 | RoundTime=42.27s | TotalTime=171.50s | Method=fedprox
[Round 005/110] Phase=standard | Stage=warmup | Acc=36.580 | RoundTime=43.30s | TotalTime=214.81s | Method=fedprox
[Round 006/110] Phase=standard | Stage=warmup | Acc=37.550 | RoundTime=41.98s | TotalTime=256.80s | Method=fedprox
[Round 007/110] Phase=standard | Stage=warmup | Acc=41.380 | RoundTime=42.27s | TotalTime=299.08s | Method=fedprox
[Round 008/110] Phase=standard | Stage=warmup | Acc=42.780 | RoundTime=41.74s | TotalTime=340.83s | Method=fedprox
[Round 009/110] Phase=standard | Stage=warmup | Acc=43.900 | RoundTime=42.05s | TotalTime=382.89s | Method=fedprox
[Round 010/110] Phase=standard | Stage=warmup | Acc=44.620 | RoundTime=42.83s | TotalTime=425.72s | Method=fedprox
[Round 011/110] Phase=standard | Stage=warmup | Acc=46.150 | RoundTime=43.69s | TotalTime=469.43s | Method=fedprox
[Round 012/110] Phase=standard | Stage=warmup | Acc=49.370 | RoundTime=42.92s | TotalTime=512.36s | Method=fedprox
[Round 013/110] Phase=standard | Stage=warmup | Acc=48.750 | RoundTime=43.50s | TotalTime=555.87s | Method=fedprox
[Round 014/110] Phase=standard | Stage=warmup | Acc=50.860 | RoundTime=41.27s | TotalTime=597.15s | Method=fedprox
[Round 015/110] Phase=standard | Stage=warmup | Acc=50.980 | RoundTime=41.59s | TotalTime=638.75s | Method=fedprox
[Round 016/110] Phase=standard | Stage=warmup | Acc=51.650 | RoundTime=41.82s | TotalTime=680.58s | Method=fedprox
[Round 017/110] Phase=standard | Stage=warmup | Acc=54.440 | RoundTime=42.32s | TotalTime=722.91s | Method=fedprox
[Round 018/110] Phase=standard | Stage=warmup | Acc=55.170 | RoundTime=42.02s | TotalTime=764.93s | Method=fedprox
[Round 019/110] Phase=standard | Stage=warmup | Acc=54.800 | RoundTime=42.50s | TotalTime=807.44s | Method=fedprox
[Round 020/110] Phase=standard | Stage=warmup | Acc=57.090 | RoundTime=41.63s | TotalTime=849.08s | Method=fedprox
[Round 021/110] Phase=standard | Stage=warmup | Acc=56.490 | RoundTime=42.24s | TotalTime=891.33s | Method=fedprox
[Round 022/110] Phase=standard | Stage=warmup | Acc=58.400 | RoundTime=41.76s | TotalTime=933.10s | Method=fedprox
[Round 023/110] Phase=standard | Stage=warmup | Acc=60.290 | RoundTime=42.22s | TotalTime=975.33s | Method=fedprox
[Round 024/110] Phase=standard | Stage=warmup | Acc=59.270 | RoundTime=41.98s | TotalTime=1017.32s | Method=fedprox
