====================================================================================================
Training started at: 2026-03-15 06:20:48
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-062048.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_svhn_20260315-062048.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.070 | Pure=70.107 | RoundTime=53.50s | TotalTime=53.50s | Method=feddenoise
[Round 002/100] Acc=41.660 | Pure=70.108 | RoundTime=53.17s | TotalTime=106.68s | Method=feddenoise
[Round 003/100] Acc=34.710 | Pure=70.100 | RoundTime=53.10s | TotalTime=159.77s | Method=feddenoise
[Round 004/100] Acc=23.730 | Pure=70.102 | RoundTime=52.95s | TotalTime=212.73s | Method=feddenoise
[Round 005/100] Acc=38.700 | Pure=70.189 | RoundTime=52.29s | TotalTime=265.02s | Method=feddenoise
[Round 006/100] Acc=40.090 | Pure=69.985 | RoundTime=52.08s | TotalTime=317.10s | Method=feddenoise
[Round 007/100] Acc=36.830 | Pure=70.102 | RoundTime=50.92s | TotalTime=368.01s | Method=feddenoise
[Round 008/100] Acc=46.830 | Pure=70.094 | RoundTime=51.44s | TotalTime=419.45s | Method=feddenoise
[Round 009/100] Acc=43.570 | Pure=70.078 | RoundTime=51.74s | TotalTime=471.18s | Method=feddenoise
[Round 010/100] Acc=39.340 | Pure=70.153 | RoundTime=54.26s | TotalTime=525.44s | Method=feddenoise
[Round 011/100] Acc=40.520 | Pure=74.686 | RoundTime=61.22s | TotalTime=586.66s | Method=feddenoise
