====================================================================================================
Training started at: 2026-03-14 09:23:23
Result directory: results/fl_cifar100/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3/fedrdn_fl_cifar100_20260314-092323.txt
Result log file : results/fl_cifar100/fedrdn/pm-dir_a-0.8_nm-uni_nr-0.3/fedrdn_fl_cifar100_20260314-092323.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=69.25s | TotalTime=69.25s | Method=fedrdn
[Round 002/100] Acc=1.230 | RoundTime=40.94s | TotalTime=110.20s | Method=fedrdn
[Round 003/100] Acc=8.100 | RoundTime=41.34s | TotalTime=151.54s | Method=fedrdn
[Round 004/100] Acc=11.180 | RoundTime=41.29s | TotalTime=192.84s | Method=fedrdn
[Round 005/100] Acc=14.190 | RoundTime=41.83s | TotalTime=234.67s | Method=fedrdn
[Round 006/100] Acc=15.230 | RoundTime=40.95s | TotalTime=275.62s | Method=fedrdn
[Round 007/100] Acc=15.690 | RoundTime=41.44s | TotalTime=317.06s | Method=fedrdn
[Round 008/100] Acc=16.900 | RoundTime=40.68s | TotalTime=357.74s | Method=fedrdn
[Round 009/100] Acc=18.400 | RoundTime=41.18s | TotalTime=398.92s | Method=fedrdn
[Round 010/100] Acc=16.920 | RoundTime=41.29s | TotalTime=440.22s | Method=fedrdn
[Round 011/100] Acc=18.890 | RoundTime=41.33s | TotalTime=481.55s | Method=fedrdn
[Round 012/100] Acc=18.800 | RoundTime=40.89s | TotalTime=522.44s | Method=fedrdn
[Round 013/100] Acc=19.670 | RoundTime=41.85s | TotalTime=564.29s | Method=fedrdn
[Round 014/100] Acc=19.320 | RoundTime=40.85s | TotalTime=605.15s | Method=fedrdn
[Round 015/100] Acc=20.110 | RoundTime=40.31s | TotalTime=645.46s | Method=fedrdn
[Round 016/100] Acc=18.860 | RoundTime=40.09s | TotalTime=685.54s | Method=fedrdn
[Round 017/100] Acc=19.970 | RoundTime=40.28s | TotalTime=725.82s | Method=fedrdn
[Round 018/100] Acc=19.800 | RoundTime=41.53s | TotalTime=767.35s | Method=fedrdn
[Round 019/100] Acc=20.860 | RoundTime=40.63s | TotalTime=807.97s | Method=fedrdn
[Round 020/100] Acc=20.170 | RoundTime=40.27s | TotalTime=848.24s | Method=fedrdn
[Round 021/100] Acc=20.370 | RoundTime=41.10s | TotalTime=889.34s | Method=fedrdn
[Round 022/100] Acc=20.060 | RoundTime=40.24s | TotalTime=929.58s | Method=fedrdn
[Round 023/100] Acc=19.660 | RoundTime=40.93s | TotalTime=970.51s | Method=fedrdn
[Round 024/100] Acc=20.350 | RoundTime=41.04s | TotalTime=1011.55s | Method=fedrdn
[Round 025/100] Acc=20.670 | RoundTime=40.67s | TotalTime=1052.22s | Method=fedrdn
[Round 026/100] Acc=20.880 | RoundTime=40.99s | TotalTime=1093.21s | Method=fedrdn
[Round 027/100] Acc=19.760 | RoundTime=40.90s | TotalTime=1134.11s | Method=fedrdn
[Round 028/100] Acc=21.080 | RoundTime=40.84s | TotalTime=1174.95s | Method=fedrdn
[Round 029/100] Acc=20.910 | RoundTime=40.59s | TotalTime=1215.54s | Method=fedrdn
[Round 030/100] Acc=21.190 | RoundTime=41.10s | TotalTime=1256.63s | Method=fedrdn
[Round 031/100] Acc=21.770 | RoundTime=41.57s | TotalTime=1298.21s | Method=fedrdn
[Round 032/100] Acc=21.290 | RoundTime=41.12s | TotalTime=1339.33s | Method=fedrdn
[Round 033/100] Acc=21.450 | RoundTime=41.09s | TotalTime=1380.42s | Method=fedrdn
[Round 034/100] Acc=20.450 | RoundTime=41.13s | TotalTime=1421.55s | Method=fedrdn
[Round 035/100] Acc=22.090 | RoundTime=41.57s | TotalTime=1463.11s | Method=fedrdn
[Round 036/100] Acc=21.700 | RoundTime=40.96s | TotalTime=1504.07s | Method=fedrdn
[Round 037/100] Acc=21.170 | RoundTime=41.27s | TotalTime=1545.35s | Method=fedrdn
[Round 038/100] Acc=22.430 | RoundTime=41.72s | TotalTime=1587.07s | Method=fedrdn
[Round 039/100] Acc=22.180 | RoundTime=41.28s | TotalTime=1628.35s | Method=fedrdn
[Round 040/100] Acc=21.140 | RoundTime=40.52s | TotalTime=1668.88s | Method=fedrdn
[Round 041/100] Acc=22.250 | RoundTime=41.83s | TotalTime=1710.70s | Method=fedrdn
[Round 042/100] Acc=21.710 | RoundTime=41.48s | TotalTime=1752.18s | Method=fedrdn
[Round 043/100] Acc=22.290 | RoundTime=41.41s | TotalTime=1793.58s | Method=fedrdn
[Round 044/100] Acc=21.810 | RoundTime=41.66s | TotalTime=1835.24s | Method=fedrdn
[Round 045/100] Acc=22.710 | RoundTime=41.16s | TotalTime=1876.40s | Method=fedrdn
