====================================================================================================
Training started at: 2026-03-22 06:20:39
Result directory: results/fl_mnist/fedcda/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_mnist/fedcda/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260322-062039-338438_pid2254509.txt
Result log file : results/fl_mnist/fedcda/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_mnist_20260322-062039-338438_pid2254509.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_mnist
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.280 | RoundTime=20.42s | TotalTime=20.42s | Method=fedcda
[Round 002/100] Acc=10.320 | RoundTime=19.89s | TotalTime=40.31s | Method=fedcda
[Round 003/100] Acc=29.380 | RoundTime=19.84s | TotalTime=60.16s | Method=fedcda
[Round 004/100] Acc=62.090 | RoundTime=20.13s | TotalTime=80.29s | Method=fedcda
[Round 005/100] Acc=33.060 | RoundTime=21.30s | TotalTime=101.59s | Method=fedcda
[Round 006/100] Acc=70.660 | RoundTime=20.71s | TotalTime=122.30s | Method=fedcda
[Round 007/100] Acc=61.940 | RoundTime=20.88s | TotalTime=143.18s | Method=fedcda
[Round 008/100] Acc=35.500 | RoundTime=21.20s | TotalTime=164.38s | Method=fedcda
[Round 009/100] Acc=64.720 | RoundTime=20.75s | TotalTime=185.13s | Method=fedcda
[Round 010/100] Acc=63.330 | RoundTime=20.68s | TotalTime=205.81s | Method=fedcda
[Round 011/100] Acc=61.680 | RoundTime=23.88s | TotalTime=229.69s | Method=fedcda
[Round 012/100] Acc=53.150 | RoundTime=20.93s | TotalTime=250.62s | Method=fedcda
[Round 013/100] Acc=53.600 | RoundTime=21.14s | TotalTime=271.77s | Method=fedcda
[Round 014/100] Acc=59.570 | RoundTime=21.59s | TotalTime=293.35s | Method=fedcda
[Round 015/100] Acc=66.530 | RoundTime=21.19s | TotalTime=314.55s | Method=fedcda
[Round 016/100] Acc=54.120 | RoundTime=21.21s | TotalTime=335.76s | Method=fedcda
[Round 017/100] Acc=66.330 | RoundTime=21.45s | TotalTime=357.21s | Method=fedcda
[Round 018/100] Acc=68.290 | RoundTime=21.54s | TotalTime=378.75s | Method=fedcda
[Round 019/100] Acc=57.160 | RoundTime=21.58s | TotalTime=400.33s | Method=fedcda
[Round 020/100] Acc=49.180 | RoundTime=21.89s | TotalTime=422.21s | Method=fedcda
[Round 021/100] Acc=66.230 | RoundTime=21.75s | TotalTime=443.96s | Method=fedcda
[Round 022/100] Acc=52.710 | RoundTime=21.33s | TotalTime=465.30s | Method=fedcda
[Round 023/100] Acc=51.260 | RoundTime=21.56s | TotalTime=486.85s | Method=fedcda
[Round 024/100] Acc=69.580 | RoundTime=23.76s | TotalTime=510.61s | Method=fedcda
[Round 025/100] Acc=70.320 | RoundTime=21.16s | TotalTime=531.77s | Method=fedcda
