====================================================================================================
Training started at: 2026-03-14 14:23:03
Result directory: results/fl_svhn/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_svhn/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_svhn_20260314-142303.txt
Result log file : results/fl_svhn/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3/fedprox_fl_svhn_20260314-142303.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.070 | RoundTime=83.86s | TotalTime=83.86s | Method=fedprox
[Round 002/100] Acc=28.560 | RoundTime=60.79s | TotalTime=144.65s | Method=fedprox
[Round 003/100] Acc=52.270 | RoundTime=53.34s | TotalTime=197.99s | Method=fedprox
[Round 004/100] Acc=57.050 | RoundTime=54.81s | TotalTime=252.80s | Method=fedprox
[Round 005/100] Acc=61.790 | RoundTime=53.92s | TotalTime=306.71s | Method=fedprox
[Round 006/100] Acc=69.050 | RoundTime=53.04s | TotalTime=359.76s | Method=fedprox
[Round 007/100] Acc=68.400 | RoundTime=55.02s | TotalTime=414.77s | Method=fedprox
[Round 008/100] Acc=68.520 | RoundTime=53.35s | TotalTime=468.12s | Method=fedprox
[Round 009/100] Acc=75.200 | RoundTime=53.06s | TotalTime=521.18s | Method=fedprox
[Round 010/100] Acc=74.570 | RoundTime=53.49s | TotalTime=574.67s | Method=fedprox
[Round 011/100] Acc=65.210 | RoundTime=52.46s | TotalTime=627.13s | Method=fedprox
[Round 012/100] Acc=65.120 | RoundTime=52.93s | TotalTime=680.06s | Method=fedprox
[Round 013/100] Acc=72.150 | RoundTime=54.31s | TotalTime=734.37s | Method=fedprox
[Round 014/100] Acc=71.910 | RoundTime=54.00s | TotalTime=788.37s | Method=fedprox
[Round 015/100] Acc=69.230 | RoundTime=53.44s | TotalTime=841.82s | Method=fedprox
[Round 016/100] Acc=68.270 | RoundTime=54.52s | TotalTime=896.33s | Method=fedprox
[Round 017/100] Acc=72.480 | RoundTime=52.95s | TotalTime=949.28s | Method=fedprox
[Round 018/100] Acc=69.840 | RoundTime=53.32s | TotalTime=1002.60s | Method=fedprox
[Round 019/100] Acc=73.760 | RoundTime=54.72s | TotalTime=1057.32s | Method=fedprox
[Round 020/100] Acc=68.340 | RoundTime=52.90s | TotalTime=1110.22s | Method=fedprox
[Round 021/100] Acc=68.310 | RoundTime=53.66s | TotalTime=1163.88s | Method=fedprox
[Round 022/100] Acc=63.950 | RoundTime=53.63s | TotalTime=1217.51s | Method=fedprox
[Round 023/100] Acc=70.550 | RoundTime=55.39s | TotalTime=1272.90s | Method=fedprox
[Round 024/100] Acc=68.250 | RoundTime=53.75s | TotalTime=1326.65s | Method=fedprox
[Round 025/100] Acc=69.070 | RoundTime=55.34s | TotalTime=1381.99s | Method=fedprox
[Round 026/100] Acc=70.020 | RoundTime=56.66s | TotalTime=1438.65s | Method=fedprox
[Round 027/100] Acc=70.090 | RoundTime=53.49s | TotalTime=1492.14s | Method=fedprox
[Round 028/100] Acc=67.190 | RoundTime=53.33s | TotalTime=1545.47s | Method=fedprox
[Round 029/100] Acc=71.980 | RoundTime=55.23s | TotalTime=1600.70s | Method=fedprox
[Round 030/100] Acc=61.670 | RoundTime=54.84s | TotalTime=1655.54s | Method=fedprox
[Round 031/100] Acc=66.870 | RoundTime=53.38s | TotalTime=1708.92s | Method=fedprox
[Round 032/100] Acc=71.420 | RoundTime=54.57s | TotalTime=1763.49s | Method=fedprox
[Round 033/100] Acc=69.800 | RoundTime=54.45s | TotalTime=1817.94s | Method=fedprox
[Round 034/100] Acc=69.790 | RoundTime=53.79s | TotalTime=1871.73s | Method=fedprox
[Round 035/100] Acc=69.840 | RoundTime=53.42s | TotalTime=1925.15s | Method=fedprox
[Round 036/100] Acc=67.380 | RoundTime=53.48s | TotalTime=1978.63s | Method=fedprox
[Round 037/100] Acc=68.180 | RoundTime=53.78s | TotalTime=2032.41s | Method=fedprox
[Round 038/100] Acc=72.690 | RoundTime=54.29s | TotalTime=2086.70s | Method=fedprox
[Round 039/100] Acc=71.690 | RoundTime=54.18s | TotalTime=2140.87s | Method=fedprox
[Round 040/100] Acc=66.200 | RoundTime=54.89s | TotalTime=2195.77s | Method=fedprox
[Round 041/100] Acc=70.240 | RoundTime=55.11s | TotalTime=2250.87s | Method=fedprox
[Round 042/100] Acc=67.640 | RoundTime=54.06s | TotalTime=2304.93s | Method=fedprox
[Round 043/100] Acc=67.420 | RoundTime=53.01s | TotalTime=2357.94s | Method=fedprox
[Round 044/100] Acc=68.180 | RoundTime=53.31s | TotalTime=2411.25s | Method=fedprox
[Round 045/100] Acc=72.520 | RoundTime=55.89s | TotalTime=2467.14s | Method=fedprox
[Round 046/100] Acc=69.400 | RoundTime=54.61s | TotalTime=2521.75s | Method=fedprox
[Round 047/100] Acc=69.660 | RoundTime=53.96s | TotalTime=2575.71s | Method=fedprox
[Round 048/100] Acc=69.300 | RoundTime=53.50s | TotalTime=2629.21s | Method=fedprox
[Round 049/100] Acc=68.120 | RoundTime=52.88s | TotalTime=2682.09s | Method=fedprox
[Round 050/100] Acc=69.900 | RoundTime=53.46s | TotalTime=2735.55s | Method=fedprox
[Round 051/100] Acc=67.760 | RoundTime=52.41s | TotalTime=2787.95s | Method=fedprox
[Round 052/100] Acc=69.360 | RoundTime=54.22s | TotalTime=2842.17s | Method=fedprox
[Round 053/100] Acc=71.200 | RoundTime=51.76s | TotalTime=2893.94s | Method=fedprox
[Round 054/100] Acc=69.300 | RoundTime=52.90s | TotalTime=2946.84s | Method=fedprox
[Round 055/100] Acc=67.460 | RoundTime=53.41s | TotalTime=3000.25s | Method=fedprox
[Round 056/100] Acc=71.920 | RoundTime=52.67s | TotalTime=3052.92s | Method=fedprox
[Round 057/100] Acc=70.280 | RoundTime=52.73s | TotalTime=3105.65s | Method=fedprox
[Round 058/100] Acc=70.050 | RoundTime=53.71s | TotalTime=3159.36s | Method=fedprox
[Round 059/100] Acc=68.760 | RoundTime=52.13s | TotalTime=3211.49s | Method=fedprox
[Round 060/100] Acc=69.100 | RoundTime=52.36s | TotalTime=3263.85s | Method=fedprox
[Round 061/100] Acc=67.320 | RoundTime=53.34s | TotalTime=3317.19s | Method=fedprox
[Round 062/100] Acc=67.360 | RoundTime=52.95s | TotalTime=3370.14s | Method=fedprox
[Round 063/100] Acc=67.950 | RoundTime=53.46s | TotalTime=3423.60s | Method=fedprox
[Round 064/100] Acc=67.970 | RoundTime=53.13s | TotalTime=3476.73s | Method=fedprox
[Round 065/100] Acc=67.900 | RoundTime=52.54s | TotalTime=3529.27s | Method=fedprox
[Round 066/100] Acc=70.490 | RoundTime=53.16s | TotalTime=3582.43s | Method=fedprox
[Round 067/100] Acc=69.980 | RoundTime=53.33s | TotalTime=3635.76s | Method=fedprox
[Round 068/100] Acc=69.590 | RoundTime=52.57s | TotalTime=3688.33s | Method=fedprox
[Round 069/100] Acc=68.120 | RoundTime=52.08s | TotalTime=3740.41s | Method=fedprox
[Round 070/100] Acc=68.000 | RoundTime=52.58s | TotalTime=3792.99s | Method=fedprox
[Round 071/100] Acc=67.620 | RoundTime=52.63s | TotalTime=3845.63s | Method=fedprox
[Round 072/100] Acc=69.380 | RoundTime=52.59s | TotalTime=3898.21s | Method=fedprox
[Round 073/100] Acc=69.860 | RoundTime=53.43s | TotalTime=3951.64s | Method=fedprox
[Round 074/100] Acc=70.060 | RoundTime=52.15s | TotalTime=4003.79s | Method=fedprox
[Round 075/100] Acc=68.950 | RoundTime=52.94s | TotalTime=4056.74s | Method=fedprox
[Round 076/100] Acc=62.490 | RoundTime=53.45s | TotalTime=4110.19s | Method=fedprox
[Round 077/100] Acc=67.080 | RoundTime=52.72s | TotalTime=4162.91s | Method=fedprox
[Round 078/100] Acc=67.800 | RoundTime=53.21s | TotalTime=4216.12s | Method=fedprox
[Round 079/100] Acc=66.980 | RoundTime=53.36s | TotalTime=4269.49s | Method=fedprox
[Round 080/100] Acc=68.000 | RoundTime=52.03s | TotalTime=4321.51s | Method=fedprox
[Round 081/100] Acc=70.280 | RoundTime=53.07s | TotalTime=4374.58s | Method=fedprox
[Round 082/100] Acc=71.560 | RoundTime=52.99s | TotalTime=4427.57s | Method=fedprox
[Round 083/100] Acc=70.060 | RoundTime=54.68s | TotalTime=4482.25s | Method=fedprox
[Round 084/100] Acc=70.280 | RoundTime=53.85s | TotalTime=4536.10s | Method=fedprox
[Round 085/100] Acc=61.720 | RoundTime=53.13s | TotalTime=4589.23s | Method=fedprox
[Round 086/100] Acc=68.350 | RoundTime=53.61s | TotalTime=4642.83s | Method=fedprox
[Round 087/100] Acc=69.030 | RoundTime=53.31s | TotalTime=4696.14s | Method=fedprox
[Round 088/100] Acc=69.640 | RoundTime=51.68s | TotalTime=4747.82s | Method=fedprox
[Round 089/100] Acc=68.970 | RoundTime=52.49s | TotalTime=4800.31s | Method=fedprox
[Round 090/100] Acc=67.690 | RoundTime=53.29s | TotalTime=4853.60s | Method=fedprox
[Round 091/100] Acc=67.560 | RoundTime=52.18s | TotalTime=4905.78s | Method=fedprox
[Round 092/100] Acc=67.410 | RoundTime=52.07s | TotalTime=4957.86s | Method=fedprox
[Round 093/100] Acc=68.440 | RoundTime=51.59s | TotalTime=5009.45s | Method=fedprox
[Round 094/100] Acc=66.830 | RoundTime=52.52s | TotalTime=5061.96s | Method=fedprox
[Round 095/100] Acc=70.540 | RoundTime=53.69s | TotalTime=5115.65s | Method=fedprox
[Round 096/100] Acc=70.190 | RoundTime=52.22s | TotalTime=5167.88s | Method=fedprox
[Round 097/100] Acc=70.790 | RoundTime=52.53s | TotalTime=5220.40s | Method=fedprox
[Round 098/100] Acc=68.550 | RoundTime=52.28s | TotalTime=5272.69s | Method=fedprox
[Round 099/100] Acc=67.310 | RoundTime=51.94s | TotalTime=5324.63s | Method=fedprox
[Round 100/100] Acc=67.270 | RoundTime=52.00s | TotalTime=5376.63s | Method=fedprox
====================================================================================================
Training finished at: 2026-03-14 15:52:39
Total elapsed time: 5376.63s
Final Acc: 67.270
Best Acc : 75.200
====================================================================================================
