====================================================================================================
Training started at: 2026-03-30 07:00:22
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.55
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.55/fedcda_fl_cifar10_20260330-070022-995379_pid43016.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.1_nm-uni_nr-0.2_nt-symmetric_st-least_sim_dr-0.55/fedcda_fl_cifar10_20260330-070022-995379_pid43016.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 48
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.2
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.55
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=23.98s | TotalTime=23.98s | Method=fedcda
[Round 002/100] Acc=10.180 | RoundTime=23.94s | TotalTime=47.92s | Method=fedcda
[Round 003/100] Acc=14.300 | RoundTime=23.99s | TotalTime=71.91s | Method=fedcda
[Round 004/100] Acc=20.000 | RoundTime=24.35s | TotalTime=96.26s | Method=fedcda
[Round 005/100] Acc=25.910 | RoundTime=24.11s | TotalTime=120.37s | Method=fedcda
[Round 006/100] Acc=22.990 | RoundTime=24.02s | TotalTime=144.40s | Method=fedcda
[Round 007/100] Acc=28.770 | RoundTime=24.04s | TotalTime=168.44s | Method=fedcda
[Round 008/100] Acc=23.300 | RoundTime=23.68s | TotalTime=192.11s | Method=fedcda
[Round 009/100] Acc=23.370 | RoundTime=24.39s | TotalTime=216.50s | Method=fedcda
[Round 010/100] Acc=31.680 | RoundTime=24.16s | TotalTime=240.66s | Method=fedcda
[Round 011/100] Acc=28.190 | RoundTime=26.20s | TotalTime=266.86s | Method=fedcda
[Round 012/100] Acc=21.290 | RoundTime=23.99s | TotalTime=290.85s | Method=fedcda
[Round 013/100] Acc=24.100 | RoundTime=24.37s | TotalTime=315.22s | Method=fedcda
[Round 014/100] Acc=22.300 | RoundTime=21.65s | TotalTime=336.88s | Method=fedcda
[Round 015/100] Acc=11.010 | RoundTime=21.36s | TotalTime=358.24s | Method=fedcda
[Round 016/100] Acc=30.690 | RoundTime=21.38s | TotalTime=379.63s | Method=fedcda
[Round 017/100] Acc=26.320 | RoundTime=21.29s | TotalTime=400.91s | Method=fedcda
[Round 018/100] Acc=21.930 | RoundTime=21.55s | TotalTime=422.46s | Method=fedcda
[Round 019/100] Acc=25.860 | RoundTime=21.21s | TotalTime=443.67s | Method=fedcda
[Round 020/100] Acc=15.320 | RoundTime=21.51s | TotalTime=465.18s | Method=fedcda
[Round 021/100] Acc=20.650 | RoundTime=21.45s | TotalTime=486.64s | Method=fedcda
[Round 022/100] Acc=26.170 | RoundTime=21.88s | TotalTime=508.52s | Method=fedcda
[Round 023/100] Acc=26.570 | RoundTime=22.01s | TotalTime=530.53s | Method=fedcda
[Round 024/100] Acc=21.690 | RoundTime=23.28s | TotalTime=553.81s | Method=fedcda
[Round 025/100] Acc=26.670 | RoundTime=22.06s | TotalTime=575.88s | Method=fedcda
[Round 026/100] Acc=26.130 | RoundTime=22.95s | TotalTime=598.83s | Method=fedcda
[Round 027/100] Acc=26.210 | RoundTime=21.97s | TotalTime=620.80s | Method=fedcda
[Round 028/100] Acc=14.570 | RoundTime=21.26s | TotalTime=642.05s | Method=fedcda
[Round 029/100] Acc=23.370 | RoundTime=21.74s | TotalTime=663.79s | Method=fedcda
[Round 030/100] Acc=32.670 | RoundTime=21.73s | TotalTime=685.52s | Method=fedcda
[Round 031/100] Acc=23.560 | RoundTime=21.70s | TotalTime=707.22s | Method=fedcda
[Round 032/100] Acc=26.220 | RoundTime=21.96s | TotalTime=729.19s | Method=fedcda
[Round 033/100] Acc=30.810 | RoundTime=21.67s | TotalTime=750.86s | Method=fedcda
[Round 034/100] Acc=28.250 | RoundTime=21.81s | TotalTime=772.67s | Method=fedcda
[Round 035/100] Acc=30.910 | RoundTime=21.91s | TotalTime=794.57s | Method=fedcda
[Round 036/100] Acc=28.730 | RoundTime=22.17s | TotalTime=816.74s | Method=fedcda
[Round 037/100] Acc=27.720 | RoundTime=23.57s | TotalTime=840.32s | Method=fedcda
[Round 038/100] Acc=29.180 | RoundTime=21.76s | TotalTime=862.08s | Method=fedcda
[Round 039/100] Acc=28.830 | RoundTime=22.10s | TotalTime=884.18s | Method=fedcda
[Round 040/100] Acc=32.070 | RoundTime=22.33s | TotalTime=906.51s | Method=fedcda
