====================================================================================================
Training started at: 2026-03-14 09:15:11
Result directory: results/fl_cifar100/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3/fedcda_fl_cifar100_20260314-091511.txt
Result log file : results/fl_cifar100/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3/fedcda_fl_cifar100_20260314-091511.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=44.18s | TotalTime=44.18s | Method=fedcda
[Round 002/100] Acc=1.000 | RoundTime=43.02s | TotalTime=87.20s | Method=fedcda
[Round 003/100] Acc=3.840 | RoundTime=46.74s | TotalTime=133.93s | Method=fedcda
[Round 004/100] Acc=6.720 | RoundTime=44.39s | TotalTime=178.32s | Method=fedcda
[Round 005/100] Acc=7.260 | RoundTime=43.92s | TotalTime=222.24s | Method=fedcda
[Round 006/100] Acc=4.460 | RoundTime=43.17s | TotalTime=265.41s | Method=fedcda
[Round 007/100] Acc=8.860 | RoundTime=44.53s | TotalTime=309.94s | Method=fedcda
[Round 008/100] Acc=9.290 | RoundTime=43.83s | TotalTime=353.77s | Method=fedcda
[Round 009/100] Acc=7.370 | RoundTime=45.36s | TotalTime=399.14s | Method=fedcda
[Round 010/100] Acc=7.730 | RoundTime=47.55s | TotalTime=446.68s | Method=fedcda
[Round 011/100] Acc=9.330 | RoundTime=45.84s | TotalTime=492.53s | Method=fedcda
[Round 012/100] Acc=8.360 | RoundTime=44.50s | TotalTime=537.03s | Method=fedcda
[Round 013/100] Acc=7.890 | RoundTime=45.54s | TotalTime=582.58s | Method=fedcda
[Round 014/100] Acc=8.430 | RoundTime=45.83s | TotalTime=628.40s | Method=fedcda
[Round 015/100] Acc=9.050 | RoundTime=45.20s | TotalTime=673.60s | Method=fedcda
[Round 016/100] Acc=10.550 | RoundTime=46.23s | TotalTime=719.83s | Method=fedcda
[Round 017/100] Acc=12.210 | RoundTime=45.86s | TotalTime=765.70s | Method=fedcda
[Round 018/100] Acc=12.270 | RoundTime=45.35s | TotalTime=811.05s | Method=fedcda
[Round 019/100] Acc=10.580 | RoundTime=46.08s | TotalTime=857.12s | Method=fedcda
[Round 020/100] Acc=12.040 | RoundTime=45.84s | TotalTime=902.97s | Method=fedcda
[Round 021/100] Acc=10.860 | RoundTime=46.88s | TotalTime=949.84s | Method=fedcda
[Round 022/100] Acc=12.170 | RoundTime=45.01s | TotalTime=994.85s | Method=fedcda
[Round 023/100] Acc=12.770 | RoundTime=43.01s | TotalTime=1037.86s | Method=fedcda
[Round 024/100] Acc=11.870 | RoundTime=48.75s | TotalTime=1086.61s | Method=fedcda
[Round 025/100] Acc=11.350 | RoundTime=44.73s | TotalTime=1131.35s | Method=fedcda
[Round 026/100] Acc=15.550 | RoundTime=44.08s | TotalTime=1175.43s | Method=fedcda
[Round 027/100] Acc=11.860 | RoundTime=44.38s | TotalTime=1219.81s | Method=fedcda
[Round 028/100] Acc=12.780 | RoundTime=45.80s | TotalTime=1265.62s | Method=fedcda
[Round 029/100] Acc=12.490 | RoundTime=43.38s | TotalTime=1309.00s | Method=fedcda
[Round 030/100] Acc=13.390 | RoundTime=44.78s | TotalTime=1353.78s | Method=fedcda
[Round 031/100] Acc=12.520 | RoundTime=44.68s | TotalTime=1398.46s | Method=fedcda
[Round 032/100] Acc=13.930 | RoundTime=43.53s | TotalTime=1441.99s | Method=fedcda
[Round 033/100] Acc=11.890 | RoundTime=43.36s | TotalTime=1485.35s | Method=fedcda
[Round 034/100] Acc=12.230 | RoundTime=44.64s | TotalTime=1529.99s | Method=fedcda
[Round 035/100] Acc=14.490 | RoundTime=43.93s | TotalTime=1573.92s | Method=fedcda
[Round 036/100] Acc=13.880 | RoundTime=44.53s | TotalTime=1618.45s | Method=fedcda
[Round 037/100] Acc=12.480 | RoundTime=45.59s | TotalTime=1664.05s | Method=fedcda
[Round 038/100] Acc=14.370 | RoundTime=43.34s | TotalTime=1707.39s | Method=fedcda
[Round 039/100] Acc=12.910 | RoundTime=43.69s | TotalTime=1751.08s | Method=fedcda
