====================================================================================================
Training started at: 2026-03-27 05:28:42
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-052842-048286_pid69401.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-052842-048286_pid69401.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=19.590 | RoundTime=28.75s | TotalTime=28.75s | Method=fedcda
[Round 002/100] Acc=36.890 | RoundTime=27.69s | TotalTime=56.44s | Method=fedcda
[Round 003/100] Acc=47.800 | RoundTime=27.95s | TotalTime=84.39s | Method=fedcda
[Round 004/100] Acc=44.190 | RoundTime=28.73s | TotalTime=113.13s | Method=fedcda
[Round 005/100] Acc=61.560 | RoundTime=30.35s | TotalTime=143.47s | Method=fedcda
[Round 006/100] Acc=47.850 | RoundTime=29.66s | TotalTime=173.13s | Method=fedcda
[Round 007/100] Acc=59.610 | RoundTime=29.22s | TotalTime=202.35s | Method=fedcda
[Round 008/100] Acc=60.930 | RoundTime=29.28s | TotalTime=231.63s | Method=fedcda
[Round 009/100] Acc=65.980 | RoundTime=28.99s | TotalTime=260.62s | Method=fedcda
[Round 010/100] Acc=60.420 | RoundTime=28.82s | TotalTime=289.43s | Method=fedcda
[Round 011/100] Acc=48.490 | RoundTime=28.07s | TotalTime=317.50s | Method=fedcda
[Round 012/100] Acc=69.980 | RoundTime=30.88s | TotalTime=348.38s | Method=fedcda
[Round 013/100] Acc=59.280 | RoundTime=30.08s | TotalTime=378.46s | Method=fedcda
[Round 014/100] Acc=72.470 | RoundTime=29.81s | TotalTime=408.27s | Method=fedcda
[Round 015/100] Acc=66.910 | RoundTime=29.64s | TotalTime=437.91s | Method=fedcda
[Round 016/100] Acc=68.140 | RoundTime=28.83s | TotalTime=466.74s | Method=fedcda
[Round 017/100] Acc=67.640 | RoundTime=28.70s | TotalTime=495.43s | Method=fedcda
[Round 018/100] Acc=67.100 | RoundTime=29.73s | TotalTime=525.16s | Method=fedcda
[Round 019/100] Acc=60.690 | RoundTime=30.03s | TotalTime=555.20s | Method=fedcda
[Round 020/100] Acc=56.030 | RoundTime=29.87s | TotalTime=585.07s | Method=fedcda
[Round 021/100] Acc=68.760 | RoundTime=32.29s | TotalTime=617.36s | Method=fedcda
[Round 022/100] Acc=58.050 | RoundTime=29.18s | TotalTime=646.53s | Method=fedcda
[Round 023/100] Acc=65.860 | RoundTime=30.22s | TotalTime=676.75s | Method=fedcda
[Round 024/100] Acc=61.990 | RoundTime=32.12s | TotalTime=708.88s | Method=fedcda
[Round 025/100] Acc=67.580 | RoundTime=30.44s | TotalTime=739.31s | Method=fedcda
[Round 026/100] Acc=62.550 | RoundTime=31.20s | TotalTime=770.52s | Method=fedcda
[Round 027/100] Acc=59.190 | RoundTime=29.55s | TotalTime=800.07s | Method=fedcda
[Round 028/100] Acc=66.960 | RoundTime=29.69s | TotalTime=829.75s | Method=fedcda
[Round 029/100] Acc=68.730 | RoundTime=30.92s | TotalTime=860.68s | Method=fedcda
[Round 030/100] Acc=57.780 | RoundTime=30.96s | TotalTime=891.63s | Method=fedcda
[Round 031/100] Acc=68.960 | RoundTime=30.26s | TotalTime=921.89s | Method=fedcda
[Round 032/100] Acc=58.590 | RoundTime=30.68s | TotalTime=952.57s | Method=fedcda
[Round 033/100] Acc=59.210 | RoundTime=30.93s | TotalTime=983.50s | Method=fedcda
[Round 034/100] Acc=56.030 | RoundTime=33.63s | TotalTime=1017.14s | Method=fedcda
[Round 035/100] Acc=65.830 | RoundTime=33.02s | TotalTime=1050.16s | Method=fedcda
[Round 036/100] Acc=61.810 | RoundTime=31.62s | TotalTime=1081.78s | Method=fedcda
[Round 037/100] Acc=60.910 | RoundTime=33.13s | TotalTime=1114.91s | Method=fedcda
[Round 038/100] Acc=67.510 | RoundTime=31.57s | TotalTime=1146.48s | Method=fedcda
[Round 039/100] Acc=49.300 | RoundTime=30.51s | TotalTime=1176.98s | Method=fedcda
[Round 040/100] Acc=70.670 | RoundTime=31.71s | TotalTime=1208.69s | Method=fedcda
[Round 041/100] Acc=57.480 | RoundTime=33.49s | TotalTime=1242.18s | Method=fedcda
[Round 042/100] Acc=63.530 | RoundTime=31.41s | TotalTime=1273.59s | Method=fedcda
[Round 043/100] Acc=53.890 | RoundTime=31.91s | TotalTime=1305.50s | Method=fedcda
[Round 044/100] Acc=54.090 | RoundTime=31.65s | TotalTime=1337.15s | Method=fedcda
[Round 045/100] Acc=59.410 | RoundTime=31.34s | TotalTime=1368.49s | Method=fedcda
[Round 046/100] Acc=55.070 | RoundTime=31.98s | TotalTime=1400.47s | Method=fedcda
[Round 047/100] Acc=58.100 | RoundTime=30.95s | TotalTime=1431.42s | Method=fedcda
[Round 048/100] Acc=51.960 | RoundTime=33.35s | TotalTime=1464.77s | Method=fedcda
[Round 049/100] Acc=57.060 | RoundTime=30.53s | TotalTime=1495.30s | Method=fedcda
[Round 050/100] Acc=59.050 | RoundTime=32.13s | TotalTime=1527.42s | Method=fedcda
[Round 051/100] Acc=60.670 | RoundTime=37.95s | TotalTime=1565.38s | Method=fedcda
[Round 052/100] Acc=62.530 | RoundTime=36.91s | TotalTime=1602.29s | Method=fedcda
[Round 053/100] Acc=63.440 | RoundTime=37.29s | TotalTime=1639.58s | Method=fedcda
[Round 054/100] Acc=64.770 | RoundTime=36.82s | TotalTime=1676.40s | Method=fedcda
[Round 055/100] Acc=65.430 | RoundTime=36.81s | TotalTime=1713.21s | Method=fedcda
[Round 056/100] Acc=61.800 | RoundTime=37.01s | TotalTime=1750.23s | Method=fedcda
[Round 057/100] Acc=61.210 | RoundTime=36.67s | TotalTime=1786.89s | Method=fedcda
[Round 058/100] Acc=61.320 | RoundTime=36.33s | TotalTime=1823.23s | Method=fedcda
[Round 059/100] Acc=61.650 | RoundTime=37.02s | TotalTime=1860.25s | Method=fedcda
[Round 060/100] Acc=61.190 | RoundTime=36.82s | TotalTime=1897.07s | Method=fedcda
[Round 061/100] Acc=61.420 | RoundTime=36.78s | TotalTime=1933.85s | Method=fedcda
[Round 062/100] Acc=55.380 | RoundTime=37.19s | TotalTime=1971.04s | Method=fedcda
[Round 063/100] Acc=55.040 | RoundTime=37.05s | TotalTime=2008.09s | Method=fedcda
[Round 064/100] Acc=54.930 | RoundTime=37.05s | TotalTime=2045.14s | Method=fedcda
[Round 065/100] Acc=54.360 | RoundTime=36.81s | TotalTime=2081.95s | Method=fedcda
[Round 066/100] Acc=54.080 | RoundTime=37.24s | TotalTime=2119.19s | Method=fedcda
[Round 067/100] Acc=53.900 | RoundTime=38.06s | TotalTime=2157.25s | Method=fedcda
[Round 068/100] Acc=53.280 | RoundTime=37.30s | TotalTime=2194.55s | Method=fedcda
[Round 069/100] Acc=52.880 | RoundTime=37.39s | TotalTime=2231.94s | Method=fedcda
[Round 070/100] Acc=52.760 | RoundTime=37.51s | TotalTime=2269.46s | Method=fedcda
[Round 071/100] Acc=52.510 | RoundTime=37.30s | TotalTime=2306.75s | Method=fedcda
[Round 072/100] Acc=52.440 | RoundTime=37.14s | TotalTime=2343.90s | Method=fedcda
[Round 073/100] Acc=52.900 | RoundTime=37.00s | TotalTime=2380.90s | Method=fedcda
[Round 074/100] Acc=52.830 | RoundTime=37.01s | TotalTime=2417.91s | Method=fedcda
[Round 075/100] Acc=52.910 | RoundTime=37.25s | TotalTime=2455.16s | Method=fedcda
[Round 076/100] Acc=56.910 | RoundTime=37.31s | TotalTime=2492.47s | Method=fedcda
[Round 077/100] Acc=56.620 | RoundTime=36.86s | TotalTime=2529.33s | Method=fedcda
[Round 078/100] Acc=56.660 | RoundTime=37.11s | TotalTime=2566.43s | Method=fedcda
[Round 079/100] Acc=56.620 | RoundTime=37.32s | TotalTime=2603.75s | Method=fedcda
[Round 080/100] Acc=56.420 | RoundTime=37.18s | TotalTime=2640.93s | Method=fedcda
[Round 081/100] Acc=56.300 | RoundTime=37.39s | TotalTime=2678.32s | Method=fedcda
[Round 082/100] Acc=56.260 | RoundTime=37.29s | TotalTime=2715.62s | Method=fedcda
[Round 083/100] Acc=56.320 | RoundTime=37.43s | TotalTime=2753.05s | Method=fedcda
[Round 084/100] Acc=55.970 | RoundTime=37.06s | TotalTime=2790.11s | Method=fedcda
[Round 085/100] Acc=55.890 | RoundTime=36.99s | TotalTime=2827.10s | Method=fedcda
[Round 086/100] Acc=55.770 | RoundTime=37.08s | TotalTime=2864.18s | Method=fedcda
[Round 087/100] Acc=55.340 | RoundTime=37.38s | TotalTime=2901.56s | Method=fedcda
[Round 088/100] Acc=55.090 | RoundTime=37.14s | TotalTime=2938.70s | Method=fedcda
[Round 089/100] Acc=55.560 | RoundTime=36.98s | TotalTime=2975.68s | Method=fedcda
[Round 090/100] Acc=55.530 | RoundTime=36.98s | TotalTime=3012.66s | Method=fedcda
[Round 091/100] Acc=55.540 | RoundTime=37.33s | TotalTime=3049.99s | Method=fedcda
[Round 092/100] Acc=55.640 | RoundTime=36.83s | TotalTime=3086.81s | Method=fedcda
[Round 093/100] Acc=56.000 | RoundTime=37.50s | TotalTime=3124.32s | Method=fedcda
[Round 094/100] Acc=56.580 | RoundTime=37.24s | TotalTime=3161.56s | Method=fedcda
[Round 095/100] Acc=56.640 | RoundTime=36.97s | TotalTime=3198.52s | Method=fedcda
[Round 096/100] Acc=56.730 | RoundTime=37.22s | TotalTime=3235.75s | Method=fedcda
[Round 097/100] Acc=62.860 | RoundTime=36.94s | TotalTime=3272.69s | Method=fedcda
[Round 098/100] Acc=62.860 | RoundTime=37.07s | TotalTime=3309.76s | Method=fedcda
[Round 099/100] Acc=62.740 | RoundTime=36.88s | TotalTime=3346.64s | Method=fedcda
[Round 100/100] Acc=62.400 | RoundTime=37.33s | TotalTime=3383.97s | Method=fedcda
====================================================================================================
Training finished at: 2026-03-27 06:25:06
Total elapsed time: 3383.97s
Final Acc: 62.400
Best Acc : 72.470
====================================================================================================
