====================================================================================================
Training started at: 2026-03-27 17:49:05
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-174905-784466_pid3104938.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-174905-784466_pid3104938.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=15.940 | RoundTime=23.84s | TotalTime=23.84s | Method=fedcda
[Round 002/100] Acc=27.500 | RoundTime=22.85s | TotalTime=46.68s | Method=fedcda
[Round 003/100] Acc=58.940 | RoundTime=23.07s | TotalTime=69.76s | Method=fedcda
[Round 004/100] Acc=61.040 | RoundTime=23.29s | TotalTime=93.05s | Method=fedcda
[Round 005/100] Acc=48.880 | RoundTime=23.21s | TotalTime=116.26s | Method=fedcda
[Round 006/100] Acc=62.320 | RoundTime=23.05s | TotalTime=139.30s | Method=fedcda
[Round 007/100] Acc=56.120 | RoundTime=22.92s | TotalTime=162.23s | Method=fedcda
[Round 008/100] Acc=45.450 | RoundTime=24.03s | TotalTime=186.26s | Method=fedcda
[Round 009/100] Acc=65.000 | RoundTime=23.64s | TotalTime=209.90s | Method=fedcda
[Round 010/100] Acc=66.100 | RoundTime=23.97s | TotalTime=233.86s | Method=fedcda
[Round 011/100] Acc=64.170 | RoundTime=23.87s | TotalTime=257.74s | Method=fedcda
[Round 012/100] Acc=71.470 | RoundTime=24.16s | TotalTime=281.90s | Method=fedcda
[Round 013/100] Acc=58.070 | RoundTime=24.34s | TotalTime=306.23s | Method=fedcda
[Round 014/100] Acc=61.550 | RoundTime=24.11s | TotalTime=330.35s | Method=fedcda
[Round 015/100] Acc=59.320 | RoundTime=23.74s | TotalTime=354.09s | Method=fedcda
[Round 016/100] Acc=56.470 | RoundTime=23.98s | TotalTime=378.07s | Method=fedcda
[Round 017/100] Acc=69.860 | RoundTime=23.84s | TotalTime=401.91s | Method=fedcda
[Round 018/100] Acc=55.760 | RoundTime=24.03s | TotalTime=425.95s | Method=fedcda
[Round 019/100] Acc=49.050 | RoundTime=24.48s | TotalTime=450.43s | Method=fedcda
