====================================================================================================
Training started at: 2026-03-27 06:02:02
Result directory: results/fl_svhn/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_svhn_20260327-060202-403029_pid652971.txt
Result log file : results/fl_svhn/fedrdn/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedrdn_fl_svhn_20260327-060202-403029_pid652971.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 055/100] Acc=74.180 | RoundTime=28.28s | TotalTime=1555.11s | Method=fedrdn
[Round 056/100] Acc=73.520 | RoundTime=28.07s | TotalTime=1583.18s | Method=fedrdn
[Round 057/100] Acc=75.840 | RoundTime=27.22s | TotalTime=1610.40s | Method=fedrdn
[Round 058/100] Acc=74.470 | RoundTime=28.92s | TotalTime=1639.31s | Method=fedrdn
[Round 059/100] Acc=77.110 | RoundTime=26.16s | TotalTime=1665.47s | Method=fedrdn
[Round 060/100] Acc=72.900 | RoundTime=27.90s | TotalTime=1693.37s | Method=fedrdn
[Round 061/100] Acc=74.240 | RoundTime=27.48s | TotalTime=1720.85s | Method=fedrdn
[Round 062/100] Acc=76.190 | RoundTime=28.77s | TotalTime=1749.62s | Method=fedrdn
[Round 063/100] Acc=74.100 | RoundTime=28.65s | TotalTime=1778.27s | Method=fedrdn
[Round 064/100] Acc=77.660 | RoundTime=27.99s | TotalTime=1806.26s | Method=fedrdn
[Round 065/100] Acc=76.620 | RoundTime=30.46s | TotalTime=1836.72s | Method=fedrdn
[Round 066/100] Acc=77.490 | RoundTime=28.94s | TotalTime=1865.66s | Method=fedrdn
[Round 067/100] Acc=77.090 | RoundTime=28.86s | TotalTime=1894.52s | Method=fedrdn
[Round 068/100] Acc=78.260 | RoundTime=28.80s | TotalTime=1923.32s | Method=fedrdn
[Round 069/100] Acc=75.910 | RoundTime=27.23s | TotalTime=1950.55s | Method=fedrdn
[Round 070/100] Acc=76.580 | RoundTime=29.67s | TotalTime=1980.22s | Method=fedrdn
[Round 071/100] Acc=77.130 | RoundTime=28.19s | TotalTime=2008.41s | Method=fedrdn
[Round 072/100] Acc=76.430 | RoundTime=28.51s | TotalTime=2036.92s | Method=fedrdn
[Round 073/100] Acc=73.640 | RoundTime=27.66s | TotalTime=2064.58s | Method=fedrdn
[Round 074/100] Acc=76.280 | RoundTime=28.69s | TotalTime=2093.28s | Method=fedrdn
[Round 075/100] Acc=77.770 | RoundTime=26.81s | TotalTime=2120.09s | Method=fedrdn
[Round 076/100] Acc=77.300 | RoundTime=27.58s | TotalTime=2147.67s | Method=fedrdn
[Round 077/100] Acc=74.340 | RoundTime=29.35s | TotalTime=2177.02s | Method=fedrdn
[Round 078/100] Acc=75.000 | RoundTime=27.80s | TotalTime=2204.82s | Method=fedrdn
[Round 079/100] Acc=74.060 | RoundTime=27.00s | TotalTime=2231.82s | Method=fedrdn
[Round 080/100] Acc=76.740 | RoundTime=26.70s | TotalTime=2258.52s | Method=fedrdn
[Round 081/100] Acc=75.050 | RoundTime=28.66s | TotalTime=2287.18s | Method=fedrdn
[Round 082/100] Acc=74.040 | RoundTime=28.90s | TotalTime=2316.08s | Method=fedrdn
[Round 083/100] Acc=74.860 | RoundTime=27.09s | TotalTime=2343.17s | Method=fedrdn
[Round 084/100] Acc=72.440 | RoundTime=25.71s | TotalTime=2368.89s | Method=fedrdn
[Round 085/100] Acc=74.570 | RoundTime=27.86s | TotalTime=2396.75s | Method=fedrdn
[Round 086/100] Acc=76.550 | RoundTime=27.07s | TotalTime=2423.82s | Method=fedrdn
[Round 087/100] Acc=76.550 | RoundTime=27.46s | TotalTime=2451.28s | Method=fedrdn
[Round 088/100] Acc=74.870 | RoundTime=28.47s | TotalTime=2479.74s | Method=fedrdn
[Round 089/100] Acc=76.180 | RoundTime=27.99s | TotalTime=2507.74s | Method=fedrdn
[Round 090/100] Acc=76.460 | RoundTime=26.95s | TotalTime=2534.69s | Method=fedrdn
[Round 091/100] Acc=76.120 | RoundTime=28.52s | TotalTime=2563.21s | Method=fedrdn
[Round 092/100] Acc=74.020 | RoundTime=29.62s | TotalTime=2592.83s | Method=fedrdn
[Round 093/100] Acc=74.720 | RoundTime=29.37s | TotalTime=2622.20s | Method=fedrdn
[Round 094/100] Acc=73.470 | RoundTime=26.12s | TotalTime=2648.32s | Method=fedrdn
[Round 095/100] Acc=75.340 | RoundTime=27.80s | TotalTime=2676.12s | Method=fedrdn
[Round 096/100] Acc=72.340 | RoundTime=27.66s | TotalTime=2703.78s | Method=fedrdn
[Round 097/100] Acc=71.780 | RoundTime=27.69s | TotalTime=2731.47s | Method=fedrdn
[Round 098/100] Acc=73.180 | RoundTime=27.48s | TotalTime=2758.95s | Method=fedrdn
[Round 099/100] Acc=75.380 | RoundTime=29.93s | TotalTime=2788.88s | Method=fedrdn
[Round 100/100] Acc=76.600 | RoundTime=27.59s | TotalTime=2816.47s | Method=fedrdn
====================================================================================================
Training finished at: 2026-03-27 06:48:58
Total elapsed time: 2816.47s
Final Acc: 76.600
Best Acc : 79.670
====================================================================================================
