====================================================================================================
Training started at: 2026-03-14 08:47:22
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3/fedcda_fl_cifar10_20260314-084722.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3/fedcda_fl_cifar10_20260314-084722.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=42.41s | TotalTime=42.41s | Method=fedcda
[Round 002/100] Acc=10.010 | RoundTime=43.08s | TotalTime=85.49s | Method=fedcda
[Round 003/100] Acc=29.940 | RoundTime=42.42s | TotalTime=127.92s | Method=fedcda
[Round 004/100] Acc=31.060 | RoundTime=42.08s | TotalTime=170.00s | Method=fedcda
[Round 005/100] Acc=28.760 | RoundTime=41.70s | TotalTime=211.70s | Method=fedcda
[Round 006/100] Acc=30.440 | RoundTime=41.68s | TotalTime=253.38s | Method=fedcda
[Round 007/100] Acc=28.880 | RoundTime=43.19s | TotalTime=296.57s | Method=fedcda
[Round 008/100] Acc=30.250 | RoundTime=44.36s | TotalTime=340.93s | Method=fedcda
[Round 009/100] Acc=24.620 | RoundTime=42.59s | TotalTime=383.52s | Method=fedcda
[Round 010/100] Acc=34.130 | RoundTime=45.11s | TotalTime=428.63s | Method=fedcda
[Round 011/100] Acc=30.300 | RoundTime=44.12s | TotalTime=472.75s | Method=fedcda
[Round 012/100] Acc=32.340 | RoundTime=45.18s | TotalTime=517.93s | Method=fedcda
[Round 013/100] Acc=26.500 | RoundTime=44.70s | TotalTime=562.63s | Method=fedcda
[Round 014/100] Acc=26.280 | RoundTime=44.95s | TotalTime=607.57s | Method=fedcda
[Round 015/100] Acc=36.790 | RoundTime=45.02s | TotalTime=652.59s | Method=fedcda
[Round 016/100] Acc=29.680 | RoundTime=44.36s | TotalTime=696.95s | Method=fedcda
[Round 017/100] Acc=35.470 | RoundTime=43.33s | TotalTime=740.28s | Method=fedcda
[Round 018/100] Acc=33.150 | RoundTime=44.07s | TotalTime=784.35s | Method=fedcda
[Round 019/100] Acc=28.960 | RoundTime=45.73s | TotalTime=830.09s | Method=fedcda
[Round 020/100] Acc=31.400 | RoundTime=44.27s | TotalTime=874.35s | Method=fedcda
[Round 021/100] Acc=33.960 | RoundTime=44.62s | TotalTime=918.97s | Method=fedcda
[Round 022/100] Acc=29.960 | RoundTime=44.97s | TotalTime=963.94s | Method=fedcda
[Round 023/100] Acc=32.720 | RoundTime=47.25s | TotalTime=1011.20s | Method=fedcda
[Round 024/100] Acc=32.390 | RoundTime=44.51s | TotalTime=1055.71s | Method=fedcda
[Round 025/100] Acc=27.910 | RoundTime=44.85s | TotalTime=1100.56s | Method=fedcda
[Round 026/100] Acc=37.240 | RoundTime=43.98s | TotalTime=1144.54s | Method=fedcda
[Round 027/100] Acc=35.820 | RoundTime=44.22s | TotalTime=1188.76s | Method=fedcda
[Round 028/100] Acc=28.480 | RoundTime=45.01s | TotalTime=1233.77s | Method=fedcda
[Round 029/100] Acc=32.920 | RoundTime=44.29s | TotalTime=1278.06s | Method=fedcda
[Round 030/100] Acc=31.670 | RoundTime=43.70s | TotalTime=1321.75s | Method=fedcda
[Round 031/100] Acc=36.380 | RoundTime=44.33s | TotalTime=1366.08s | Method=fedcda
[Round 032/100] Acc=34.570 | RoundTime=44.89s | TotalTime=1410.97s | Method=fedcda
[Round 033/100] Acc=33.510 | RoundTime=45.13s | TotalTime=1456.10s | Method=fedcda
[Round 034/100] Acc=27.800 | RoundTime=42.95s | TotalTime=1499.05s | Method=fedcda
