====================================================================================================
Training started at: 2026-03-14 09:23:51
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_cifar100_20260314-092351.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_cifar100_20260314-092351.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.001
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=93.67s | TotalTime=93.67s | Method=fedprox
[Round 002/100] Acc=1.550 | RoundTime=92.63s | TotalTime=186.30s | Method=fedprox
[Round 003/100] Acc=4.480 | RoundTime=93.31s | TotalTime=279.61s | Method=fedprox
[Round 004/100] Acc=6.380 | RoundTime=92.03s | TotalTime=371.64s | Method=fedprox
[Round 005/100] Acc=9.170 | RoundTime=91.12s | TotalTime=462.76s | Method=fedprox
[Round 006/100] Acc=9.500 | RoundTime=91.61s | TotalTime=554.36s | Method=fedprox
[Round 007/100] Acc=10.200 | RoundTime=92.59s | TotalTime=646.96s | Method=fedprox
[Round 008/100] Acc=10.830 | RoundTime=92.09s | TotalTime=739.05s | Method=fedprox
[Round 009/100] Acc=10.790 | RoundTime=92.37s | TotalTime=831.42s | Method=fedprox
[Round 010/100] Acc=12.680 | RoundTime=92.82s | TotalTime=924.24s | Method=fedprox
[Round 011/100] Acc=12.550 | RoundTime=92.62s | TotalTime=1016.85s | Method=fedprox
[Round 012/100] Acc=12.800 | RoundTime=91.86s | TotalTime=1108.71s | Method=fedprox
[Round 013/100] Acc=12.920 | RoundTime=92.10s | TotalTime=1200.82s | Method=fedprox
[Round 014/100] Acc=13.110 | RoundTime=91.87s | TotalTime=1292.69s | Method=fedprox
[Round 015/100] Acc=13.500 | RoundTime=91.28s | TotalTime=1383.97s | Method=fedprox
[Round 016/100] Acc=13.950 | RoundTime=90.94s | TotalTime=1474.91s | Method=fedprox
[Round 017/100] Acc=13.270 | RoundTime=91.68s | TotalTime=1566.59s | Method=fedprox
[Round 018/100] Acc=14.800 | RoundTime=90.98s | TotalTime=1657.57s | Method=fedprox
