====================================================================================================
Training started at: 2026-03-27 08:07:13
Result directory: results/fl_svhn/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.8_nt-symmetric_st-least_sim_dr-0.85
Result txt file : results/fl_svhn/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.8_nt-symmetric_st-least_sim_dr-0.85/feddenoise_fl_svhn_20260327-080713-215026_pid1743035.txt
Result log file : results/fl_svhn/feddenoise/pm-dir_a-0.3_nm-uni_nr-0.8_nt-symmetric_st-least_sim_dr-0.85/feddenoise_fl_svhn_20260327-080713-215026_pid1743035.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.8
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.85
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=6.130 | Pure=20.000 | RoundTime=28.91s | TotalTime=28.91s | Method=feddenoise
[Round 002/100] Acc=19.590 | Pure=20.044 | RoundTime=27.56s | TotalTime=56.47s | Method=feddenoise
[Round 003/100] Acc=13.930 | Pure=20.066 | RoundTime=28.88s | TotalTime=85.35s | Method=feddenoise
[Round 004/100] Acc=25.290 | Pure=20.082 | RoundTime=29.35s | TotalTime=114.70s | Method=feddenoise
[Round 005/100] Acc=21.770 | Pure=20.035 | RoundTime=29.30s | TotalTime=144.00s | Method=feddenoise
[Round 006/100] Acc=19.400 | Pure=20.105 | RoundTime=27.70s | TotalTime=171.70s | Method=feddenoise
[Round 007/100] Acc=19.410 | Pure=20.074 | RoundTime=28.25s | TotalTime=199.95s | Method=feddenoise
[Round 008/100] Acc=22.560 | Pure=20.043 | RoundTime=29.17s | TotalTime=229.12s | Method=feddenoise
[Round 009/100] Acc=22.120 | Pure=20.060 | RoundTime=29.25s | TotalTime=258.37s | Method=feddenoise
[Round 010/100] Acc=19.980 | Pure=20.071 | RoundTime=28.47s | TotalTime=286.84s | Method=feddenoise
[Round 011/100] Acc=25.020 | Pure=26.400 | RoundTime=36.89s | TotalTime=323.73s | Method=feddenoise
[Round 012/100] Acc=25.410 | Pure=27.042 | RoundTime=34.27s | TotalTime=358.00s | Method=feddenoise
[Round 013/100] Acc=27.290 | Pure=32.658 | RoundTime=40.11s | TotalTime=398.11s | Method=feddenoise
[Round 014/100] Acc=26.260 | Pure=31.367 | RoundTime=34.51s | TotalTime=432.62s | Method=feddenoise
[Round 015/100] Acc=23.940 | Pure=22.492 | RoundTime=37.69s | TotalTime=470.31s | Method=feddenoise
[Round 016/100] Acc=23.450 | Pure=23.667 | RoundTime=39.62s | TotalTime=509.93s | Method=feddenoise
[Round 017/100] Acc=27.050 | Pure=25.175 | RoundTime=34.29s | TotalTime=544.22s | Method=feddenoise
[Round 018/100] Acc=28.230 | Pure=29.308 | RoundTime=37.16s | TotalTime=581.38s | Method=feddenoise
[Round 019/100] Acc=26.550 | Pure=27.300 | RoundTime=37.17s | TotalTime=618.55s | Method=feddenoise
[Round 020/100] Acc=26.270 | Pure=28.842 | RoundTime=37.94s | TotalTime=656.49s | Method=feddenoise
[Round 021/100] Acc=26.160 | Pure=27.775 | RoundTime=39.60s | TotalTime=696.09s | Method=feddenoise
[Round 022/100] Acc=24.500 | Pure=27.317 | RoundTime=34.70s | TotalTime=730.79s | Method=feddenoise
[Round 023/100] Acc=24.090 | Pure=26.017 | RoundTime=33.34s | TotalTime=764.13s | Method=feddenoise
[Round 024/100] Acc=24.330 | Pure=28.275 | RoundTime=39.64s | TotalTime=803.77s | Method=feddenoise
[Round 025/100] Acc=24.990 | Pure=27.092 | RoundTime=37.26s | TotalTime=841.03s | Method=feddenoise
[Round 026/100] Acc=23.940 | Pure=29.925 | RoundTime=36.18s | TotalTime=877.21s | Method=feddenoise
[Round 027/100] Acc=23.730 | Pure=30.442 | RoundTime=35.75s | TotalTime=912.96s | Method=feddenoise
[Round 028/100] Acc=24.580 | Pure=30.975 | RoundTime=40.32s | TotalTime=953.27s | Method=feddenoise
[Round 029/100] Acc=25.060 | Pure=30.367 | RoundTime=39.12s | TotalTime=992.40s | Method=feddenoise
[Round 030/100] Acc=23.730 | Pure=29.608 | RoundTime=39.42s | TotalTime=1031.82s | Method=feddenoise
[Round 031/100] Acc=29.950 | Pure=38.583 | RoundTime=40.26s | TotalTime=1072.07s | Method=feddenoise
[Round 032/100] Acc=29.260 | Pure=31.833 | RoundTime=35.83s | TotalTime=1107.90s | Method=feddenoise
[Round 033/100] Acc=30.010 | Pure=38.975 | RoundTime=37.74s | TotalTime=1145.65s | Method=feddenoise
[Round 034/100] Acc=28.100 | Pure=36.717 | RoundTime=39.35s | TotalTime=1185.00s | Method=feddenoise
[Round 035/100] Acc=28.130 | Pure=28.783 | RoundTime=40.00s | TotalTime=1225.01s | Method=feddenoise
[Round 036/100] Acc=28.290 | Pure=40.275 | RoundTime=38.83s | TotalTime=1263.83s | Method=feddenoise
[Round 037/100] Acc=28.630 | Pure=39.650 | RoundTime=36.16s | TotalTime=1299.99s | Method=feddenoise
[Round 038/100] Acc=29.760 | Pure=44.650 | RoundTime=39.54s | TotalTime=1339.54s | Method=feddenoise
[Round 039/100] Acc=29.500 | Pure=39.042 | RoundTime=38.94s | TotalTime=1378.47s | Method=feddenoise
[Round 040/100] Acc=29.140 | Pure=37.025 | RoundTime=39.85s | TotalTime=1418.32s | Method=feddenoise
[Round 041/100] Acc=30.790 | Pure=39.867 | RoundTime=39.98s | TotalTime=1458.30s | Method=feddenoise
[Round 042/100] Acc=30.810 | Pure=41.992 | RoundTime=39.83s | TotalTime=1498.13s | Method=feddenoise
[Round 043/100] Acc=32.280 | Pure=39.158 | RoundTime=37.37s | TotalTime=1535.50s | Method=feddenoise
[Round 044/100] Acc=30.640 | Pure=27.158 | RoundTime=38.64s | TotalTime=1574.15s | Method=feddenoise
[Round 045/100] Acc=31.990 | Pure=41.458 | RoundTime=39.74s | TotalTime=1613.88s | Method=feddenoise
[Round 046/100] Acc=32.220 | Pure=38.767 | RoundTime=38.05s | TotalTime=1651.93s | Method=feddenoise
[Round 047/100] Acc=32.780 | Pure=39.267 | RoundTime=41.40s | TotalTime=1693.33s | Method=feddenoise
[Round 048/100] Acc=32.010 | Pure=41.908 | RoundTime=36.81s | TotalTime=1730.13s | Method=feddenoise
[Round 049/100] Acc=32.530 | Pure=44.217 | RoundTime=35.18s | TotalTime=1765.32s | Method=feddenoise
[Round 050/100] Acc=30.970 | Pure=36.633 | RoundTime=41.02s | TotalTime=1806.34s | Method=feddenoise
[Round 051/100] Acc=32.490 | Pure=35.200 | RoundTime=38.91s | TotalTime=1845.25s | Method=feddenoise
[Round 052/100] Acc=34.810 | Pure=44.883 | RoundTime=36.99s | TotalTime=1882.23s | Method=feddenoise
[Round 053/100] Acc=33.890 | Pure=34.833 | RoundTime=34.24s | TotalTime=1916.47s | Method=feddenoise
[Round 054/100] Acc=35.480 | Pure=44.325 | RoundTime=37.32s | TotalTime=1953.79s | Method=feddenoise
[Round 055/100] Acc=33.290 | Pure=37.817 | RoundTime=37.97s | TotalTime=1991.76s | Method=feddenoise
[Round 056/100] Acc=33.570 | Pure=44.742 | RoundTime=39.45s | TotalTime=2031.21s | Method=feddenoise
[Round 057/100] Acc=33.960 | Pure=38.742 | RoundTime=32.83s | TotalTime=2064.05s | Method=feddenoise
[Round 058/100] Acc=32.530 | Pure=39.492 | RoundTime=39.50s | TotalTime=2103.54s | Method=feddenoise
[Round 059/100] Acc=33.820 | Pure=46.808 | RoundTime=38.18s | TotalTime=2141.73s | Method=feddenoise
[Round 060/100] Acc=35.600 | Pure=45.250 | RoundTime=37.92s | TotalTime=2179.65s | Method=feddenoise
[Round 061/100] Acc=37.740 | Pure=48.283 | RoundTime=39.31s | TotalTime=2218.96s | Method=feddenoise
[Round 062/100] Acc=36.480 | Pure=38.775 | RoundTime=39.49s | TotalTime=2258.45s | Method=feddenoise
[Round 063/100] Acc=37.250 | Pure=46.875 | RoundTime=35.53s | TotalTime=2293.97s | Method=feddenoise
[Round 064/100] Acc=37.150 | Pure=48.225 | RoundTime=40.10s | TotalTime=2334.07s | Method=feddenoise
[Round 065/100] Acc=37.410 | Pure=46.892 | RoundTime=34.05s | TotalTime=2368.12s | Method=feddenoise
[Round 066/100] Acc=37.170 | Pure=43.900 | RoundTime=33.97s | TotalTime=2402.09s | Method=feddenoise
[Round 067/100] Acc=37.600 | Pure=42.617 | RoundTime=37.50s | TotalTime=2439.59s | Method=feddenoise
[Round 068/100] Acc=38.360 | Pure=46.708 | RoundTime=37.12s | TotalTime=2476.71s | Method=feddenoise
[Round 069/100] Acc=39.040 | Pure=48.208 | RoundTime=40.31s | TotalTime=2517.02s | Method=feddenoise
[Round 070/100] Acc=38.450 | Pure=45.300 | RoundTime=33.19s | TotalTime=2550.21s | Method=feddenoise
[Round 071/100] Acc=38.540 | Pure=41.967 | RoundTime=33.97s | TotalTime=2584.17s | Method=feddenoise
[Round 072/100] Acc=38.390 | Pure=49.650 | RoundTime=36.81s | TotalTime=2620.98s | Method=feddenoise
[Round 073/100] Acc=38.120 | Pure=51.233 | RoundTime=37.05s | TotalTime=2658.03s | Method=feddenoise
[Round 074/100] Acc=39.250 | Pure=43.850 | RoundTime=37.61s | TotalTime=2695.64s | Method=feddenoise
[Round 075/100] Acc=39.510 | Pure=53.533 | RoundTime=36.48s | TotalTime=2732.12s | Method=feddenoise
[Round 076/100] Acc=38.880 | Pure=43.858 | RoundTime=35.55s | TotalTime=2767.67s | Method=feddenoise
[Round 077/100] Acc=39.370 | Pure=52.883 | RoundTime=34.60s | TotalTime=2802.26s | Method=feddenoise
[Round 078/100] Acc=38.770 | Pure=49.208 | RoundTime=38.65s | TotalTime=2840.91s | Method=feddenoise
[Round 079/100] Acc=39.930 | Pure=46.708 | RoundTime=39.16s | TotalTime=2880.07s | Method=feddenoise
[Round 080/100] Acc=38.080 | Pure=41.325 | RoundTime=38.24s | TotalTime=2918.30s | Method=feddenoise
[Round 081/100] Acc=38.830 | Pure=44.008 | RoundTime=39.39s | TotalTime=2957.70s | Method=feddenoise
[Round 082/100] Acc=36.940 | Pure=43.250 | RoundTime=38.39s | TotalTime=2996.08s | Method=feddenoise
[Round 083/100] Acc=36.670 | Pure=45.742 | RoundTime=39.06s | TotalTime=3035.14s | Method=feddenoise
[Round 084/100] Acc=36.460 | Pure=45.817 | RoundTime=38.58s | TotalTime=3073.72s | Method=feddenoise
[Round 085/100] Acc=37.590 | Pure=41.575 | RoundTime=39.72s | TotalTime=3113.45s | Method=feddenoise
[Round 086/100] Acc=36.820 | Pure=47.717 | RoundTime=39.21s | TotalTime=3152.66s | Method=feddenoise
[Round 087/100] Acc=36.820 | Pure=42.333 | RoundTime=37.49s | TotalTime=3190.14s | Method=feddenoise
[Round 088/100] Acc=35.970 | Pure=39.092 | RoundTime=39.18s | TotalTime=3229.32s | Method=feddenoise
[Round 089/100] Acc=36.180 | Pure=38.550 | RoundTime=40.03s | TotalTime=3269.35s | Method=feddenoise
[Round 090/100] Acc=36.720 | Pure=50.742 | RoundTime=41.24s | TotalTime=3310.59s | Method=feddenoise
[Round 091/100] Acc=37.620 | Pure=42.350 | RoundTime=38.41s | TotalTime=3349.00s | Method=feddenoise
[Round 092/100] Acc=38.600 | Pure=51.433 | RoundTime=39.05s | TotalTime=3388.05s | Method=feddenoise
[Round 093/100] Acc=38.650 | Pure=37.983 | RoundTime=39.32s | TotalTime=3427.37s | Method=feddenoise
[Round 094/100] Acc=38.250 | Pure=44.483 | RoundTime=39.42s | TotalTime=3466.78s | Method=feddenoise
[Round 095/100] Acc=39.850 | Pure=52.842 | RoundTime=38.47s | TotalTime=3505.25s | Method=feddenoise
[Round 096/100] Acc=38.990 | Pure=56.892 | RoundTime=39.39s | TotalTime=3544.64s | Method=feddenoise
[Round 097/100] Acc=38.690 | Pure=52.225 | RoundTime=38.28s | TotalTime=3582.92s | Method=feddenoise
[Round 098/100] Acc=38.580 | Pure=41.150 | RoundTime=38.92s | TotalTime=3621.85s | Method=feddenoise
[Round 099/100] Acc=38.760 | Pure=53.008 | RoundTime=38.71s | TotalTime=3660.56s | Method=feddenoise
[Round 100/100] Acc=38.400 | Pure=40.900 | RoundTime=34.74s | TotalTime=3695.30s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-27 09:08:48
Total elapsed time: 3695.30s
Final Acc: 38.400
Best Acc : 39.930
Final Pure: 40.900
Best Pure : 56.892
====================================================================================================
