========================================================================================================================
Training started at: 2026-04-10 08:20:32
Result directory: results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_svhn_20260410-082032-186142_pid3686835.txt
Result log file : results/fl_svhn/fedgloss/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_svhn_20260410-082032-186142_pid3686835.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 042/100] Phase=standard | Stage=warmup | Acc=46.690 | RoundTime=238.13s | TotalTime=9920.92s | Method=fedgloss
[Round 043/100] Phase=standard | Stage=warmup | Acc=47.190 | RoundTime=236.95s | TotalTime=10157.88s | Method=fedgloss
[Round 044/100] Phase=standard | Stage=warmup | Acc=47.430 | RoundTime=236.92s | TotalTime=10394.81s | Method=fedgloss
[Round 045/100] Phase=standard | Stage=warmup | Acc=46.370 | RoundTime=238.94s | TotalTime=10633.76s | Method=fedgloss
[Round 046/100] Phase=standard | Stage=warmup | Acc=46.450 | RoundTime=235.64s | TotalTime=10869.41s | Method=fedgloss
[Round 047/100] Phase=standard | Stage=warmup | Acc=46.040 | RoundTime=236.31s | TotalTime=11105.72s | Method=fedgloss
[Round 048/100] Phase=standard | Stage=warmup | Acc=45.770 | RoundTime=235.65s | TotalTime=11341.38s | Method=fedgloss
[Round 049/100] Phase=standard | Stage=warmup | Acc=45.710 | RoundTime=235.18s | TotalTime=11576.58s | Method=fedgloss
[Round 050/100] Phase=standard | Stage=warmup | Acc=46.110 | RoundTime=234.18s | TotalTime=11810.76s | Method=fedgloss
[Round 051/100] Phase=standard | Stage=warmup | Acc=46.270 | RoundTime=236.64s | TotalTime=12047.42s | Method=fedgloss
[Round 052/100] Phase=standard | Stage=warmup | Acc=45.210 | RoundTime=235.94s | TotalTime=12283.37s | Method=fedgloss
[Round 053/100] Phase=standard | Stage=warmup | Acc=45.040 | RoundTime=237.65s | TotalTime=12521.03s | Method=fedgloss
[Round 054/100] Phase=standard | Stage=warmup | Acc=45.860 | RoundTime=237.67s | TotalTime=12758.70s | Method=fedgloss
[Round 055/100] Phase=standard | Stage=warmup | Acc=45.570 | RoundTime=236.92s | TotalTime=12995.64s | Method=fedgloss
[Round 056/100] Phase=standard | Stage=warmup | Acc=45.700 | RoundTime=237.57s | TotalTime=13233.21s | Method=fedgloss
[Round 057/100] Phase=standard | Stage=warmup | Acc=45.940 | RoundTime=235.19s | TotalTime=13468.42s | Method=fedgloss
[Round 058/100] Phase=standard | Stage=warmup | Acc=45.300 | RoundTime=235.64s | TotalTime=13704.06s | Method=fedgloss
[Round 059/100] Phase=standard | Stage=warmup | Acc=45.050 | RoundTime=235.35s | TotalTime=13939.42s | Method=fedgloss
[Round 060/100] Phase=standard | Stage=warmup | Acc=45.570 | RoundTime=237.06s | TotalTime=14176.49s | Method=fedgloss
[Round 061/100] Phase=standard | Stage=warmup | Acc=45.840 | RoundTime=236.91s | TotalTime=14413.42s | Method=fedgloss
[Round 062/100] Phase=standard | Stage=warmup | Acc=45.650 | RoundTime=237.60s | TotalTime=14651.03s | Method=fedgloss
[Round 063/100] Phase=standard | Stage=warmup | Acc=45.850 | RoundTime=236.48s | TotalTime=14887.51s | Method=fedgloss
[Round 064/100] Phase=standard | Stage=warmup | Acc=45.370 | RoundTime=237.15s | TotalTime=15124.68s | Method=fedgloss
[Round 065/100] Phase=standard | Stage=warmup | Acc=44.660 | RoundTime=235.90s | TotalTime=15360.59s | Method=fedgloss
[Round 066/100] Phase=standard | Stage=warmup | Acc=45.020 | RoundTime=235.65s | TotalTime=15596.25s | Method=fedgloss
[Round 067/100] Phase=standard | Stage=warmup | Acc=46.040 | RoundTime=236.34s | TotalTime=15832.60s | Method=fedgloss
[Round 068/100] Phase=standard | Stage=warmup | Acc=45.760 | RoundTime=236.67s | TotalTime=16069.28s | Method=fedgloss
[Round 069/100] Phase=standard | Stage=warmup | Acc=45.500 | RoundTime=237.12s | TotalTime=16306.41s | Method=fedgloss
