====================================================================================================
Training started at: 2026-03-14 09:48:57
Result directory: results/fl_cifar10/fedavg/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedavg/pm-dir_a-0.5_nm-uni_nr-0.3/fedavg_fl_cifar10_20260314-094857.txt
Result log file : results/fl_cifar10/fedavg/pm-dir_a-0.5_nm-uni_nr-0.3/fedavg_fl_cifar10_20260314-094857.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 057/100] Acc=48.190 | RoundTime=42.43s | TotalTime=2360.91s | Method=fedavg
[Round 058/100] Acc=48.720 | RoundTime=41.61s | TotalTime=2402.52s | Method=fedavg
[Round 059/100] Acc=47.760 | RoundTime=41.96s | TotalTime=2444.48s | Method=fedavg
[Round 060/100] Acc=51.510 | RoundTime=41.50s | TotalTime=2485.98s | Method=fedavg
[Round 061/100] Acc=46.560 | RoundTime=43.11s | TotalTime=2529.08s | Method=fedavg
[Round 062/100] Acc=51.460 | RoundTime=41.73s | TotalTime=2570.81s | Method=fedavg
[Round 063/100] Acc=50.580 | RoundTime=40.91s | TotalTime=2611.72s | Method=fedavg
[Round 064/100] Acc=48.930 | RoundTime=41.82s | TotalTime=2653.54s | Method=fedavg
[Round 065/100] Acc=50.900 | RoundTime=41.18s | TotalTime=2694.72s | Method=fedavg
[Round 066/100] Acc=48.500 | RoundTime=42.43s | TotalTime=2737.15s | Method=fedavg
[Round 067/100] Acc=51.510 | RoundTime=42.77s | TotalTime=2779.92s | Method=fedavg
[Round 068/100] Acc=49.730 | RoundTime=41.57s | TotalTime=2821.49s | Method=fedavg
[Round 069/100] Acc=49.160 | RoundTime=41.47s | TotalTime=2862.96s | Method=fedavg
[Round 070/100] Acc=50.390 | RoundTime=42.28s | TotalTime=2905.24s | Method=fedavg
[Round 071/100] Acc=51.280 | RoundTime=42.14s | TotalTime=2947.38s | Method=fedavg
[Round 072/100] Acc=50.090 | RoundTime=40.10s | TotalTime=2987.47s | Method=fedavg
[Round 073/100] Acc=44.680 | RoundTime=41.21s | TotalTime=3028.68s | Method=fedavg
[Round 074/100] Acc=47.600 | RoundTime=42.10s | TotalTime=3070.78s | Method=fedavg
[Round 075/100] Acc=44.420 | RoundTime=41.49s | TotalTime=3112.28s | Method=fedavg
[Round 076/100] Acc=49.840 | RoundTime=43.04s | TotalTime=3155.32s | Method=fedavg
[Round 077/100] Acc=51.120 | RoundTime=42.59s | TotalTime=3197.91s | Method=fedavg
[Round 078/100] Acc=50.130 | RoundTime=42.77s | TotalTime=3240.67s | Method=fedavg
[Round 079/100] Acc=46.300 | RoundTime=42.02s | TotalTime=3282.69s | Method=fedavg
[Round 080/100] Acc=48.930 | RoundTime=41.24s | TotalTime=3323.94s | Method=fedavg
[Round 081/100] Acc=49.280 | RoundTime=41.84s | TotalTime=3365.78s | Method=fedavg
[Round 082/100] Acc=51.860 | RoundTime=41.02s | TotalTime=3406.80s | Method=fedavg
[Round 083/100] Acc=50.060 | RoundTime=45.86s | TotalTime=3452.66s | Method=fedavg
[Round 084/100] Acc=49.160 | RoundTime=40.42s | TotalTime=3493.08s | Method=fedavg
[Round 085/100] Acc=47.310 | RoundTime=40.59s | TotalTime=3533.68s | Method=fedavg
[Round 086/100] Acc=48.120 | RoundTime=41.09s | TotalTime=3574.77s | Method=fedavg
[Round 087/100] Acc=51.230 | RoundTime=41.76s | TotalTime=3616.54s | Method=fedavg
[Round 088/100] Acc=47.270 | RoundTime=40.72s | TotalTime=3657.25s | Method=fedavg
[Round 089/100] Acc=50.180 | RoundTime=41.39s | TotalTime=3698.64s | Method=fedavg
[Round 090/100] Acc=52.080 | RoundTime=41.53s | TotalTime=3740.17s | Method=fedavg
[Round 091/100] Acc=51.520 | RoundTime=43.07s | TotalTime=3783.25s | Method=fedavg
[Round 092/100] Acc=51.790 | RoundTime=40.51s | TotalTime=3823.76s | Method=fedavg
[Round 093/100] Acc=49.570 | RoundTime=41.92s | TotalTime=3865.67s | Method=fedavg
[Round 094/100] Acc=48.610 | RoundTime=42.47s | TotalTime=3908.14s | Method=fedavg
[Round 095/100] Acc=49.790 | RoundTime=41.27s | TotalTime=3949.41s | Method=fedavg
[Round 096/100] Acc=49.370 | RoundTime=42.15s | TotalTime=3991.57s | Method=fedavg
[Round 097/100] Acc=50.460 | RoundTime=42.17s | TotalTime=4033.74s | Method=fedavg
[Round 098/100] Acc=48.470 | RoundTime=42.00s | TotalTime=4075.73s | Method=fedavg
[Round 099/100] Acc=47.670 | RoundTime=40.49s | TotalTime=4116.22s | Method=fedavg
[Round 100/100] Acc=49.100 | RoundTime=41.47s | TotalTime=4157.70s | Method=fedavg
====================================================================================================
Training finished at: 2026-03-14 10:58:15
Total elapsed time: 4157.70s
Final Acc: 49.100
Best Acc : 52.080
====================================================================================================
