====================================================================================================
Training started at: 2026-03-12 11:18:47
Result directory: results/fl_cifar100/fedrdn
Result txt file : results/fl_cifar100/fedrdn/model=fedrdn_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111847.txt
Result log file : results/fl_cifar100/fedrdn/model=fedrdn_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-111847.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 055/100] Acc=15.380 | RoundTime=32.12s | TotalTime=1746.04s | Method=fedrdn
[Round 056/100] Acc=15.340 | RoundTime=32.13s | TotalTime=1778.18s | Method=fedrdn
[Round 057/100] Acc=14.680 | RoundTime=31.28s | TotalTime=1809.46s | Method=fedrdn
[Round 058/100] Acc=14.510 | RoundTime=31.40s | TotalTime=1840.86s | Method=fedrdn
[Round 059/100] Acc=14.740 | RoundTime=31.40s | TotalTime=1872.26s | Method=fedrdn
[Round 060/100] Acc=14.700 | RoundTime=31.80s | TotalTime=1904.06s | Method=fedrdn
[Round 061/100] Acc=15.350 | RoundTime=31.67s | TotalTime=1935.74s | Method=fedrdn
[Round 062/100] Acc=15.230 | RoundTime=30.97s | TotalTime=1966.71s | Method=fedrdn
[Round 063/100] Acc=15.130 | RoundTime=31.18s | TotalTime=1997.90s | Method=fedrdn
[Round 064/100] Acc=15.200 | RoundTime=31.68s | TotalTime=2029.58s | Method=fedrdn
[Round 065/100] Acc=15.230 | RoundTime=30.89s | TotalTime=2060.47s | Method=fedrdn
[Round 066/100] Acc=15.750 | RoundTime=31.33s | TotalTime=2091.80s | Method=fedrdn
[Round 067/100] Acc=14.820 | RoundTime=31.47s | TotalTime=2123.28s | Method=fedrdn
[Round 068/100] Acc=15.610 | RoundTime=31.12s | TotalTime=2154.40s | Method=fedrdn
[Round 069/100] Acc=15.770 | RoundTime=30.41s | TotalTime=2184.81s | Method=fedrdn
[Round 070/100] Acc=15.080 | RoundTime=31.25s | TotalTime=2216.06s | Method=fedrdn
[Round 071/100] Acc=15.110 | RoundTime=32.04s | TotalTime=2248.10s | Method=fedrdn
[Round 072/100] Acc=15.040 | RoundTime=30.82s | TotalTime=2278.91s | Method=fedrdn
[Round 073/100] Acc=15.040 | RoundTime=31.71s | TotalTime=2310.63s | Method=fedrdn
[Round 074/100] Acc=14.330 | RoundTime=29.96s | TotalTime=2340.59s | Method=fedrdn
[Round 075/100] Acc=14.640 | RoundTime=30.89s | TotalTime=2371.48s | Method=fedrdn
[Round 076/100] Acc=15.280 | RoundTime=30.26s | TotalTime=2401.74s | Method=fedrdn
[Round 077/100] Acc=14.500 | RoundTime=29.93s | TotalTime=2431.67s | Method=fedrdn
[Round 078/100] Acc=15.310 | RoundTime=30.50s | TotalTime=2462.18s | Method=fedrdn
[Round 079/100] Acc=15.130 | RoundTime=31.13s | TotalTime=2493.30s | Method=fedrdn
