====================================================================================================
Training started at: 2026-03-14 08:55:27
Result directory: results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_cifar100_20260314-085527.txt
Result log file : results/fl_cifar100/fedrdn/pm-dir_a-0.3_nm-uni_nr-0.3/fedrdn_fl_cifar100_20260314-085527.log
----------------------------------------------------------------------------------------------------
Model: fedrdn
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=64.31s | TotalTime=64.31s | Method=fedrdn
[Round 002/100] Acc=1.000 | RoundTime=40.59s | TotalTime=104.90s | Method=fedrdn
[Round 003/100] Acc=1.060 | RoundTime=40.41s | TotalTime=145.31s | Method=fedrdn
[Round 004/100] Acc=1.110 | RoundTime=40.12s | TotalTime=185.43s | Method=fedrdn
[Round 005/100] Acc=1.000 | RoundTime=40.78s | TotalTime=226.21s | Method=fedrdn
[Round 006/100] Acc=1.800 | RoundTime=40.39s | TotalTime=266.61s | Method=fedrdn
[Round 007/100] Acc=1.860 | RoundTime=40.26s | TotalTime=306.87s | Method=fedrdn
[Round 008/100] Acc=2.070 | RoundTime=40.19s | TotalTime=347.06s | Method=fedrdn
[Round 009/100] Acc=1.070 | RoundTime=40.49s | TotalTime=387.55s | Method=fedrdn
[Round 010/100] Acc=1.000 | RoundTime=40.42s | TotalTime=427.97s | Method=fedrdn
[Round 011/100] Acc=1.680 | RoundTime=41.10s | TotalTime=469.07s | Method=fedrdn
[Round 012/100] Acc=1.850 | RoundTime=40.86s | TotalTime=509.94s | Method=fedrdn
[Round 013/100] Acc=1.790 | RoundTime=40.35s | TotalTime=550.28s | Method=fedrdn
[Round 014/100] Acc=2.090 | RoundTime=40.36s | TotalTime=590.64s | Method=fedrdn
[Round 015/100] Acc=2.670 | RoundTime=40.72s | TotalTime=631.36s | Method=fedrdn
[Round 016/100] Acc=1.580 | RoundTime=40.66s | TotalTime=672.02s | Method=fedrdn
[Round 017/100] Acc=1.870 | RoundTime=40.84s | TotalTime=712.86s | Method=fedrdn
[Round 018/100] Acc=2.530 | RoundTime=40.94s | TotalTime=753.80s | Method=fedrdn
[Round 019/100] Acc=3.080 | RoundTime=41.32s | TotalTime=795.13s | Method=fedrdn
[Round 020/100] Acc=2.340 | RoundTime=40.28s | TotalTime=835.41s | Method=fedrdn
[Round 021/100] Acc=1.430 | RoundTime=40.67s | TotalTime=876.08s | Method=fedrdn
[Round 022/100] Acc=2.120 | RoundTime=40.99s | TotalTime=917.06s | Method=fedrdn
[Round 023/100] Acc=2.050 | RoundTime=40.09s | TotalTime=957.15s | Method=fedrdn
[Round 024/100] Acc=2.270 | RoundTime=40.93s | TotalTime=998.08s | Method=fedrdn
[Round 025/100] Acc=1.120 | RoundTime=40.52s | TotalTime=1038.61s | Method=fedrdn
[Round 026/100] Acc=1.610 | RoundTime=40.72s | TotalTime=1079.33s | Method=fedrdn
[Round 027/100] Acc=1.830 | RoundTime=40.62s | TotalTime=1119.94s | Method=fedrdn
[Round 028/100] Acc=1.710 | RoundTime=39.88s | TotalTime=1159.83s | Method=fedrdn
[Round 029/100] Acc=1.720 | RoundTime=40.69s | TotalTime=1200.52s | Method=fedrdn
[Round 030/100] Acc=1.430 | RoundTime=40.65s | TotalTime=1241.17s | Method=fedrdn
[Round 031/100] Acc=2.230 | RoundTime=40.59s | TotalTime=1281.75s | Method=fedrdn
[Round 032/100] Acc=1.670 | RoundTime=40.38s | TotalTime=1322.13s | Method=fedrdn
[Round 033/100] Acc=1.670 | RoundTime=40.35s | TotalTime=1362.48s | Method=fedrdn
[Round 034/100] Acc=2.260 | RoundTime=40.58s | TotalTime=1403.06s | Method=fedrdn
[Round 035/100] Acc=1.980 | RoundTime=40.88s | TotalTime=1443.95s | Method=fedrdn
[Round 036/100] Acc=1.240 | RoundTime=40.28s | TotalTime=1484.23s | Method=fedrdn
