====================================================================================================
Training started at: 2026-03-14 07:18:25
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.8_nm-uni_nr-0.3/fedprox_fl_cifar100_20260314-071825.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.8_nm-uni_nr-0.3/fedprox_fl_cifar100_20260314-071825.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.001
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=49.11s | TotalTime=49.11s | Method=fedprox
[Round 002/100] Acc=1.500 | RoundTime=47.75s | TotalTime=96.86s | Method=fedprox
[Round 003/100] Acc=6.930 | RoundTime=47.77s | TotalTime=144.63s | Method=fedprox
[Round 004/100] Acc=12.250 | RoundTime=48.93s | TotalTime=193.56s | Method=fedprox
[Round 005/100] Acc=14.720 | RoundTime=47.67s | TotalTime=241.23s | Method=fedprox
[Round 006/100] Acc=15.750 | RoundTime=48.30s | TotalTime=289.53s | Method=fedprox
[Round 007/100] Acc=16.300 | RoundTime=47.85s | TotalTime=337.38s | Method=fedprox
[Round 008/100] Acc=16.340 | RoundTime=48.25s | TotalTime=385.64s | Method=fedprox
[Round 009/100] Acc=18.530 | RoundTime=48.33s | TotalTime=433.96s | Method=fedprox
[Round 010/100] Acc=19.240 | RoundTime=48.14s | TotalTime=482.10s | Method=fedprox
[Round 011/100] Acc=19.360 | RoundTime=47.87s | TotalTime=529.98s | Method=fedprox
[Round 012/100] Acc=18.870 | RoundTime=48.87s | TotalTime=578.85s | Method=fedprox
[Round 013/100] Acc=20.050 | RoundTime=48.55s | TotalTime=627.40s | Method=fedprox
[Round 014/100] Acc=20.610 | RoundTime=48.71s | TotalTime=676.11s | Method=fedprox
[Round 015/100] Acc=20.390 | RoundTime=48.29s | TotalTime=724.39s | Method=fedprox
[Round 016/100] Acc=21.170 | RoundTime=48.47s | TotalTime=772.87s | Method=fedprox
[Round 017/100] Acc=20.480 | RoundTime=48.33s | TotalTime=821.20s | Method=fedprox
[Round 018/100] Acc=21.200 | RoundTime=47.98s | TotalTime=869.18s | Method=fedprox
[Round 019/100] Acc=21.300 | RoundTime=48.38s | TotalTime=917.55s | Method=fedprox
[Round 020/100] Acc=21.130 | RoundTime=48.40s | TotalTime=965.96s | Method=fedprox
[Round 021/100] Acc=20.650 | RoundTime=48.41s | TotalTime=1014.37s | Method=fedprox
[Round 022/100] Acc=21.630 | RoundTime=48.96s | TotalTime=1063.33s | Method=fedprox
[Round 023/100] Acc=21.710 | RoundTime=48.46s | TotalTime=1111.79s | Method=fedprox
[Round 024/100] Acc=21.460 | RoundTime=48.60s | TotalTime=1160.39s | Method=fedprox
[Round 025/100] Acc=21.080 | RoundTime=48.32s | TotalTime=1208.71s | Method=fedprox
[Round 026/100] Acc=20.620 | RoundTime=48.29s | TotalTime=1257.00s | Method=fedprox
[Round 027/100] Acc=21.370 | RoundTime=48.12s | TotalTime=1305.12s | Method=fedprox
[Round 028/100] Acc=21.840 | RoundTime=49.13s | TotalTime=1354.25s | Method=fedprox
[Round 029/100] Acc=22.250 | RoundTime=48.20s | TotalTime=1402.45s | Method=fedprox
[Round 030/100] Acc=22.420 | RoundTime=48.28s | TotalTime=1450.74s | Method=fedprox
[Round 031/100] Acc=22.760 | RoundTime=48.62s | TotalTime=1499.36s | Method=fedprox
[Round 032/100] Acc=22.200 | RoundTime=48.40s | TotalTime=1547.76s | Method=fedprox
[Round 033/100] Acc=21.860 | RoundTime=48.65s | TotalTime=1596.41s | Method=fedprox
[Round 034/100] Acc=22.050 | RoundTime=48.08s | TotalTime=1644.49s | Method=fedprox
[Round 035/100] Acc=21.600 | RoundTime=48.46s | TotalTime=1692.95s | Method=fedprox
[Round 036/100] Acc=22.020 | RoundTime=48.49s | TotalTime=1741.45s | Method=fedprox
[Round 037/100] Acc=22.590 | RoundTime=48.28s | TotalTime=1789.72s | Method=fedprox
[Round 038/100] Acc=22.540 | RoundTime=48.25s | TotalTime=1837.97s | Method=fedprox
[Round 039/100] Acc=22.310 | RoundTime=49.18s | TotalTime=1887.16s | Method=fedprox
[Round 040/100] Acc=22.070 | RoundTime=48.59s | TotalTime=1935.75s | Method=fedprox
[Round 041/100] Acc=22.230 | RoundTime=47.93s | TotalTime=1983.68s | Method=fedprox
[Round 042/100] Acc=22.490 | RoundTime=48.46s | TotalTime=2032.14s | Method=fedprox
[Round 043/100] Acc=22.490 | RoundTime=48.34s | TotalTime=2080.48s | Method=fedprox
[Round 044/100] Acc=22.780 | RoundTime=48.19s | TotalTime=2128.67s | Method=fedprox
[Round 045/100] Acc=23.160 | RoundTime=48.31s | TotalTime=2176.99s | Method=fedprox
[Round 046/100] Acc=23.710 | RoundTime=48.37s | TotalTime=2225.36s | Method=fedprox
[Round 047/100] Acc=23.200 | RoundTime=49.16s | TotalTime=2274.53s | Method=fedprox
[Round 048/100] Acc=22.840 | RoundTime=48.14s | TotalTime=2322.67s | Method=fedprox
[Round 049/100] Acc=22.740 | RoundTime=48.51s | TotalTime=2371.18s | Method=fedprox
[Round 050/100] Acc=22.210 | RoundTime=48.24s | TotalTime=2419.42s | Method=fedprox
[Round 051/100] Acc=22.550 | RoundTime=48.47s | TotalTime=2467.89s | Method=fedprox
[Round 052/100] Acc=23.050 | RoundTime=48.67s | TotalTime=2516.56s | Method=fedprox
[Round 053/100] Acc=24.010 | RoundTime=48.36s | TotalTime=2564.92s | Method=fedprox
[Round 054/100] Acc=22.940 | RoundTime=48.35s | TotalTime=2613.27s | Method=fedprox
[Round 055/100] Acc=22.820 | RoundTime=48.31s | TotalTime=2661.58s | Method=fedprox
[Round 056/100] Acc=23.080 | RoundTime=48.36s | TotalTime=2709.94s | Method=fedprox
[Round 057/100] Acc=23.390 | RoundTime=48.12s | TotalTime=2758.06s | Method=fedprox
[Round 058/100] Acc=23.430 | RoundTime=48.31s | TotalTime=2806.37s | Method=fedprox
[Round 059/100] Acc=22.770 | RoundTime=48.35s | TotalTime=2854.72s | Method=fedprox
[Round 060/100] Acc=23.890 | RoundTime=48.60s | TotalTime=2903.32s | Method=fedprox
[Round 061/100] Acc=24.600 | RoundTime=48.80s | TotalTime=2952.12s | Method=fedprox
[Round 062/100] Acc=23.590 | RoundTime=48.88s | TotalTime=3001.01s | Method=fedprox
[Round 063/100] Acc=23.260 | RoundTime=48.49s | TotalTime=3049.50s | Method=fedprox
[Round 064/100] Acc=23.310 | RoundTime=49.36s | TotalTime=3098.86s | Method=fedprox
[Round 065/100] Acc=23.530 | RoundTime=48.62s | TotalTime=3147.47s | Method=fedprox
[Round 066/100] Acc=23.080 | RoundTime=48.20s | TotalTime=3195.67s | Method=fedprox
[Round 067/100] Acc=23.100 | RoundTime=48.02s | TotalTime=3243.69s | Method=fedprox
[Round 068/100] Acc=23.450 | RoundTime=48.29s | TotalTime=3291.99s | Method=fedprox
[Round 069/100] Acc=23.820 | RoundTime=48.12s | TotalTime=3340.11s | Method=fedprox
[Round 070/100] Acc=23.840 | RoundTime=48.67s | TotalTime=3388.78s | Method=fedprox
[Round 071/100] Acc=23.410 | RoundTime=48.45s | TotalTime=3437.23s | Method=fedprox
[Round 072/100] Acc=22.900 | RoundTime=48.38s | TotalTime=3485.61s | Method=fedprox
[Round 073/100] Acc=23.690 | RoundTime=48.36s | TotalTime=3533.98s | Method=fedprox
[Round 074/100] Acc=23.540 | RoundTime=48.60s | TotalTime=3582.57s | Method=fedprox
[Round 075/100] Acc=23.760 | RoundTime=49.21s | TotalTime=3631.78s | Method=fedprox
[Round 076/100] Acc=24.100 | RoundTime=47.92s | TotalTime=3679.70s | Method=fedprox
[Round 077/100] Acc=24.400 | RoundTime=48.52s | TotalTime=3728.22s | Method=fedprox
[Round 078/100] Acc=23.530 | RoundTime=48.31s | TotalTime=3776.53s | Method=fedprox
[Round 079/100] Acc=23.220 | RoundTime=48.87s | TotalTime=3825.40s | Method=fedprox
[Round 080/100] Acc=23.490 | RoundTime=49.33s | TotalTime=3874.73s | Method=fedprox
[Round 081/100] Acc=24.370 | RoundTime=48.08s | TotalTime=3922.81s | Method=fedprox
[Round 082/100] Acc=23.250 | RoundTime=48.76s | TotalTime=3971.57s | Method=fedprox
[Round 083/100] Acc=23.000 | RoundTime=48.59s | TotalTime=4020.16s | Method=fedprox
[Round 084/100] Acc=23.930 | RoundTime=48.70s | TotalTime=4068.86s | Method=fedprox
[Round 085/100] Acc=23.980 | RoundTime=48.84s | TotalTime=4117.70s | Method=fedprox
[Round 086/100] Acc=24.100 | RoundTime=48.41s | TotalTime=4166.12s | Method=fedprox
[Round 087/100] Acc=23.480 | RoundTime=48.79s | TotalTime=4214.91s | Method=fedprox
[Round 088/100] Acc=22.880 | RoundTime=49.24s | TotalTime=4264.15s | Method=fedprox
[Round 089/100] Acc=23.990 | RoundTime=48.63s | TotalTime=4312.78s | Method=fedprox
