====================================================================================================
Training started at: 2026-03-27 04:32:12
Result directory: results/fl_svhn/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15
Result txt file : results/fl_svhn/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-043212-193807_pid3137444.txt
Result log file : results/fl_svhn/fedcda/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.15/fedcda_fl_svhn_20260327-043212-193807_pid3137444.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_svhn
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=17.360 | RoundTime=25.38s | TotalTime=25.38s | Method=fedcda
[Round 002/100] Acc=19.080 | RoundTime=28.11s | TotalTime=53.49s | Method=fedcda
[Round 003/100] Acc=47.860 | RoundTime=28.75s | TotalTime=82.24s | Method=fedcda
[Round 004/100] Acc=52.200 | RoundTime=28.75s | TotalTime=110.98s | Method=fedcda
[Round 005/100] Acc=43.760 | RoundTime=28.22s | TotalTime=139.20s | Method=fedcda
[Round 006/100] Acc=45.270 | RoundTime=29.85s | TotalTime=169.05s | Method=fedcda
[Round 007/100] Acc=28.100 | RoundTime=29.54s | TotalTime=198.59s | Method=fedcda
[Round 008/100] Acc=57.600 | RoundTime=27.58s | TotalTime=226.17s | Method=fedcda
[Round 009/100] Acc=50.840 | RoundTime=29.24s | TotalTime=255.41s | Method=fedcda
[Round 010/100] Acc=43.860 | RoundTime=31.22s | TotalTime=286.63s | Method=fedcda
[Round 011/100] Acc=44.760 | RoundTime=30.63s | TotalTime=317.26s | Method=fedcda
[Round 012/100] Acc=51.440 | RoundTime=31.34s | TotalTime=348.60s | Method=fedcda
[Round 013/100] Acc=54.630 | RoundTime=31.24s | TotalTime=379.84s | Method=fedcda
[Round 014/100] Acc=59.450 | RoundTime=30.48s | TotalTime=410.32s | Method=fedcda
[Round 015/100] Acc=61.410 | RoundTime=29.60s | TotalTime=439.92s | Method=fedcda
[Round 016/100] Acc=65.900 | RoundTime=31.02s | TotalTime=470.95s | Method=fedcda
[Round 017/100] Acc=57.510 | RoundTime=30.92s | TotalTime=501.87s | Method=fedcda
[Round 018/100] Acc=51.410 | RoundTime=29.39s | TotalTime=531.25s | Method=fedcda
[Round 019/100] Acc=60.380 | RoundTime=30.20s | TotalTime=561.45s | Method=fedcda
[Round 020/100] Acc=51.930 | RoundTime=32.57s | TotalTime=594.02s | Method=fedcda
[Round 021/100] Acc=55.460 | RoundTime=29.64s | TotalTime=623.66s | Method=fedcda
[Round 022/100] Acc=55.720 | RoundTime=31.26s | TotalTime=654.91s | Method=fedcda
[Round 023/100] Acc=53.080 | RoundTime=31.46s | TotalTime=686.37s | Method=fedcda
[Round 024/100] Acc=43.910 | RoundTime=30.53s | TotalTime=716.90s | Method=fedcda
[Round 025/100] Acc=67.520 | RoundTime=31.33s | TotalTime=748.24s | Method=fedcda
[Round 026/100] Acc=52.420 | RoundTime=29.82s | TotalTime=778.06s | Method=fedcda
[Round 027/100] Acc=59.180 | RoundTime=30.97s | TotalTime=809.03s | Method=fedcda
[Round 028/100] Acc=59.300 | RoundTime=28.84s | TotalTime=837.87s | Method=fedcda
[Round 029/100] Acc=48.860 | RoundTime=30.06s | TotalTime=867.93s | Method=fedcda
[Round 030/100] Acc=60.440 | RoundTime=30.44s | TotalTime=898.38s | Method=fedcda
[Round 031/100] Acc=52.670 | RoundTime=29.21s | TotalTime=927.59s | Method=fedcda
[Round 032/100] Acc=63.690 | RoundTime=31.84s | TotalTime=959.43s | Method=fedcda
[Round 033/100] Acc=38.400 | RoundTime=30.04s | TotalTime=989.46s | Method=fedcda
[Round 034/100] Acc=63.080 | RoundTime=30.83s | TotalTime=1020.29s | Method=fedcda
[Round 035/100] Acc=59.670 | RoundTime=29.53s | TotalTime=1049.82s | Method=fedcda
[Round 036/100] Acc=60.300 | RoundTime=31.07s | TotalTime=1080.90s | Method=fedcda
[Round 037/100] Acc=48.280 | RoundTime=29.51s | TotalTime=1110.40s | Method=fedcda
[Round 038/100] Acc=40.800 | RoundTime=32.53s | TotalTime=1142.93s | Method=fedcda
[Round 039/100] Acc=47.400 | RoundTime=31.81s | TotalTime=1174.74s | Method=fedcda
[Round 040/100] Acc=53.990 | RoundTime=33.92s | TotalTime=1208.66s | Method=fedcda
[Round 041/100] Acc=58.530 | RoundTime=32.80s | TotalTime=1241.47s | Method=fedcda
[Round 042/100] Acc=48.520 | RoundTime=33.21s | TotalTime=1274.68s | Method=fedcda
[Round 043/100] Acc=59.010 | RoundTime=33.59s | TotalTime=1308.27s | Method=fedcda
[Round 044/100] Acc=55.490 | RoundTime=33.57s | TotalTime=1341.83s | Method=fedcda
[Round 045/100] Acc=64.390 | RoundTime=30.69s | TotalTime=1372.52s | Method=fedcda
[Round 046/100] Acc=57.790 | RoundTime=31.94s | TotalTime=1404.47s | Method=fedcda
[Round 047/100] Acc=54.280 | RoundTime=32.68s | TotalTime=1437.14s | Method=fedcda
[Round 048/100] Acc=56.100 | RoundTime=30.69s | TotalTime=1467.83s | Method=fedcda
[Round 049/100] Acc=58.210 | RoundTime=31.45s | TotalTime=1499.28s | Method=fedcda
[Round 050/100] Acc=50.780 | RoundTime=31.40s | TotalTime=1530.69s | Method=fedcda
